dataset,ensemble,type,subset,subset_indices,Recall
O1 + N15,2models,k_subset,Old_under+New_under,"0,3",0.3624
O1 + N15,2models,k_subset,Old_under+New_over,"0,4",0.3972
O1 + N15,2models,k_subset,Old_under+New_hybrid,"0,5",0.4530
O1 + N15,2models,k_subset,Old_over+New_under,"1,3",0.4355
O1 + N15,2models,k_subset,Old_over+New_over,"1,4",0.4425
O1 + N15,2models,k_subset,Old_over+New_hybrid,"1,5",0.4878
O1 + N15,2models,k_subset,Old_hybrid+New_under,"2,3",0.3136
O1 + N15,2models,k_subset,Old_hybrid+New_over,"2,4",0.3206
O1 + N15,2models,k_subset,Old_hybrid+New_hybrid,"2,5",0.4913
O1 + N15,2models,k_subsets_mean,,,0.4115
O1 + N15,3models,k_subset,Old_under+Old_over+New_under,"0,1,3",0.4111
O1 + N15,3models,k_subset,Old_under+Old_over+New_over,"0,1,4",0.4321
O1 + N15,3models,k_subset,Old_under+Old_over+New_hybrid,"0,1,5",0.4808
O1 + N15,3models,k_subset,Old_under+Old_hybrid+New_under,"0,2,3",0.3449
O1 + N15,3models,k_subset,Old_under+Old_hybrid+New_over,"0,2,4",0.3380
O1 + N15,3models,k_subset,Old_under+Old_hybrid+New_hybrid,"0,2,5",0.3798
O1 + N15,3models,k_subset,Old_under+New_under+New_over,"0,3,4",0.4530
O1 + N15,3models,k_subset,Old_under+New_under+New_hybrid,"0,3,5",0.4739
O1 + N15,3models,k_subset,Old_under+New_over+New_hybrid,"0,4,5",0.4843
O1 + N15,3models,k_subset,Old_over+Old_hybrid+New_under,"1,2,3",0.4599
O1 + N15,3models,k_subset,Old_over+Old_hybrid+New_over,"1,2,4",0.3937
O1 + N15,3models,k_subset,Old_over+Old_hybrid+New_hybrid,"1,2,5",0.5192
O1 + N15,3models,k_subset,Old_over+New_under+New_over,"1,3,4",0.4216
O1 + N15,3models,k_subset,Old_over+New_under+New_hybrid,"1,3,5",0.4599
O1 + N15,3models,k_subset,Old_over+New_over+New_hybrid,"1,4,5",0.5157
O1 + N15,3models,k_subset,Old_hybrid+New_under+New_over,"2,3,4",0.4111
O1 + N15,3models,k_subset,Old_hybrid+New_under+New_hybrid,"2,3,5",0.4530
O1 + N15,3models,k_subset,Old_hybrid+New_over+New_hybrid,"2,4,5",0.4843
O1 + N15,3models,k_subsets_mean,,,0.4398
O1 + N15,4models,k_subset,Old_under+Old_over+Old_hybrid+New_under,"0,1,2,3",0.4704
O1 + N15,4models,k_subset,Old_under+Old_over+Old_hybrid+New_over,"0,1,2,4",0.3554
O1 + N15,4models,k_subset,Old_under+Old_over+Old_hybrid+New_hybrid,"0,1,2,5",0.5052
O1 + N15,4models,k_subset,Old_under+Old_over+New_under+New_over,"0,1,3,4",0.4425
O1 + N15,4models,k_subset,Old_under+Old_over+New_under+New_hybrid,"0,1,3,5",0.4042
O1 + N15,4models,k_subset,Old_under+Old_over+New_over+New_hybrid,"0,1,4,5",0.5122
O1 + N15,4models,k_subset,Old_under+Old_hybrid+New_under+New_over,"0,2,3,4",0.4042
O1 + N15,4models,k_subset,Old_under+Old_hybrid+New_under+New_hybrid,"0,2,3,5",0.4077
O1 + N15,4models,k_subset,Old_under+Old_hybrid+New_over+New_hybrid,"0,2,4,5",0.4181
O1 + N15,4models,k_subset,Old_under+New_under+New_over+New_hybrid,"0,3,4,5",0.4390
O1 + N15,4models,k_subset,Old_over+Old_hybrid+New_under+New_over,"1,2,3,4",0.4146
O1 + N15,4models,k_subset,Old_over+Old_hybrid+New_under+New_hybrid,"1,2,3,5",0.4286
O1 + N15,4models,k_subset,Old_over+Old_hybrid+New_over+New_hybrid,"1,2,4,5",0.4111
O1 + N15,4models,k_subset,Old_over+New_under+New_over+New_hybrid,"1,3,4,5",0.4774
O1 + N15,4models,k_subset,Old_hybrid+New_under+New_over+New_hybrid,"2,3,4,5",0.4355
O1 + N15,4models,k_subsets_mean,,,0.4351
O1 + N15,5models,k_subset,Old_under+Old_over+Old_hybrid+New_under+New_over,"0,1,2,3,4",0.3728
O1 + N15,5models,k_subset,Old_under+Old_over+Old_hybrid+New_under+New_hybrid,"0,1,2,3,5",0.4425
O1 + N15,5models,k_subset,Old_under+Old_over+Old_hybrid+New_over+New_hybrid,"0,1,2,4,5",0.4251
O1 + N15,5models,k_subset,Old_under+Old_over+New_under+New_over+New_hybrid,"0,1,3,4,5",0.4495
O1 + N15,5models,k_subset,Old_under+Old_hybrid+New_under+New_over+New_hybrid,"0,2,3,4,5",0.4425
O1 + N15,5models,k_subset,Old_over+Old_hybrid+New_under+New_over+New_hybrid,"1,2,3,4,5",0.4530
O1 + N15,5models,k_subsets_mean,,,0.4309
O1 + N15,6models,k_subset,Old_under+Old_over+Old_hybrid+New_under+New_over+New_hybrid,"0,1,2,3,4,5",0.4251
O1 + N15,6models,k_subsets_mean,,,0.4251
O1 + N15,New,under,,,0.4878
O1 + N15,New,over,,,0.4774
O1 + N15,New,hybrid,,,0.5854
O1 + N15,Old,under,,,0.2683
O1 + N15,Old,over,,,0.4007
O1 + N15,Old,hybrid,,,0.5784
O1 + N15,OldNew,under,,,0.3624
O1 + N15,OldNew,over,,,0.4425
O1 + N15,OldNew,hybrid,,,0.4913
O2 + N14,2models,k_subset,Old_under+New_under,"0,3",0.4425
O2 + N14,2models,k_subset,Old_under+New_over,"0,4",0.3275
O2 + N14,2models,k_subset,Old_under+New_hybrid,"0,5",0.4425
O2 + N14,2models,k_subset,Old_over+New_under,"1,3",0.4634
O2 + N14,2models,k_subset,Old_over+New_over,"1,4",0.4321
O2 + N14,2models,k_subset,Old_over+New_hybrid,"1,5",0.4739
O2 + N14,2models,k_subset,Old_hybrid+New_under,"2,3",0.3937
O2 + N14,2models,k_subset,Old_hybrid+New_over,"2,4",0.4146
O2 + N14,2models,k_subset,Old_hybrid+New_hybrid,"2,5",0.4251
O2 + N14,2models,k_subsets_mean,,,0.4239
O2 + N14,3models,k_subset,Old_under+Old_over+New_under,"0,1,3",0.4007
O2 + N14,3models,k_subset,Old_under+Old_over+New_over,"0,1,4",0.3833
O2 + N14,3models,k_subset,Old_under+Old_over+New_hybrid,"0,1,5",0.4878
O2 + N14,3models,k_subset,Old_under+Old_hybrid+New_under,"0,2,3",0.4216
O2 + N14,3models,k_subset,Old_under+Old_hybrid+New_over,"0,2,4",0.3624
O2 + N14,3models,k_subset,Old_under+Old_hybrid+New_hybrid,"0,2,5",0.4948
O2 + N14,3models,k_subset,Old_under+New_under+New_over,"0,3,4",0.3449
O2 + N14,3models,k_subset,Old_under+New_under+New_hybrid,"0,3,5",0.4355
O2 + N14,3models,k_subset,Old_under+New_over+New_hybrid,"0,4,5",0.4181
O2 + N14,3models,k_subset,Old_over+Old_hybrid+New_under,"1,2,3",0.4286
O2 + N14,3models,k_subset,Old_over+Old_hybrid+New_over,"1,2,4",0.5226
O2 + N14,3models,k_subset,Old_over+Old_hybrid+New_hybrid,"1,2,5",0.5749
O2 + N14,3models,k_subset,Old_over+New_under+New_over,"1,3,4",0.3868
O2 + N14,3models,k_subset,Old_over+New_under+New_hybrid,"1,3,5",0.4146
O2 + N14,3models,k_subset,Old_over+New_over+New_hybrid,"1,4,5",0.4739
O2 + N14,3models,k_subset,Old_hybrid+New_under+New_over,"2,3,4",0.3449
O2 + N14,3models,k_subset,Old_hybrid+New_under+New_hybrid,"2,3,5",0.4077
O2 + N14,3models,k_subset,Old_hybrid+New_over+New_hybrid,"2,4,5",0.4843
O2 + N14,3models,k_subsets_mean,,,0.4326
O2 + N14,4models,k_subset,Old_under+Old_over+Old_hybrid+New_under,"0,1,2,3",0.4495
O2 + N14,4models,k_subset,Old_under+Old_over+Old_hybrid+New_over,"0,1,2,4",0.4704
O2 + N14,4models,k_subset,Old_under+Old_over+Old_hybrid+New_hybrid,"0,1,2,5",0.5923
O2 + N14,4models,k_subset,Old_under+Old_over+New_under+New_over,"0,1,3,4",0.3589
O2 + N14,4models,k_subset,Old_under+Old_over+New_under+New_hybrid,"0,1,3,5",0.4460
O2 + N14,4models,k_subset,Old_under+Old_over+New_over+New_hybrid,"0,1,4,5",0.4564
O2 + N14,4models,k_subset,Old_under+Old_hybrid+New_under+New_over,"0,2,3,4",0.3659
O2 + N14,4models,k_subset,Old_under+Old_hybrid+New_under+New_hybrid,"0,2,3,5",0.4077
O2 + N14,4models,k_subset,Old_under+Old_hybrid+New_over+New_hybrid,"0,2,4,5",0.4355
O2 + N14,4models,k_subset,Old_under+New_under+New_over+New_hybrid,"0,3,4,5",0.4983
O2 + N14,4models,k_subset,Old_over+Old_hybrid+New_under+New_over,"1,2,3,4",0.3798
O2 + N14,4models,k_subset,Old_over+Old_hybrid+New_under+New_hybrid,"1,2,3,5",0.4286
O2 + N14,4models,k_subset,Old_over+Old_hybrid+New_over+New_hybrid,"1,2,4,5",0.4425
O2 + N14,4models,k_subset,Old_over+New_under+New_over+New_hybrid,"1,3,4,5",0.5226
O2 + N14,4models,k_subset,Old_hybrid+New_under+New_over+New_hybrid,"2,3,4,5",0.4948
O2 + N14,4models,k_subsets_mean,,,0.4499
O2 + N14,5models,k_subset,Old_under+Old_over+Old_hybrid+New_under+New_over,"0,1,2,3,4",0.3972
O2 + N14,5models,k_subset,Old_under+Old_over+Old_hybrid+New_under+New_hybrid,"0,1,2,3,5",0.3972
O2 + N14,5models,k_subset,Old_under+Old_over+Old_hybrid+New_over+New_hybrid,"0,1,2,4,5",0.3972
O2 + N14,5models,k_subset,Old_under+Old_over+New_under+New_over+New_hybrid,"0,1,3,4,5",0.4111
O2 + N14,5models,k_subset,Old_under+Old_hybrid+New_under+New_over+New_hybrid,"0,2,3,4,5",0.3763
O2 + N14,5models,k_subset,Old_over+Old_hybrid+New_under+New_over+New_hybrid,"1,2,3,4,5",0.3763
O2 + N14,5models,k_subsets_mean,,,0.3926
O2 + N14,6models,k_subset,Old_under+Old_over+Old_hybrid+New_under+New_over+New_hybrid,"0,1,2,3,4,5",0.3902
O2 + N14,6models,k_subsets_mean,,,0.3902
O2 + N14,New,under,,,0.4878
O2 + N14,New,over,,,0.3868
O2 + N14,New,hybrid,,,0.5226
O2 + N14,Old,under,,,0.3310
O2 + N14,Old,over,,,0.2125
O2 + N14,Old,hybrid,,,0.4181
O2 + N14,OldNew,under,,,0.4425
O2 + N14,OldNew,over,,,0.4321
O2 + N14,OldNew,hybrid,,,0.4251
O3 + N13,2models,k_subset,Old_under+New_under,"0,3",0.4251
O3 + N13,2models,k_subset,Old_under+New_over,"0,4",0.4216
O3 + N13,2models,k_subset,Old_under+New_hybrid,"0,5",0.5296
O3 + N13,2models,k_subset,Old_over+New_under,"1,3",0.3659
O3 + N13,2models,k_subset,Old_over+New_over,"1,4",0.4460
O3 + N13,2models,k_subset,Old_over+New_hybrid,"1,5",0.5366
O3 + N13,2models,k_subset,Old_hybrid+New_under,"2,3",0.3624
O3 + N13,2models,k_subset,Old_hybrid+New_over,"2,4",0.3833
O3 + N13,2models,k_subset,Old_hybrid+New_hybrid,"2,5",0.5157
O3 + N13,2models,k_subsets_mean,,,0.4429
O3 + N13,3models,k_subset,Old_under+Old_over+New_under,"0,1,3",0.3798
O3 + N13,3models,k_subset,Old_under+Old_over+New_over,"0,1,4",0.3937
O3 + N13,3models,k_subset,Old_under+Old_over+New_hybrid,"0,1,5",0.5296
O3 + N13,3models,k_subset,Old_under+Old_hybrid+New_under,"0,2,3",0.3833
O3 + N13,3models,k_subset,Old_under+Old_hybrid+New_over,"0,2,4",0.3449
O3 + N13,3models,k_subset,Old_under+Old_hybrid+New_hybrid,"0,2,5",0.4983
O3 + N13,3models,k_subset,Old_under+New_under+New_over,"0,3,4",0.3763
O3 + N13,3models,k_subset,Old_under+New_under+New_hybrid,"0,3,5",0.4495
O3 + N13,3models,k_subset,Old_under+New_over+New_hybrid,"0,4,5",0.5157
O3 + N13,3models,k_subset,Old_over+Old_hybrid+New_under,"1,2,3",0.4216
O3 + N13,3models,k_subset,Old_over+Old_hybrid+New_over,"1,2,4",0.4321
O3 + N13,3models,k_subset,Old_over+Old_hybrid+New_hybrid,"1,2,5",0.5122
O3 + N13,3models,k_subset,Old_over+New_under+New_over,"1,3,4",0.3868
O3 + N13,3models,k_subset,Old_over+New_under+New_hybrid,"1,3,5",0.4321
O3 + N13,3models,k_subset,Old_over+New_over+New_hybrid,"1,4,5",0.4355
O3 + N13,3models,k_subset,Old_hybrid+New_under+New_over,"2,3,4",0.4111
O3 + N13,3models,k_subset,Old_hybrid+New_under+New_hybrid,"2,3,5",0.4564
O3 + N13,3models,k_subset,Old_hybrid+New_over+New_hybrid,"2,4,5",0.4425
O3 + N13,3models,k_subsets_mean,,,0.4334
O3 + N13,4models,k_subset,Old_under+Old_over+Old_hybrid+New_under,"0,1,2,3",0.4425
O3 + N13,4models,k_subset,Old_under+Old_over+Old_hybrid+New_over,"0,1,2,4",0.4495
O3 + N13,4models,k_subset,Old_under+Old_over+Old_hybrid+New_hybrid,"0,1,2,5",0.5261
O3 + N13,4models,k_subset,Old_under+Old_over+New_under+New_over,"0,1,3,4",0.3833
O3 + N13,4models,k_subset,Old_under+Old_over+New_under+New_hybrid,"0,1,3,5",0.4425
O3 + N13,4models,k_subset,Old_under+Old_over+New_over+New_hybrid,"0,1,4,5",0.4634
O3 + N13,4models,k_subset,Old_under+Old_hybrid+New_under+New_over,"0,2,3,4",0.4042
O3 + N13,4models,k_subset,Old_under+Old_hybrid+New_under+New_hybrid,"0,2,3,5",0.4077
O3 + N13,4models,k_subset,Old_under+Old_hybrid+New_over+New_hybrid,"0,2,4,5",0.4111
O3 + N13,4models,k_subset,Old_under+New_under+New_over+New_hybrid,"0,3,4,5",0.5505
O3 + N13,4models,k_subset,Old_over+Old_hybrid+New_under+New_over,"1,2,3,4",0.3972
