dataset,split,ensemble,type,subset,subset_indices,AUC,F1,Recall
O2 + N14,split_2+14,Old,under,,,0.5271,0.0567,0.2474
O2 + N14,split_2+14,New,under,,,0.8320,0.1966,0.4983
O2 + N14,split_2+14,OldNew,under,,,0.8018,0.1689,0.4704
O2 + N14,split_2+14,Old,over,,,0.5408,0.0510,0.2962
O2 + N14,split_2+14,New,over,,,0.7816,0.1287,0.5331
O2 + N14,split_2+14,OldNew,over,,,0.7315,0.1018,0.4599
O2 + N14,split_2+14,Old,hybrid,,,0.5562,0.0497,0.2927
O2 + N14,split_2+14,New,hybrid,,,0.8161,0.1536,0.6063
O2 + N14,split_2+14,OldNew,hybrid,,,0.7594,0.1215,0.4146
O2 + N14,split_2+14,2models,k_subset,Old_under+New_under,"0,3",0.8018,0.1689,0.4704
O2 + N14,split_2+14,2models,k_subset,Old_under+New_over,"0,4",0.7546,0.1192,0.4146
O2 + N14,split_2+14,2models,k_subset,Old_under+New_hybrid,"0,5",0.7899,0.1451,0.4321
O2 + N14,split_2+14,2models,k_subset,Old_over+New_under,"1,3",0.7790,0.1366,0.4913
O2 + N14,split_2+14,2models,k_subset,Old_over+New_over,"1,4",0.7315,0.1018,0.4599
O2 + N14,split_2+14,2models,k_subset,Old_over+New_hybrid,"1,5",0.7680,0.1216,0.4913
O2 + N14,split_2+14,2models,k_subset,Old_hybrid+New_under,"2,3",0.7690,0.1209,0.4007
O2 + N14,split_2+14,2models,k_subset,Old_hybrid+New_over,"2,4",0.7267,0.0918,0.5087
O2 + N14,split_2+14,2models,k_subset,Old_hybrid+New_hybrid,"2,5",0.7594,0.1215,0.4146
O2 + N14,split_2+14,2models,k_subsets_mean,,,0.7644,0.1252,0.4537
O2 + N14,split_2+14,3models,k_subset,Old_under+Old_over+New_under,"0,1,3",0.7565,0.1168,0.5122
O2 + N14,split_2+14,3models,k_subset,Old_under+Old_over+New_over,"0,1,4",0.7148,0.0934,0.4878
O2 + N14,split_2+14,3models,k_subset,Old_under+Old_over+New_hybrid,"0,1,5",0.7504,0.1102,0.4983
O2 + N14,split_2+14,3models,k_subset,Old_under+Old_hybrid+New_under,"0,2,3",0.7481,0.1074,0.4286
O2 + N14,split_2+14,3models,k_subset,Old_under+Old_hybrid+New_over,"0,2,4",0.7101,0.0918,0.4599
O2 + N14,split_2+14,3models,k_subset,Old_under+Old_hybrid+New_hybrid,"0,2,5",0.7425,0.1054,0.4460
O2 + N14,split_2+14,3models,k_subset,Old_under+New_under+New_over,"0,3,4",0.8157,0.1589,0.5540
O2 + N14,split_2+14,3models,k_subset,Old_under+New_under+New_hybrid,"0,3,5",0.8310,0.1829,0.4948
O2 + N14,split_2+14,3models,k_subset,Old_under+New_over+New_hybrid,"0,4,5",0.7997,0.1475,0.4878
O2 + N14,split_2+14,3models,k_subset,Old_over+Old_hybrid+New_under,"1,2,3",0.7349,0.0976,0.5052
O2 + N14,split_2+14,3models,k_subset,Old_over+Old_hybrid+New_over,"1,2,4",0.6993,0.0846,0.4599
O2 + N14,split_2+14,3models,k_subset,Old_over+Old_hybrid+New_hybrid,"1,2,5",0.7305,0.0967,0.5436
O2 + N14,split_2+14,3models,k_subset,Old_over+New_under+New_over,"1,3,4",0.7979,0.1455,0.4286
O2 + N14,split_2+14,3models,k_subset,Old_over+New_under+New_hybrid,"1,3,5",0.8150,0.1615,0.4599
O2 + N14,split_2+14,3models,k_subset,Old_over+New_over+New_hybrid,"1,4,5",0.7833,0.1359,0.4739
O2 + N14,split_2+14,3models,k_subset,Old_hybrid+New_under+New_over,"2,3,4",0.7922,0.1434,0.4251
O2 + N14,split_2+14,3models,k_subset,Old_hybrid+New_under+New_hybrid,"2,3,5",0.8082,0.1544,0.4530
O2 + N14,split_2+14,3models,k_subset,Old_hybrid+New_over+New_hybrid,"2,4,5",0.7793,0.1282,0.4808
O2 + N14,split_2+14,3models,k_subsets_mean,,,0.7672,0.1257,0.4777
O2 + N14,split_2+14,4models,k_subset,Old_under+Old_over+Old_hybrid+New_under,"0,1,2,3",0.7200,0.0903,0.5645
O2 + N14,split_2+14,4models,k_subset,Old_under+Old_over+Old_hybrid+New_over,"0,1,2,4",0.6879,0.0810,0.5296
O2 + N14,split_2+14,4models,k_subset,Old_under+Old_over+Old_hybrid+New_hybrid,"0,1,2,5",0.7184,0.0933,0.5192
O2 + N14,split_2+14,4models,k_subset,Old_under+Old_over+New_under+New_over,"0,1,3,4",0.7847,0.1322,0.4460
O2 + N14,split_2+14,4models,k_subset,Old_under+Old_over+New_under+New_hybrid,"0,1,3,5",0.8022,0.1469,0.4390
O2 + N14,split_2+14,4models,k_subset,Old_under+Old_over+New_over+New_hybrid,"0,1,4,5",0.7730,0.1229,0.3937
O2 + N14,split_2+14,4models,k_subset,Old_under+Old_hybrid+New_under+New_over,"0,2,3,4",0.7787,0.1183,0.5087
O2 + N14,split_2+14,4models,k_subset,Old_under+Old_hybrid+New_under+New_hybrid,"0,2,3,5",0.7952,0.1415,0.4286
O2 + N14,split_2+14,4models,k_subset,Old_under+Old_hybrid+New_over+New_hybrid,"0,2,4,5",0.7681,0.1170,0.4774
O2 + N14,split_2+14,4models,k_subset,Old_under+New_under+New_over+New_hybrid,"0,3,4,5",0.8278,0.1789,0.4808
O2 + N14,split_2+14,4models,k_subset,Old_over+Old_hybrid+New_under+New_over,"1,2,3,4",0.7659,0.1127,0.4321
O2 + N14,split_2+14,4models,k_subset,Old_over+Old_hybrid+New_under+New_hybrid,"1,2,3,5",0.7824,0.1201,0.4181
O2 + N14,split_2+14,4models,k_subset,Old_over+Old_hybrid+New_over+New_hybrid,"1,2,4,5",0.7567,0.1093,0.4251
O2 + N14,split_2+14,4models,k_subset,Old_over+New_under+New_over+New_hybrid,"1,3,4,5",0.8149,0.1515,0.5052
O2 + N14,split_2+14,4models,k_subset,Old_hybrid+New_under+New_over+New_hybrid,"2,3,4,5",0.8111,0.1545,0.4878
O2 + N14,split_2+14,4models,k_subsets_mean,,,0.7725,0.1247,0.4704
O2 + N14,split_2+14,5models,k_subset,Old_under+Old_over+Old_hybrid+New_under+New_over,"0,1,2,3,4",0.7552,0.1063,0.4111
O2 + N14,split_2+14,5models,k_subset,Old_under+Old_over+Old_hybrid+New_under+New_hybrid,"0,1,2,3,5",0.7719,0.1173,0.4599
O2 + N14,split_2+14,5models,k_subset,Old_under+Old_over+Old_hybrid+New_over+New_hybrid,"0,1,2,4,5",0.7480,0.1023,0.4251
O2 + N14,split_2+14,5models,k_subset,Old_under+Old_over+New_under+New_over+New_hybrid,"0,1,3,4,5",0.8064,0.1465,0.4425
O2 + N14,split_2+14,5models,k_subset,Old_under+Old_hybrid+New_under+New_over+New_hybrid,"0,2,3,4,5",0.8021,0.1404,0.4564
O2 + N14,split_2+14,5models,k_subset,Old_over+Old_hybrid+New_under+New_over+New_hybrid,"1,2,3,4,5",0.7915,0.1261,0.4669
O2 + N14,split_2+14,5models,k_subsets_mean,,,0.7792,0.1231,0.4437
O2 + N14,split_2+14,6models,k_subset,Old_under+Old_over+Old_hybrid+New_under+New_over+New_hybrid,"0,1,2,3,4,5",0.7835,0.1262,0.4530
O2 + N14,split_2+14,6models,k_subsets_mean,,,0.7835,0.1262,0.4530
O4 + N12,split_4+12,Old,under,,,0.5456,0.0520,0.1324
O4 + N12,split_4+12,New,under,,,0.8416,0.2240,0.5261
O4 + N12,split_4+12,OldNew,under,,,0.8028,0.1629,0.4983
O4 + N12,split_4+12,Old,over,,,0.5773,0.0598,0.2125
