dataset,split,ensemble,type,subset,subset_indices,AUC,F1,Recall
O1 + N7,split_1+7,Old,under,,,0.5670,0.2045,0.6290
O1 + N7,split_1+7,New,under,,,0.6256,0.2378,0.4098
O1 + N7,split_1+7,Retrain,under,,,0.6130,0.2272,0.6018
O1 + N7,split_1+7,Old,over,,,0.5794,0.2101,0.6216
O1 + N7,split_1+7,New,over,,,0.6461,0.2512,0.4698
O1 + N7,split_1+7,Retrain,over,,,0.6328,0.2424,0.4938
O1 + N7,split_1+7,Old,hybrid,,,0.5922,0.2150,0.4882
O1 + N7,split_1+7,New,hybrid,,,0.6543,0.2545,0.5251
O1 + N7,split_1+7,Retrain,hybrid,,,0.6394,0.2427,0.4361
O2 + N6,split_2+6,Old,under,,,0.5672,0.2066,0.5459
O2 + N6,split_2+6,New,under,,,0.6224,0.2352,0.4209
O2 + N6,split_2+6,Retrain,under,,,0.6116,0.2212,0.4301
O2 + N6,split_2+6,Old,over,,,0.5973,0.2179,0.4735
O2 + N6,split_2+6,New,over,,,0.6419,0.2457,0.4993
O2 + N6,split_2+6,Retrain,over,,,0.6381,0.2422,0.4721
O2 + N6,split_2+6,Old,hybrid,,,0.6150,0.2293,0.5122
O2 + N6,split_2+6,New,hybrid,,,0.6512,0.2462,0.5764
O2 + N6,split_2+6,Retrain,hybrid,,,0.6454,0.2485,0.4836
O3 + N5,split_3+5,Old,under,,,0.5944,0.2192,0.4864
O3 + N5,split_3+5,New,under,,,0.6186,0.2331,0.4541
O3 + N5,split_3+5,Retrain,under,,,0.6237,0.2339,0.4564
O3 + N5,split_3+5,Old,over,,,0.6153,0.2307,0.4130
O3 + N5,split_3+5,New,over,,,0.6325,0.2413,0.4661
O3 + N5,split_3+5,Retrain,over,,,0.6395,0.2484,0.4375
O3 + N5,split_3+5,Old,hybrid,,,0.6277,0.2319,0.4472
O3 + N5,split_3+5,New,hybrid,,,0.6473,0.2462,0.4259
O3 + N5,split_3+5,Retrain,hybrid,,,0.6492,0.2467,0.4222
O4 + N4,split_4+4,Old,under,,,0.6072,0.2260,0.4250
O4 + N4,split_4+4,New,under,,,0.6151,0.2321,0.5547
O4 + N4,split_4+4,Retrain,under,,,0.6290,0.2390,0.3992
O4 + N4,split_4+4,Old,over,,,0.6220,0.2362,0.5219
O4 + N4,split_4+4,New,over,,,0.6280,0.2355,0.4749
O4 + N4,split_4+4,Retrain,over,,,0.6453,0.2492,0.4536
O4 + N4,split_4+4,Old,hybrid,,,0.6314,0.2399,0.4975
O4 + N4,split_4+4,New,hybrid,,,0.6449,0.2456,0.5187
O4 + N4,split_4+4,Retrain,hybrid,,,0.6525,0.2495,0.5021
O5 + N3,split_5+3,Old,under,,,0.6101,0.2298,0.5215
O5 + N3,split_5+3,New,under,,,0.6069,0.2301,0.4509
O5 + N3,split_5+3,Retrain,under,,,0.6254,0.2365,0.4296
O5 + N3,split_5+3,Old,over,,,0.6349,0.2450,0.4259
O5 + N3,split_5+3,New,over,,,0.6255,0.2334,0.4550
O5 + N3,split_5+3,Retrain,over,,,0.6476,0.2531,0.4629
O5 + N3,split_5+3,Old,hybrid,,,0.6417,0.2492,0.4952
O5 + N3,split_5+3,New,hybrid,,,0.6389,0.2424,0.4905
O5 + N3,split_5+3,Retrain,hybrid,,,0.6540,0.2575,0.3839
O6 + N2,split_6+2,Old,under,,,0.6226,0.2294,0.3304
O6 + N2,split_6+2,New,under,,,0.5956,0.2166,0.6211
O6 + N2,split_6+2,Retrain,under,,,0.6270,0.2377,0.4564
O6 + N2,split_6+2,Old,over,,,0.6337,0.2443,0.4412
O6 + N2,split_6+2,New,over,,,0.6144,0.2278,0.4186
O6 + N2,split_6+2,Retrain,over,,,0.6445,0.2472,0.4758
O6 + N2,split_6+2,Old,hybrid,,,0.6515,0.2546,0.5210
O6 + N2,split_6+2,New,hybrid,,,0.6347,0.2364,0.5542
O6 + N2,split_6+2,Retrain,hybrid,,,0.6560,0.2593,0.4928
O7 + N1,split_7+1,Old,under,,,0.6224,0.2332,0.3789
O7 + N1,split_7+1,New,under,,,0.5932,0.2151,0.5796
O7 + N1,split_7+1,Retrain,under,,,0.6262,0.2341,0.5284
O7 + N1,split_7+1,Old,over,,,0.6401,0.2445,0.4749
O7 + N1,split_7+1,New,over,,,0.6094,0.2242,0.5616
O7 + N1,split_7+1,Retrain,over,,,0.6429,0.2514,0.4536
O7 + N1,split_7+1,Old,hybrid,,,0.6505,0.2538,0.5104
O7 + N1,split_7+1,New,hybrid,,,0.6295,0.2429,0.3918
O7 + N1,split_7+1,Retrain,hybrid,,,0.6510,0.2536,0.5598
