split,fs,ensemble,AUC,F1,Recall
split_1+15,no_fs,DCS_OLA,0.733708,0.203209,0.331010
split_1+15,no_fs,DCS_LCA,0.734334,0.214286,0.250871
split_1+15,no_fs,DCS_OLA_TW,0.747521,0.208986,0.348432
split_1+15,no_fs,DCS_LCA_TW,0.744164,0.212291,0.264808
split_1+15,mutual_info_r50,DCS_OLA,0.692698,0.169720,0.306620
split_1+15,mutual_info_r50,DCS_LCA,0.668899,0.184751,0.219512
split_1+15,mutual_info_r50,DCS_OLA_TW,0.696185,0.170778,0.313589
split_1+15,mutual_info_r50,DCS_LCA_TW,0.688590,0.181564,0.226481
split_1+15,mutual_info_r80,DCS_OLA,0.745161,0.203913,0.344948
split_1+15,mutual_info_r80,DCS_LCA,0.704250,0.223188,0.268293
split_1+15,mutual_info_r80,DCS_OLA_TW,0.759251,0.204040,0.351916
split_1+15,mutual_info_r80,DCS_LCA_TW,0.718105,0.224044,0.285714
split_1+15,shap_r50,DCS_OLA,0.678655,0.166038,0.306620
split_1+15,shap_r50,DCS_LCA,0.661585,0.183381,0.222997
split_1+15,shap_r50,DCS_OLA_TW,0.680252,0.166512,0.313589
split_1+15,shap_r50,DCS_LCA_TW,0.671514,0.183267,0.240418
split_1+15,shap_r80,DCS_OLA,0.748028,0.192149,0.324042
split_1+15,shap_r80,DCS_LCA,0.713287,0.193452,0.226481
split_1+15,shap_r80,DCS_OLA_TW,0.753592,0.193939,0.334495
split_1+15,shap_r80,DCS_LCA_TW,0.726116,0.191518,0.243902
split_2+14,no_fs,DCS_OLA,0.744973,0.186898,0.337979
split_2+14,no_fs,DCS_LCA,0.738019,0.232353,0.275261
split_2+14,no_fs,DCS_OLA_TW,0.748519,0.189239,0.355401
split_2+14,no_fs,DCS_LCA_TW,0.756689,0.217899,0.292683
split_2+14,mutual_info_r50,DCS_OLA,0.699160,0.166267,0.362369
split_2+14,mutual_info_r50,DCS_LCA,0.659580,0.192256,0.250871
split_2+14,mutual_info_r50,DCS_OLA_TW,0.705384,0.170376,0.386760
split_2+14,mutual_info_r50,DCS_LCA_TW,0.686736,0.195853,0.296167
split_2+14,mutual_info_r80,DCS_OLA,0.755139,0.218896,0.407666
split_2+14,mutual_info_r80,DCS_LCA,0.748013,0.226207,0.285714
split_2+14,mutual_info_r80,DCS_OLA_TW,0.765802,0.217430,0.421603
split_2+14,mutual_info_r80,DCS_LCA_TW,0.760845,0.220297,0.310105
split_2+14,shap_r50,DCS_OLA,0.690060,0.154368,0.317073
split_2+14,shap_r50,DCS_LCA,0.686045,0.204852,0.264808
split_2+14,shap_r50,DCS_OLA_TW,0.703171,0.164782,0.355401
split_2+14,shap_r50,DCS_LCA_TW,0.705654,0.207390,0.303136
split_2+14,shap_r80,DCS_OLA,0.742766,0.186916,0.348432
split_2+14,shap_r80,DCS_LCA,0.713556,0.207681,0.254355
split_2+14,shap_r80,DCS_OLA_TW,0.746640,0.188577,0.362369
split_2+14,shap_r80,DCS_LCA_TW,0.732671,0.213740,0.292683
split_3+13,no_fs,DCS_OLA,0.777216,0.202247,0.376307
split_3+13,no_fs,DCS_LCA,0.760546,0.230994,0.275261
split_3+13,no_fs,DCS_OLA_TW,0.784378,0.205856,0.404181
split_3+13,no_fs,DCS_LCA_TW,0.784037,0.221669,0.310105
split_3+13,mutual_info_r50,DCS_OLA,0.682354,0.146688,0.324042
split_3+13,mutual_info_r50,DCS_LCA,0.665605,0.185339,0.233449
split_3+13,mutual_info_r50,DCS_OLA_TW,0.700555,0.163551,0.365854
split_3+13,mutual_info_r50,DCS_LCA_TW,0.690180,0.194245,0.282230
split_3+13,mutual_info_r80,DCS_OLA,0.726455,0.161404,0.320557
split_3+13,mutual_info_r80,DCS_LCA,0.705628,0.185714,0.226481
split_3+13,mutual_info_r80,DCS_OLA_TW,0.740443,0.165289,0.348432
split_3+13,mutual_info_r80,DCS_LCA_TW,0.726253,0.194411,0.278746
split_3+13,shap_r50,DCS_OLA,0.748027,0.171946,0.397213
split_3+13,shap_r50,DCS_LCA,0.707520,0.190715,0.264808
split_3+13,shap_r50,DCS_OLA_TW,0.754779,0.171965,0.414634
split_3+13,shap_r50,DCS_LCA_TW,0.746909,0.186916,0.313589
split_3+13,shap_r80,DCS_OLA,0.748389,0.179156,0.362369
split_3+13,shap_r80,DCS_LCA,0.740278,0.220452,0.289199
split_3+13,shap_r80,DCS_OLA_TW,0.765763,0.178542,0.379791
split_3+13,shap_r80,DCS_LCA_TW,0.757620,0.203704,0.306620
split_4+12,no_fs,DCS_OLA,0.773885,0.190231,0.386760
split_4+12,no_fs,DCS_LCA,0.753407,0.233333,0.292683
split_4+12,no_fs,DCS_OLA_TW,0.788144,0.195122,0.418118
split_4+12,no_fs,DCS_LCA_TW,0.771842,0.216152,0.317073
split_4+12,mutual_info_r50,DCS_OLA,0.747674,0.164345,0.411150
split_4+12,mutual_info_r50,DCS_LCA,0.729915,0.211055,0.292683
split_4+12,mutual_info_r50,DCS_OLA_TW,0.759667,0.169108,0.442509
split_4+12,mutual_info_r50,DCS_LCA_TW,0.750842,0.203077,0.344948
split_4+12,mutual_info_r80,DCS_OLA,0.753877,0.174863,0.390244
split_4+12,mutual_info_r80,DCS_LCA,0.730493,0.210797,0.285714
split_4+12,mutual_info_r80,DCS_OLA_TW,0.779226,0.185629,0.432056
split_4+12,mutual_info_r80,DCS_LCA_TW,0.745235,0.204126,0.327526
