,AUC,F1,G_Mean,Recall,Precision,Type1_Error,Type2_Error
no_fs,0.6545163394398227,0.18793503480278423,0.5118506170893924,0.3047977422389464,0.13584905660377358,0.140442930153322,0.6952022577610536
mutual_info_r20,0.659136736535247,0.1884732701878311,0.6163650919891277,0.5522107243650047,0.11362756484707705,0.3120272572402044,0.4477892756349953
mutual_info_r50,0.6669665262243563,0.2044525215810995,0.5830875762049245,0.4233301975540922,0.1347708894878706,0.19686541737649063,0.5766698024459078
mutual_info_r80,0.6694232035911349,0.20010587612493383,0.5467799685172341,0.35559736594543745,0.13922651933701657,0.15925042589437818,0.6444026340545626
cart_r20,0.639977819837463,0.17828947368421053,0.5953111843988682,0.5098777046095955,0.1080326888578832,0.3049403747870528,0.4901222953904045
cart_r50,0.65986688697252,0.18638647784376428,0.5547862951474065,0.38381937911571024,0.12307692307692308,0.19809199318568996,0.6161806208842897
cart_r80,0.658892882956372,0.1804553026096613,0.5095214141931705,0.3057384760112888,0.12800315084679006,0.15086882453151618,0.6942615239887112
ga_r20,0.6231333966899633,0.16886162727764747,0.5655968003241987,0.44026340545625586,0.10446428571428572,0.2733901192504259,0.5597365945437441
ga_r50,0.6427722318468031,0.17641921397379912,0.5472067902231044,0.38005644402634053,0.1148706283764572,0.21212947189097103,0.6199435559736595
ga_r80,0.6489456569991714,0.17155506364139458,0.49708492344244753,0.2916274694261524,0.12152097216777734,0.15270868824531517,0.7083725305738476
