,AUC,F1,G_Mean,Recall,Precision,Type1_Error,Type2_Error
no_fs,0.6664676328667649,0.18705035971223022,0.35023221526504805,0.12598061836640517,0.363031914893617,0.026337493814262935,0.8740193816335948
mutual_info_r20,0.6500811608793017,0.16981132075471697,0.3358264901196644,0.11628980156898938,0.3146067415730337,0.030186396876890086,0.8837101984310106
mutual_info_r50,0.6589622338344232,0.21825750817722273,0.40204335187101986,0.1693585602215044,0.3068561872909699,0.04558200912739869,0.8306414397784956
mutual_info_r80,0.6637918726157969,0.19544846050870146,0.3617030683348402,0.13474850023073373,0.3556638246041413,0.029086710287568044,0.8652514997692663
cart_r20,0.5284933895362665,0.029623698959167333,0.12960819246936753,0.01707429626211352,0.11178247734138973,0.016165392863034034,0.9829257037378865
cart_r50,0.65546344672479,0.19100032372936226,0.3625461309223252,0.13613290263036457,0.3199566160520607,0.034475174575246056,0.8638670973696354
cart_r80,0.6626837493446347,0.19041188386225524,0.3556165713527703,0.13013382556529765,0.35471698113207545,0.028206961016110407,0.8698661744347024
ga_r20,0.6500811608793017,0.16981132075471697,0.3358264901196644,0.11628980156898938,0.3146067415730337,0.030186396876890086,0.8837101984310106
ga_r50,0.6311204606179625,0.15369522563767168,0.32331606684705855,0.10844485463774804,0.26374859708193044,0.03606972012976302,0.891555145362252
ga_r80,0.6645587479649518,0.19885791064830366,0.3643267043118249,0.13659437009690817,0.3654320987654321,0.028261945345576512,0.8634056299030919
