,AUC,F1,G_Mean,Recall,Precision,Type1_Error,Type2_Error
no_fs,0.5942312529696191,0.0,0.0,0.0,0.0,0.0,1.0
mutual_info_r20,0.5,0.0,0.0,0.0,0.0,0.0,1.0
mutual_info_r50,0.5423292993096509,0.0,0.0,0.0,0.0,0.0,1.0
mutual_info_r80,0.5296263171133906,0.0,0.0,0.0,0.0,0.0,1.0
cart_r20,0.6180021800497498,0.0,0.0,0.0,0.0,0.0,1.0
cart_r50,0.6344992872914279,0.0,0.0,0.0,0.0,0.0,1.0
cart_r80,0.6420526006875542,0.0,0.0,0.0,0.0,0.0,1.0
ga_r20,0.6180021800497498,0.0,0.0,0.0,0.0,0.0,1.0
ga_r50,0.5304647977864111,0.0,0.0,0.0,0.0,0.0,1.0
ga_r80,0.5267125967746443,0.0,0.0,0.0,0.0,0.0,1.0
