,AUC,F1,G_Mean,Recall,Precision,Type1_Error,Type2_Error
no_fs,0.5478135084010236,0.0,0.0,0.0,0.0,0.0,1.0
mutual_info_r20,0.4978858350951374,0.0,0.0,0.0,0.0,0.0,1.0
mutual_info_r50,0.5411149438077222,0.15676959619952494,0.48967303556816966,0.3473684210526316,0.10122699386503067,0.3097251585623679,0.6526315789473685
mutual_info_r80,0.5279737398464448,0.0,0.0,0.0,0.0,0.0200845665961945,1.0
cart_r20,0.5136530544119283,0.034482758620689655,0.19022513352414688,0.042105263157894736,0.029197080291970802,0.14059196617336153,0.9578947368421052
cart_r50,0.5370924668966284,0.0,0.0,0.0,0.0,0.019027484143763214,1.0
cart_r80,0.5513686435963058,0.0,0.0,0.0,0.0,0.0,1.0
ga_r20,0.4978858350951374,0.0,0.0,0.0,0.0,0.0,1.0
ga_r50,0.5450873483921219,0.15348837209302327,0.48628685793545195,0.3473684210526316,0.09850746268656717,0.3192389006342495,0.6526315789473685
ga_r80,0.5397518638032714,0.0,0.0,0.0,0.0,0.0,1.0
