,AUC,F1,G_Mean,Recall,Precision,Type1_Error,Type2_Error
no_fs,0.6043487730506751,0.0,0.0,0.0,0.0,0.0,1.0
mutual_info_r20,0.5,0.0,0.0,0.0,0.0,0.0,1.0
mutual_info_r50,0.5958254682735589,0.0,0.0,0.0,0.0,0.0,1.0
mutual_info_r80,0.5807971540583708,0.0,0.0,0.0,0.0,0.003092783505154639,1.0
cart_r20,0.5692681864382169,0.0,0.0,0.0,0.0,0.0,1.0
cart_r50,0.595135763031799,0.0,0.0,0.0,0.0,0.018556701030927835,1.0
cart_r80,0.5930593872513431,0.0,0.0,0.0,0.0,0.0,1.0
ga_r20,0.562639756062146,0.0,0.0,0.0,0.0,0.0,1.0
ga_r50,0.5963554523014375,0.0,0.0,0.0,0.0,0.0,1.0
ga_r80,0.5570567736314795,0.0,0.0,0.0,0.0,0.003092783505154639,1.0
