split,fs,ensemble,AUC,F1,Recall
split_1+7,no_fs,DCS_OLA,0.593054,0.110816,0.077065
split_1+7,no_fs,DCS_LCA,0.593087,0.083573,0.053530
split_1+7,no_fs,DCS_OLA_TW,0.600554,0.109188,0.075681
split_1+7,no_fs,DCS_LCA_TW,0.592838,0.083691,0.053992
split_1+7,mi_r80,DCS_OLA,0.588602,0.114404,0.076604
split_1+7,mi_r80,DCS_LCA,0.595488,0.089036,0.055838
split_1+7,mi_r80,DCS_OLA_TW,0.599604,0.107978,0.072450
split_1+7,mi_r80,DCS_LCA_TW,0.594550,0.088760,0.056299
split_2+6,no_fs,DCS_OLA,0.594553,0.118748,0.084910
split_2+6,no_fs,DCS_LCA,0.604068,0.091295,0.059529
split_2+6,no_fs,DCS_OLA_TW,0.606630,0.116287,0.083526
split_2+6,no_fs,DCS_LCA_TW,0.601527,0.095601,0.063683
split_2+6,mi_r80,DCS_OLA,0.595470,0.112290,0.075681
split_2+6,mi_r80,DCS_LCA,0.604427,0.085821,0.053069
split_2+6,mi_r80,DCS_OLA_TW,0.608216,0.117607,0.080295
split_2+6,mi_r80,DCS_LCA_TW,0.603627,0.092802,0.058606
split_3+5,no_fs,DCS_OLA,0.596010,0.118748,0.084910
split_3+5,no_fs,DCS_LCA,0.604388,0.083422,0.053992
split_3+5,no_fs,DCS_OLA_TW,0.609897,0.121656,0.088140
split_3+5,no_fs,DCS_LCA_TW,0.604272,0.094011,0.062298
split_3+5,mi_r80,DCS_OLA,0.601400,0.123188,0.086294
split_3+5,mi_r80,DCS_LCA,0.610144,0.097525,0.061837
split_3+5,mi_r80,DCS_OLA_TW,0.611556,0.121037,0.087217
split_3+5,mi_r80,DCS_LCA_TW,0.611381,0.102781,0.067374
split_4+4,no_fs,DCS_OLA,0.595704,0.109518,0.077527
split_4+4,no_fs,DCS_LCA,0.604717,0.087850,0.057222
split_4+4,no_fs,DCS_OLA_TW,0.608215,0.117831,0.086756
split_4+4,no_fs,DCS_LCA_TW,0.598705,0.099257,0.067836
split_4+4,mi_r80,DCS_OLA,0.605573,0.118230,0.082603
split_4+4,mi_r80,DCS_LCA,0.611138,0.099752,0.065067
split_4+4,mi_r80,DCS_OLA_TW,0.615359,0.115906,0.084910
split_4+4,mi_r80,DCS_LCA_TW,0.609102,0.100540,0.068759
split_5+3,no_fs,DCS_OLA,0.600389,0.105053,0.072912
split_5+3,no_fs,DCS_LCA,0.598807,0.075636,0.047993
split_5+3,no_fs,DCS_OLA_TW,0.609444,0.112061,0.081680
split_5+3,no_fs,DCS_LCA_TW,0.595892,0.094173,0.064144
split_5+3,mi_r80,DCS_OLA,0.612012,0.127573,0.087217
split_5+3,mi_r80,DCS_LCA,0.610179,0.102841,0.065990
split_5+3,mi_r80,DCS_OLA_TW,0.618951,0.128051,0.093216
split_5+3,mi_r80,DCS_LCA_TW,0.608609,0.110583,0.075219
split_6+2,no_fs,DCS_OLA,0.599346,0.112434,0.078449
split_6+2,no_fs,DCS_LCA,0.608209,0.092119,0.059068
split_6+2,no_fs,DCS_OLA_TW,0.607201,0.120927,0.089063
split_6+2,no_fs,DCS_LCA_TW,0.598257,0.110385,0.077988
split_6+2,mi_r80,DCS_OLA,0.598199,0.103591,0.069220
split_6+2,mi_r80,DCS_LCA,0.602191,0.077291,0.048454
split_6+2,mi_r80,DCS_OLA_TW,0.603586,0.120000,0.085833
split_6+2,mi_r80,DCS_LCA_TW,0.601270,0.097940,0.066913
split_7+1,no_fs,DCS_OLA,0.607376,0.116452,0.079372
split_7+1,no_fs,DCS_LCA,0.603672,0.087912,0.055376
split_7+1,no_fs,DCS_OLA_TW,0.603485,0.119608,0.084449
split_7+1,no_fs,DCS_LCA_TW,0.599992,0.106855,0.073373
split_7+1,mi_r80,DCS_OLA,0.601510,0.118046,0.080295
split_7+1,mi_r80,DCS_LCA,0.608895,0.095652,0.060914
split_7+1,mi_r80,DCS_OLA_TW,0.600459,0.136233,0.098293
split_7+1,mi_r80,DCS_LCA_TW,0.607057,0.114555,0.078449
