split,dataset,fs,n_features,ensemble,sampling,AUC,F1,G_Mean,Recall,Precision,Type1_Error,Type2_Error
split_1+15,1+15,no_fs,19,Old,under,0.535283,0.057175,0.509555,0.351916,0.031115,0.262193,0.648084
split_1+15,1+15,no_fs,19,New,under,0.824863,0.198047,0.67329,0.494774,0.123801,0.083785,0.505226
split_1+15,1+15,no_fs,19,Old,over,0.557664,0.058688,0.513747,0.355401,0.031985,0.257357,0.644599
split_1+15,1+15,no_fs,19,New,over,0.780163,0.140575,0.6356,0.45993,0.082967,0.121634,0.54007
split_1+15,1+15,no_fs,19,Old,hybrid,0.557317,0.056776,0.528016,0.400697,0.030553,0.30421,0.599303
split_1+15,1+15,no_fs,19,New,hybrid,0.820399,0.158329,0.666095,0.501742,0.093995,0.115715,0.498258
split_1+15,1+15,no_fs,19,Old_3,ensemble,0.563396,0.059172,0.49388,0.313589,0.032668,0.222176,0.686411
split_1+15,1+15,no_fs,19,New_3,ensemble,0.836586,0.155821,0.722095,0.61324,0.089249,0.149729,0.38676
split_1+15,1+15,no_fs,19,All_6,ensemble,0.795764,0.1314,0.656097,0.505226,0.075521,0.147978,0.494774
split_1+15,1+15,no_fs,19,Old_under_New_under,ensemble,0.811469,0.161654,0.636601,0.449477,0.098549,0.098374,0.550523
split_1+15,1+15,no_fs,19,Old_hybrid_New_hybrid,ensemble,0.765588,0.120073,0.623955,0.456446,0.069129,0.147061,0.543554
split_1+15,1+15,shap_r50,9,Old,under,0.529675,0.052513,0.505805,0.365854,0.028287,0.300709,0.634146
split_1+15,1+15,shap_r50,9,New,under,0.821795,0.183509,0.681935,0.515679,0.111614,0.098208,0.484321
split_1+15,1+15,shap_r50,9,Old,over,0.519471,0.050469,0.458271,0.271777,0.027817,0.227261,0.728223
split_1+15,1+15,shap_r50,9,New,over,0.760509,0.130364,0.682943,0.560976,0.073752,0.16857,0.439024
split_1+15,1+15,shap_r50,9,Old,hybrid,0.574742,0.062944,0.504459,0.324042,0.034858,0.214673,0.675958
