fs,ensemble,sampling,n_splits,AUC_mean,AUC_std,F1_mean,F1_std,G_Mean_mean,G_Mean_std,Recall_mean,Recall_std,Precision_mean,Precision_std,Type1_Error_mean,Type1_Error_std,Type2_Error_mean,Type2_Error_std
no_fs,All_6,ensemble,15,0.8213,0.0206,0.1602,0.0203,0.6812,0.0443,0.5329,0.0758,0.0947,0.0133,0.124,0.0235,0.4671,0.0758
no_fs,New,hybrid,15,0.8315,0.0074,0.1841,0.0218,0.7122,0.0235,0.5738,0.0474,0.1103,0.0164,0.1138,0.024,0.4262,0.0474
no_fs,New,over,15,0.8003,0.0124,0.1641,0.0161,0.6747,0.0241,0.5168,0.049,0.098,0.0119,0.1164,0.0251,0.4832,0.049
no_fs,New,under,15,0.8397,0.014,0.2048,0.0161,0.6979,0.0397,0.538,0.0702,0.1275,0.0141,0.0899,0.0199,0.462,0.0702
no_fs,New_3,ensemble,15,0.849,0.0088,0.1893,0.0222,0.7285,0.0185,0.6016,0.0404,0.113,0.0168,0.1162,0.0239,0.3984,0.0404
no_fs,Old,hybrid,15,0.6945,0.0809,0.1027,0.035,0.5773,0.0708,0.4065,0.0921,0.0593,0.0215,0.1691,0.0614,0.5935,0.0921
no_fs,Old,over,15,0.6536,0.0705,0.0855,0.0261,0.5382,0.0748,0.3559,0.0966,0.0488,0.0155,0.1711,0.0341,0.6441,0.0966
no_fs,Old,under,15,0.6628,0.0964,0.1064,0.0483,0.5045,0.0901,0.2952,0.1008,0.0661,0.0331,0.1126,0.0469,0.7048,0.1008
no_fs,Old_3,ensemble,15,0.6948,0.0873,0.107,0.0411,0.5452,0.0717,0.3475,0.0825,0.0638,0.0264,0.1349,0.0434,0.6525,0.0825
no_fs,Old_hybrid_New_hybrid,ensemble,15,0.8059,0.0229,0.1514,0.0198,0.683,0.0436,0.5422,0.0719,0.0882,0.0123,0.1354,0.0182,0.4578,0.0719
no_fs,Old_under_New_under,ensemble,15,0.8165,0.0177,0.1845,0.0268,0.661,0.0428,0.4832,0.0634,0.1147,0.0198,0.0912,0.0174,0.5168,0.0634
shap_r50,All_6,ensemble,15,0.8157,0.0307,0.1599,0.0278,0.6832,0.0679,0.5412,0.1023,0.0944,0.0171,0.1268,0.031,0.4588,0.1023
shap_r50,New,hybrid,15,0.8356,0.0174,0.1924,0.0193,0.7005,0.0327,0.548,0.0584,0.1173,0.014,0.101,0.0238,0.452,0.0584
shap_r50,New,over,15,0.8051,0.0199,0.1636,0.0161,0.694,0.0238,0.5533,0.05,0.0965,0.0124,0.1268,0.0253,0.4467,0.05
shap_r50,New,under,15,0.8433,0.0177,0.1969,0.0245,0.7161,0.0351,0.577,0.0748,0.1203,0.0213,0.1058,0.0308,0.423,0.0748
