split,fs,ensemble,AUC,F1,Recall
split_1+15,no_fs,Dynamic_KNORA_E,0.7547674481091861,0.1285656890317396,0.5574912891986062
split_1+15,no_fs,Dynamic_KNORA_U,0.796142411254399,0.1335162322816643,0.5087108013937283
split_1+15,no_fs,Dynamic_DES_KNN,0.7961040677518073,0.1175714744619338,0.6376306620209059
split_1+15,shap_r80,Dynamic_KNORA_E,0.7319946028615292,0.1321184510250569,0.4041811846689895
split_1+15,shap_r80,Dynamic_KNORA_U,0.7795788895779746,0.1242937853107344,0.4599303135888501
split_1+15,shap_r80,Dynamic_DES_KNN,0.777347704400643,0.124396782841823,0.4041811846689895
split_2+14,no_fs,Dynamic_KNORA_E,0.7505912016185605,0.1403314917127071,0.4425087108013937
split_2+14,no_fs,Dynamic_KNORA_U,0.7980566815731875,0.1336922386720502,0.519163763066202
split_2+14,no_fs,Dynamic_DES_KNN,0.7970693363814482,0.1300089047195013,0.5087108013937283
split_2+14,shap_r80,Dynamic_KNORA_E,0.7527146183151225,0.1457883369330453,0.470383275261324
split_2+14,shap_r80,Dynamic_KNORA_U,0.8005951957334138,0.1353930031803725,0.519163763066202
split_2+14,shap_r80,Dynamic_DES_KNN,0.800176031534626,0.1355121562375448,0.5923344947735192
split_3+13,no_fs,Dynamic_KNORA_E,0.7490002367420804,0.1255946717411988,0.4599303135888501
split_3+13,no_fs,Dynamic_KNORA_U,0.7856911924684066,0.1281484754750331,0.5052264808362369
split_3+13,no_fs,Dynamic_DES_KNN,0.7849652802488841,0.1214689265536723,0.4494773519163763
split_3+13,shap_r80,Dynamic_KNORA_E,0.7585047776875672,0.1311914323962516,0.5121951219512195
split_3+13,shap_r80,Dynamic_KNORA_U,0.7943710576270891,0.1446759259259259,0.4355400696864111
split_3+13,shap_r80,Dynamic_DES_KNN,0.7945633561022086,0.1405644714997233,0.4425087108013937
split_4+12,no_fs,Dynamic_KNORA_E,0.7565524543472671,0.1456483126110124,0.4285714285714285
split_4+12,no_fs,Dynamic_KNORA_U,0.8024990087333136,0.1464646464646464,0.4041811846689895
split_4+12,no_fs,Dynamic_DES_KNN,0.8007680319761572,0.1484002722940776,0.3797909407665505
split_4+12,shap_r80,Dynamic_KNORA_E,0.7518144174474555,0.1293624941833411,0.4843205574912892
split_4+12,shap_r80,Dynamic_KNORA_U,0.8031520102016956,0.1441027994492886,0.5470383275261324
split_4+12,shap_r80,Dynamic_DES_KNN,0.8014346860553105,0.14900314795383,0.494773519163763
split_5+11,no_fs,Dynamic_KNORA_E,0.77237873504204,0.151269584008644,0.4878048780487805
split_5+11,no_fs,Dynamic_KNORA_U,0.8045524194895377,0.148406374501992,0.519163763066202
split_5+11,no_fs,Dynamic_DES_KNN,0.8020513773886623,0.1470019342359768,0.5296167247386759
split_5+11,shap_r80,Dynamic_KNORA_E,0.7644732924432799,0.1437837837837838,0.4634146341463415
split_5+11,shap_r80,Dynamic_KNORA_U,0.7958289821688188,0.1466441060349689,0.4529616724738676
split_5+11,shap_r80,Dynamic_DES_KNN,0.7961290491247079,0.144927536231884,0.4006968641114982
split_6+10,no_fs,Dynamic_KNORA_E,0.7741236548910478,0.1465324384787472,0.4564459930313589
split_6+10,no_fs,Dynamic_KNORA_U,0.8131143493296422,0.1591511936339522,0.4181184668989547
split_6+10,no_fs,Dynamic_DES_KNN,0.8127329476712858,0.1617440225035162,0.4006968641114982
split_6+10,shap_r80,Dynamic_KNORA_E,0.7878311665865423,0.1415701415701415,0.5749128919860628
split_6+10,shap_r80,Dynamic_KNORA_U,0.8134608932583698,0.1568431568431568,0.5470383275261324
split_6+10,shap_r80,Dynamic_DES_KNN,0.8136470916308044,0.1568396226415094,0.4634146341463415
split_7+9,no_fs,Dynamic_KNORA_E,0.8051037525798351,0.1638044914134742,0.4320557491289198
split_7+9,no_fs,Dynamic_KNORA_U,0.8185306595518167,0.1661538461538461,0.470383275261324
split_7+9,no_fs,Dynamic_DES_KNN,0.8197390608456195,0.162917933130699,0.4668989547038327
split_7+9,shap_r80,Dynamic_KNORA_E,0.7807010179909456,0.1567796610169491,0.5156794425087108
split_7+9,shap_r80,Dynamic_KNORA_U,0.8174247980793391,0.1510544384502207,0.5365853658536586
split_7+9,shap_r80,Dynamic_DES_KNN,0.8156055150737895,0.1613285883748517,0.4738675958188153
split_8+8,no_fs,Dynamic_KNORA_E,0.7991029944242157,0.174259681093394,0.5331010452961672
split_8+8,no_fs,Dynamic_KNORA_U,0.8224652257836818,0.1673590504451038,0.4912891986062718
split_8+8,no_fs,Dynamic_DES_KNN,0.823646612337022,0.1623123957754308,0.5087108013937283
split_8+8,shap_r80,Dynamic_KNORA_E,0.7934121795812135,0.1836228287841191,0.5156794425087108
split_8+8,shap_r80,Dynamic_KNORA_U,0.8274963580934565,0.1799426934097421,0.5470383275261324
split_8+8,shap_r80,Dynamic_DES_KNN,0.827031878846151,0.1773009599096555,0.5470383275261324
split_9+7,no_fs,Dynamic_KNORA_E,0.8009992549160291,0.1594454072790294,0.4808362369337979
split_9+7,no_fs,Dynamic_KNORA_U,0.8253601602293639,0.1627267729521715,0.5156794425087108
split_9+7,no_fs,Dynamic_DES_KNN,0.8254409139696708,0.1837228041901692,0.397212543554007
split_9+7,shap_r80,Dynamic_KNORA_E,0.8348766108991407,0.1639050604567846,0.6376306620209059
split_9+7,shap_r80,Dynamic_KNORA_U,0.8402403440457913,0.1767648693718732,0.554006968641115
split_9+7,shap_r80,Dynamic_DES_KNN,0.8422159058725107,0.1816091954022988,0.5505226480836237
split_10+6,no_fs,Dynamic_KNORA_E,0.8367905907368489,0.1764400622729631,0.5923344947735192
split_10+6,no_fs,Dynamic_KNORA_U,0.8431820459453926,0.1893708002443494,0.5400696864111498
split_10+6,no_fs,Dynamic_DES_KNN,0.8461757439583566,0.1868435599778883,0.5888501742160279
