train_scope,fs_method,fs_ratio,feature,selected_count,n_splits,selected_rate
new,mutual_info,0.500000,MajorGroup,15,15,1.000000
new,mutual_info,0.500000,X11,15,15,1.000000
new,mutual_info,0.500000,X12,15,15,1.000000
new,mutual_info,0.500000,X4,15,15,1.000000
new,mutual_info,0.500000,X6,15,15,1.000000
new,mutual_info,0.500000,X7,13,15,0.866667
new,mutual_info,0.500000,X15,10,15,0.666667
new,mutual_info,0.500000,X18,10,15,0.666667
new,mutual_info,0.500000,X5,8,15,0.533333
new,mutual_info,0.500000,X16,5,15,0.333333
new,mutual_info,0.500000,X2,5,15,0.333333
new,mutual_info,0.500000,X3,4,15,0.266667
new,mutual_info,0.500000,X8,3,15,0.200000
new,mutual_info,0.500000,X10,2,15,0.133333
new,mutual_info,0.800000,MajorGroup,15,15,1.000000
new,mutual_info,0.800000,X10,15,15,1.000000
new,mutual_info,0.800000,X11,15,15,1.000000
new,mutual_info,0.800000,X12,15,15,1.000000
new,mutual_info,0.800000,X18,15,15,1.000000
new,mutual_info,0.800000,X2,15,15,1.000000
new,mutual_info,0.800000,X4,15,15,1.000000
new,mutual_info,0.800000,X6,15,15,1.000000
new,mutual_info,0.800000,X7,15,15,1.000000
new,mutual_info,0.800000,X15,14,15,0.933333
new,mutual_info,0.800000,X16,13,15,0.866667
new,mutual_info,0.800000,X5,13,15,0.866667
new,mutual_info,0.800000,X8,12,15,0.800000
new,mutual_info,0.800000,X17,11,15,0.733333
new,mutual_info,0.800000,X3,11,15,0.733333
new,mutual_info,0.800000,X14,9,15,0.600000
new,mutual_info,0.800000,X1,5,15,0.333333
new,mutual_info,0.800000,X13,1,15,0.066667
new,mutual_info,0.800000,X9,1,15,0.066667
new,rfe,0.500000,MajorGroup,15,15,1.000000
new,rfe,0.500000,X11,15,15,1.000000
new,rfe,0.500000,X15,15,15,1.000000
new,rfe,0.500000,X12,14,15,0.933333
new,rfe,0.500000,X5,11,15,0.733333
new,rfe,0.500000,X16,10,15,0.666667
new,rfe,0.500000,X10,9,15,0.600000
new,rfe,0.500000,X1,8,15,0.533333
new,rfe,0.500000,X18,7,15,0.466667
new,rfe,0.500000,X3,7,15,0.466667
new,rfe,0.500000,X8,7,15,0.466667
new,rfe,0.500000,X13,4,15,0.266667
new,rfe,0.500000,X2,3,15,0.200000
new,rfe,0.500000,X4,3,15,0.200000
new,rfe,0.500000,X7,3,15,0.200000
new,rfe,0.500000,X6,2,15,0.133333
new,rfe,0.500000,X14,1,15,0.066667
new,rfe,0.500000,X17,1,15,0.066667
new,rfe,0.800000,MajorGroup,15,15,1.000000
new,rfe,0.800000,X1,15,15,1.000000
new,rfe,0.800000,X11,15,15,1.000000
new,rfe,0.800000,X12,15,15,1.000000
new,rfe,0.800000,X15,15,15,1.000000
new,rfe,0.800000,X16,15,15,1.000000
new,rfe,0.800000,X5,15,15,1.000000
new,rfe,0.800000,X10,14,15,0.933333
new,rfe,0.800000,X13,14,15,0.933333
new,rfe,0.800000,X8,13,15,0.866667
new,rfe,0.800000,X3,11,15,0.733333
new,rfe,0.800000,X4,11,15,0.733333
new,rfe,0.800000,X7,11,15,0.733333
new,rfe,0.800000,X18,10,15,0.666667
new,rfe,0.800000,X2,10,15,0.666667
new,rfe,0.800000,X9,10,15,0.666667
new,rfe,0.800000,X14,7,15,0.466667
new,rfe,0.800000,X6,7,15,0.466667
new,rfe,0.800000,X17,2,15,0.133333
new,shap,0.500000,MajorGroup,15,15,1.000000
new,shap,0.500000,X1,15,15,1.000000
new,shap,0.500000,X11,15,15,1.000000
new,shap,0.500000,X12,15,15,1.000000
new,shap,0.500000,X15,15,15,1.000000
new,shap,0.500000,X10,14,15,0.933333
new,shap,0.500000,X16,13,15,0.866667
new,shap,0.500000,X13,11,15,0.733333
new,shap,0.500000,X4,7,15,0.466667
new,shap,0.500000,X3,6,15,0.400000
new,shap,0.500000,X6,5,15,0.333333
new,shap,0.500000,X9,2,15,0.133333
new,shap,0.500000,X5,1,15,0.066667
new,shap,0.500000,X8,1,15,0.066667
new,shap,0.800000,MajorGroup,15,15,1.000000
new,shap,0.800000,X1,15,15,1.000000
new,shap,0.800000,X10,15,15,1.000000
new,shap,0.800000,X11,15,15,1.000000
new,shap,0.800000,X12,15,15,1.000000
new,shap,0.800000,X13,15,15,1.000000
new,shap,0.800000,X15,15,15,1.000000
new,shap,0.800000,X3,15,15,1.000000
new,shap,0.800000,X16,14,15,0.933333
new,shap,0.800000,X8,14,15,0.933333
new,shap,0.800000,X9,14,15,0.933333
new,shap,0.800000,X14,11,15,0.733333
new,shap,0.800000,X2,11,15,0.733333
new,shap,0.800000,X6,11,15,0.733333
new,shap,0.800000,X5,10,15,0.666667
new,shap,0.800000,X4,9,15,0.600000
new,shap,0.800000,X7,6,15,0.400000
new,shap,0.800000,X18,5,15,0.333333
old,mutual_info,0.500000,MajorGroup,15,15,1.000000
old,mutual_info,0.500000,X4,12,15,0.800000
old,mutual_info,0.500000,X8,11,15,0.733333
old,mutual_info,0.500000,X11,10,15,0.666667
old,mutual_info,0.500000,X15,10,15,0.666667
old,mutual_info,0.500000,X16,10,15,0.666667
old,mutual_info,0.500000,X12,8,15,0.533333
old,mutual_info,0.500000,X14,8,15,0.533333
