train_scope,fs_method,fs_ratio,split_a,split_b,old_end_year_a,old_end_year_b,jaccard
new,mutual_info,0.500000,split_1+15,split_2+14,1999,2000,1.000000
new,mutual_info,0.500000,split_1+15,split_3+13,1999,2001,1.000000
new,mutual_info,0.500000,split_1+15,split_4+12,1999,2002,0.800000
new,mutual_info,0.500000,split_1+15,split_5+11,1999,2003,0.636364
new,mutual_info,0.500000,split_1+15,split_6+10,1999,2004,0.500000
new,mutual_info,0.500000,split_1+15,split_7+9,1999,2005,0.636364
new,mutual_info,0.500000,split_1+15,split_8+8,1999,2006,0.636364
new,mutual_info,0.500000,split_1+15,split_9+7,1999,2007,0.636364
new,mutual_info,0.500000,split_1+15,split_10+6,1999,2008,0.636364
new,mutual_info,0.500000,split_1+15,split_11+5,1999,2009,0.800000
new,mutual_info,0.500000,split_1+15,split_12+4,1999,2010,0.636364
new,mutual_info,0.500000,split_1+15,split_13+3,1999,2011,0.636364
new,mutual_info,0.500000,split_1+15,split_14+2,1999,2012,0.500000
new,mutual_info,0.500000,split_1+15,split_15+1,1999,2013,0.636364
new,mutual_info,0.500000,split_2+14,split_3+13,2000,2001,1.000000
new,mutual_info,0.500000,split_2+14,split_4+12,2000,2002,0.800000
new,mutual_info,0.500000,split_2+14,split_5+11,2000,2003,0.636364
new,mutual_info,0.500000,split_2+14,split_6+10,2000,2004,0.500000
new,mutual_info,0.500000,split_2+14,split_7+9,2000,2005,0.636364
new,mutual_info,0.500000,split_2+14,split_8+8,2000,2006,0.636364
new,mutual_info,0.500000,split_2+14,split_9+7,2000,2007,0.636364
new,mutual_info,0.500000,split_2+14,split_10+6,2000,2008,0.636364
new,mutual_info,0.500000,split_2+14,split_11+5,2000,2009,0.800000
new,mutual_info,0.500000,split_2+14,split_12+4,2000,2010,0.636364
new,mutual_info,0.500000,split_2+14,split_13+3,2000,2011,0.636364
new,mutual_info,0.500000,split_2+14,split_14+2,2000,2012,0.500000
new,mutual_info,0.500000,split_2+14,split_15+1,2000,2013,0.636364
new,mutual_info,0.500000,split_3+13,split_4+12,2001,2002,0.800000
new,mutual_info,0.500000,split_3+13,split_5+11,2001,2003,0.636364
new,mutual_info,0.500000,split_3+13,split_6+10,2001,2004,0.500000
new,mutual_info,0.500000,split_3+13,split_7+9,2001,2005,0.636364
new,mutual_info,0.500000,split_3+13,split_8+8,2001,2006,0.636364
new,mutual_info,0.500000,split_3+13,split_9+7,2001,2007,0.636364
new,mutual_info,0.500000,split_3+13,split_10+6,2001,2008,0.636364
new,mutual_info,0.500000,split_3+13,split_11+5,2001,2009,0.800000
new,mutual_info,0.500000,split_3+13,split_12+4,2001,2010,0.636364
new,mutual_info,0.500000,split_3+13,split_13+3,2001,2011,0.636364
new,mutual_info,0.500000,split_3+13,split_14+2,2001,2012,0.500000
new,mutual_info,0.500000,split_3+13,split_15+1,2001,2013,0.636364
new,mutual_info,0.500000,split_4+12,split_5+11,2002,2003,0.800000
new,mutual_info,0.500000,split_4+12,split_6+10,2002,2004,0.636364
new,mutual_info,0.500000,split_4+12,split_7+9,2002,2005,0.800000
new,mutual_info,0.500000,split_4+12,split_8+8,2002,2006,0.636364
new,mutual_info,0.500000,split_4+12,split_9+7,2002,2007,0.636364
new,mutual_info,0.500000,split_4+12,split_10+6,2002,2008,0.800000
new,mutual_info,0.500000,split_4+12,split_11+5,2002,2009,0.800000
new,mutual_info,0.500000,split_4+12,split_12+4,2002,2010,0.800000
