split,ensemble,AUC,F1,Recall
split_1+15,Dynamic_KNORA_E,0.749413,0.133208,0.494774
split_1+15,Dynamic_KNORA_U,0.791129,0.139438,0.466899
split_1+15,Dynamic_DES_KNN,0.788897,0.147059,0.435540
split_2+14,Dynamic_KNORA_E,0.769388,0.155112,0.459930
split_2+14,Dynamic_KNORA_U,0.800555,0.143095,0.449477
split_2+14,Dynamic_DES_KNN,0.801820,0.144404,0.418118
split_3+13,Dynamic_KNORA_E,0.726497,0.130308,0.390244
split_3+13,Dynamic_KNORA_U,0.787601,0.133403,0.445993
split_3+13,Dynamic_DES_KNN,0.785229,0.134195,0.470383
split_4+12,Dynamic_KNORA_E,0.769079,0.132911,0.512195
split_4+12,Dynamic_KNORA_U,0.802431,0.148910,0.428571
split_4+12,Dynamic_DES_KNN,0.798404,0.143823,0.407666
split_5+11,Dynamic_KNORA_E,0.772783,0.138004,0.452962
split_5+11,Dynamic_KNORA_U,0.804389,0.145257,0.512195
split_5+11,Dynamic_DES_KNN,0.800801,0.144958,0.480836
split_6+10,Dynamic_KNORA_E,0.769181,0.154131,0.435540
split_6+10,Dynamic_KNORA_U,0.807774,0.157770,0.463415
split_6+10,Dynamic_DES_KNN,0.806506,0.146273,0.543554
split_7+9,Dynamic_KNORA_E,0.773295,0.155074,0.473868
split_7+9,Dynamic_KNORA_U,0.808536,0.158915,0.428571
split_7+9,Dynamic_DES_KNN,0.805172,0.146001,0.473868
split_8+8,Dynamic_KNORA_E,0.795193,0.154974,0.515679
split_8+8,Dynamic_KNORA_U,0.820146,0.151922,0.571429
split_8+8,Dynamic_DES_KNN,0.822070,0.153626,0.560976
split_9+7,Dynamic_KNORA_E,0.820993,0.165929,0.522648
split_9+7,Dynamic_KNORA_U,0.827976,0.165073,0.571429
split_9+7,Dynamic_DES_KNN,0.826710,0.170940,0.557491
split_10+6,Dynamic_KNORA_E,0.826018,0.198912,0.445993
split_10+6,Dynamic_KNORA_U,0.837701,0.172264,0.554007
split_10+6,Dynamic_DES_KNN,0.838759,0.174051,0.574913
split_11+5,Dynamic_KNORA_E,0.827585,0.170949,0.567944
split_11+5,Dynamic_KNORA_U,0.836621,0.166981,0.616725
split_11+5,Dynamic_DES_KNN,0.838686,0.182869,0.606272
split_12+4,Dynamic_KNORA_E,0.835950,0.179574,0.557491
split_12+4,Dynamic_KNORA_U,0.847247,0.176113,0.606272
split_12+4,Dynamic_DES_KNN,0.850842,0.195572,0.554007
split_13+3,Dynamic_KNORA_E,0.831204,0.182336,0.557491
split_13+3,Dynamic_KNORA_U,0.842692,0.173489,0.620209
split_13+3,Dynamic_DES_KNN,0.843809,0.168441,0.634146
split_14+2,Dynamic_KNORA_E,0.816213,0.179410,0.519164
split_14+2,Dynamic_KNORA_U,0.848180,0.171376,0.655052
split_14+2,Dynamic_DES_KNN,0.847718,0.195942,0.588850
split_15+1,Dynamic_KNORA_E,0.793250,0.153713,0.620209
split_15+1,Dynamic_KNORA_U,0.844444,0.178404,0.595819
split_15+1,Dynamic_DES_KNN,0.846539,0.168773,0.651568
