split,ensemble,AUC,F1,Recall
split_1+15,Old_3,0.575776,0.059417,0.358885
split_1+15,New_3,0.830498,0.177536,0.512195
split_1+15,All_6,0.790624,0.137895,0.463415
split_2+14,Old_3,0.608964,0.069777,0.289199
split_2+14,New_3,0.841515,0.181922,0.554007
split_2+14,All_6,0.799789,0.142227,0.449477
split_3+13,Old_3,0.600601,0.065590,0.233449
split_3+13,New_3,0.836553,0.186727,0.578397
split_3+13,All_6,0.787623,0.133333,0.445993
split_4+12,Old_3,0.623972,0.064865,0.292683
split_4+12,New_3,0.850089,0.205936,0.592334
split_4+12,All_6,0.802383,0.148820,0.428571
split_5+11,Old_3,0.626874,0.074409,0.257840
split_5+11,New_3,0.850766,0.187302,0.616725
split_5+11,All_6,0.804538,0.144970,0.512195
split_6+10,Old_3,0.634327,0.080537,0.250871
split_6+10,New_3,0.852995,0.225497,0.533101
split_6+10,All_6,0.808651,0.157210,0.463415
split_7+9,Old_3,0.643974,0.093750,0.209059
split_7+9,New_3,0.848562,0.204179,0.595819
split_7+9,All_6,0.808447,0.158505,0.428571
split_8+8,Old_3,0.682034,0.092493,0.240418
split_8+8,New_3,0.854981,0.195260,0.602787
split_8+8,All_6,0.820542,0.152636,0.574913
split_9+7,Old_3,0.699192,0.116732,0.313589
split_9+7,New_3,0.859034,0.216963,0.574913
split_9+7,All_6,0.828301,0.164824,0.571429
split_10+6,Old_3,0.763656,0.146589,0.351916
split_10+6,New_3,0.856194,0.207031,0.554007
split_10+6,All_6,0.838057,0.173254,0.557491
split_11+5,Old_3,0.762982,0.142657,0.355401
split_11+5,New_3,0.856052,0.206655,0.616725
split_11+5,All_6,0.836929,0.166824,0.616725
split_12+4,Old_3,0.791095,0.152442,0.494774
split_12+4,New_3,0.857947,0.163434,0.689895
split_12+4,All_6,0.847343,0.176857,0.609756
split_13+3,Old_3,0.781265,0.165746,0.418118
split_13+3,New_3,0.868271,0.200883,0.634146
split_13+3,All_6,0.842777,0.173405,0.620209
split_14+2,Old_3,0.803034,0.174603,0.421603
split_14+2,New_3,0.857894,0.180755,0.592334
split_14+2,All_6,0.848181,0.171220,0.655052
split_15+1,Old_3,0.807026,0.157303,0.560976
split_15+1,New_3,0.836618,0.175315,0.606272
split_15+1,All_6,0.844236,0.177940,0.595819
