split,ensemble,AUC,F1,Recall
split_1+15,Dynamic_DES_KNN,0.793242,0.135161,0.498258
split_1+15,Dynamic_KNORA_E,0.732032,0.137051,0.505226
split_1+15,Dynamic_KNORA_U,0.793259,0.136343,0.515679
split_2+14,Dynamic_DES_KNN,0.797666,0.141495,0.491289
split_2+14,Dynamic_KNORA_E,0.761696,0.148957,0.522648
split_2+14,Dynamic_KNORA_U,0.798767,0.137426,0.522648
split_3+13,Dynamic_DES_KNN,0.786119,0.132346,0.466899
split_3+13,Dynamic_KNORA_E,0.745663,0.132085,0.466899
split_3+13,Dynamic_KNORA_U,0.787128,0.131579,0.557491
split_4+12,Dynamic_DES_KNN,0.808384,0.147959,0.404181
split_4+12,Dynamic_KNORA_E,0.755178,0.134831,0.459930
split_4+12,Dynamic_KNORA_U,0.808905,0.145370,0.547038
split_5+11,Dynamic_DES_KNN,0.810353,0.151394,0.463415
split_5+11,Dynamic_KNORA_E,0.769348,0.145573,0.466899
split_5+11,Dynamic_KNORA_U,0.810966,0.151531,0.491289
split_6+10,Dynamic_DES_KNN,0.805911,0.155473,0.512195
split_6+10,Dynamic_KNORA_E,0.775416,0.151679,0.487805
split_6+10,Dynamic_KNORA_U,0.807986,0.159041,0.508711
split_7+9,Dynamic_DES_KNN,0.819121,0.172368,0.456446
split_7+9,Dynamic_KNORA_E,0.793243,0.148185,0.512195
split_7+9,Dynamic_KNORA_U,0.819724,0.173127,0.466899
split_8+8,Dynamic_DES_KNN,0.817185,0.148549,0.526132
split_8+8,Dynamic_KNORA_E,0.788019,0.140541,0.498258
split_8+8,Dynamic_KNORA_U,0.816312,0.155155,0.540070
split_9+7,Dynamic_DES_KNN,0.828447,0.193192,0.365854
split_9+7,Dynamic_KNORA_E,0.813884,0.189974,0.376307
split_9+7,Dynamic_KNORA_U,0.830733,0.194325,0.393728
split_10+6,Dynamic_DES_KNN,0.838640,0.187253,0.578397
split_10+6,Dynamic_KNORA_E,0.817982,0.175812,0.574913
split_10+6,Dynamic_KNORA_U,0.839736,0.178282,0.574913
split_11+5,Dynamic_DES_KNN,0.835711,0.192000,0.585366
split_11+5,Dynamic_KNORA_E,0.813364,0.159310,0.547038
split_11+5,Dynamic_KNORA_U,0.835346,0.175050,0.606272
split_12+4,Dynamic_DES_KNN,0.851878,0.189880,0.634146
split_12+4,Dynamic_KNORA_E,0.834281,0.188146,0.602787
split_12+4,Dynamic_KNORA_U,0.850155,0.220096,0.480836
split_13+3,Dynamic_DES_KNN,0.852104,0.190683,0.613240
split_13+3,Dynamic_KNORA_E,0.823675,0.182309,0.588850
split_13+3,Dynamic_KNORA_U,0.849523,0.179372,0.627178
split_14+2,Dynamic_DES_KNN,0.843634,0.154357,0.648084
split_14+2,Dynamic_KNORA_E,0.790249,0.146633,0.599303
split_14+2,Dynamic_KNORA_U,0.843233,0.186866,0.609756
split_15+1,Dynamic_DES_KNN,0.837725,0.148288,0.686411
split_15+1,Dynamic_KNORA_E,0.785402,0.184143,0.501742
split_15+1,Dynamic_KNORA_U,0.837814,0.182016,0.581882
