split,ensemble,AUC,F1,Recall
split_1+15,All_6,0.792873,0.135531,0.515679
split_1+15,New_3,0.838915,0.165971,0.623693
split_1+15,Old_3,0.541537,0.051750,0.365854
split_2+14,All_6,0.798532,0.137049,0.522648
split_2+14,New_3,0.844160,0.155287,0.693380
split_2+14,Old_3,0.579882,0.058714,0.275261
split_3+13,All_6,0.786706,0.132739,0.466899
split_3+13,New_3,0.834555,0.169427,0.623693
split_3+13,Old_3,0.594817,0.054154,0.254355
split_4+12,All_6,0.809148,0.146161,0.550523
split_4+12,New_3,0.857127,0.226174,0.554007
split_4+12,Old_3,0.613431,0.067770,0.299652
split_5+11,All_6,0.810680,0.150376,0.487805
split_5+11,New_3,0.856488,0.205862,0.526132
split_5+11,Old_3,0.621261,0.077381,0.362369
split_6+10,All_6,0.807811,0.158955,0.508711
split_6+10,New_3,0.859224,0.216963,0.574913
split_6+10,Old_3,0.616399,0.085238,0.240418
split_7+9,All_6,0.819508,0.172903,0.466899
split_7+9,New_3,0.859006,0.183259,0.644599
split_7+9,Old_3,0.655017,0.091579,0.303136
split_8+8,All_6,0.815783,0.155000,0.540070
split_8+8,New_3,0.856832,0.178237,0.630662
split_8+8,Old_3,0.675289,0.084927,0.386760
split_9+7,All_6,0.830697,0.193991,0.393728
split_9+7,New_3,0.859582,0.201084,0.581882
split_9+7,Old_3,0.702268,0.102345,0.334495
split_10+6,All_6,0.840230,0.179072,0.578397
split_10+6,New_3,0.861243,0.184601,0.672474
split_10+6,Old_3,0.761180,0.122900,0.445993
split_11+5,All_6,0.835332,0.174962,0.606272
split_11+5,New_3,0.860432,0.189203,0.641115
split_11+5,Old_3,0.751151,0.118178,0.456446
split_12+4,All_6,0.850137,0.221691,0.484321
split_12+4,New_3,0.860234,0.195248,0.658537
split_12+4,Old_3,0.781093,0.154754,0.411150
split_13+3,All_6,0.849489,0.179372,0.627178
split_13+3,New_3,0.863813,0.212192,0.630662
split_13+3,Old_3,0.774305,0.158200,0.379791
split_14+2,All_6,0.843408,0.186567,0.609756
split_14+2,New_3,0.851185,0.166958,0.665505
split_14+2,Old_3,0.793876,0.165054,0.505226
split_15+1,All_6,0.838579,0.181818,0.581882
split_15+1,New_3,0.842460,0.141754,0.703833
split_15+1,Old_3,0.802276,0.156014,0.540070
