split,ensemble,AUC,F1,Recall
split_1+15,All_6,0.791693,0.146570,0.491289
split_1+15,New_3,0.834082,0.177487,0.519164
split_1+15,Old_3,0.571426,0.053852,0.351916
split_2+14,All_6,0.784802,0.135294,0.480836
split_2+14,New_3,0.833897,0.212991,0.491289
split_2+14,Old_3,0.567348,0.054882,0.299652
split_3+13,All_6,0.790845,0.128738,0.540070
split_3+13,New_3,0.836429,0.184358,0.574913
split_3+13,Old_3,0.606241,0.058438,0.202091
split_4+12,All_6,0.798338,0.141999,0.452962
split_4+12,New_3,0.843026,0.203279,0.540070
split_4+12,Old_3,0.617655,0.071765,0.212544
split_5+11,All_6,0.811244,0.148587,0.567944
split_5+11,New_3,0.853037,0.189106,0.641115
split_5+11,Old_3,0.642706,0.076923,0.167247
split_6+10,All_6,0.804306,0.159809,0.466899
split_6+10,New_3,0.851850,0.194930,0.602787
split_6+10,Old_3,0.621286,0.070534,0.264808
split_7+9,All_6,0.817667,0.157135,0.512195
split_7+9,New_3,0.855147,0.207792,0.585366
split_7+9,Old_3,0.660567,0.085597,0.362369
split_8+8,All_6,0.817172,0.142273,0.606272
split_8+8,New_3,0.851214,0.205224,0.574913
split_8+8,Old_3,0.681474,0.092555,0.240418
split_9+7,All_6,0.831474,0.168534,0.602787
split_9+7,New_3,0.858849,0.220753,0.581882
split_9+7,Old_3,0.711520,0.109693,0.404181
split_10+6,All_6,0.837785,0.170860,0.567944
split_10+6,New_3,0.861395,0.233766,0.533101
split_10+6,Old_3,0.754724,0.136078,0.414634
split_11+5,All_6,0.839917,0.182300,0.599303
split_11+5,New_3,0.863625,0.214109,0.602787
split_11+5,Old_3,0.761144,0.141613,0.425087
split_12+4,All_6,0.842302,0.180689,0.557491
split_12+4,New_3,0.854236,0.172805,0.637631
split_12+4,Old_3,0.784083,0.146015,0.494774
split_13+3,All_6,0.842678,0.185345,0.599303
split_13+3,New_3,0.869634,0.149740,0.752613
split_13+3,Old_3,0.785458,0.182733,0.379791
split_14+2,All_6,0.853581,0.173525,0.609756
split_14+2,New_3,0.860135,0.181818,0.641115
split_14+2,Old_3,0.805478,0.167116,0.432056
split_15+1,All_6,0.843846,0.182663,0.616725
split_15+1,New_3,0.836862,0.180199,0.599303
split_15+1,Old_3,0.804884,0.179548,0.526132
