split,ensemble,AUC,F1,Recall
split_1+15,Dynamic_DES_KNN,0.777348,0.124397,0.404181
split_1+15,Dynamic_KNORA_E,0.731995,0.132118,0.404181
split_1+15,Dynamic_KNORA_U,0.779579,0.124294,0.459930
split_2+14,Dynamic_DES_KNN,0.800176,0.135512,0.592334
split_2+14,Dynamic_KNORA_E,0.752715,0.145788,0.470383
split_2+14,Dynamic_KNORA_U,0.800595,0.135393,0.519164
split_3+13,Dynamic_DES_KNN,0.794563,0.140564,0.442509
split_3+13,Dynamic_KNORA_E,0.758505,0.131191,0.512195
split_3+13,Dynamic_KNORA_U,0.794371,0.144676,0.435540
split_4+12,Dynamic_DES_KNN,0.801435,0.149003,0.494774
split_4+12,Dynamic_KNORA_E,0.751814,0.129362,0.484321
split_4+12,Dynamic_KNORA_U,0.803152,0.144103,0.547038
split_5+11,Dynamic_DES_KNN,0.796129,0.144928,0.400697
split_5+11,Dynamic_KNORA_E,0.764473,0.143784,0.463415
split_5+11,Dynamic_KNORA_U,0.795829,0.146644,0.452962
split_6+10,Dynamic_DES_KNN,0.813647,0.156840,0.463415
split_6+10,Dynamic_KNORA_E,0.787831,0.141570,0.574913
split_6+10,Dynamic_KNORA_U,0.813461,0.156843,0.547038
split_7+9,Dynamic_DES_KNN,0.815606,0.161329,0.473868
split_7+9,Dynamic_KNORA_E,0.780701,0.156780,0.515679
split_7+9,Dynamic_KNORA_U,0.817425,0.151054,0.536585
split_8+8,Dynamic_DES_KNN,0.827032,0.177301,0.547038
split_8+8,Dynamic_KNORA_E,0.793412,0.183623,0.515679
split_8+8,Dynamic_KNORA_U,0.827496,0.179943,0.547038
split_9+7,Dynamic_DES_KNN,0.842216,0.181609,0.550523
split_9+7,Dynamic_KNORA_E,0.834877,0.163905,0.637631
split_9+7,Dynamic_KNORA_U,0.840240,0.176765,0.554007
split_10+6,Dynamic_DES_KNN,0.841001,0.195038,0.588850
split_10+6,Dynamic_KNORA_E,0.834640,0.196178,0.536585
split_10+6,Dynamic_KNORA_U,0.838546,0.193742,0.560976
split_11+5,Dynamic_DES_KNN,0.839297,0.163302,0.634146
split_11+5,Dynamic_KNORA_E,0.824481,0.165751,0.578397
split_11+5,Dynamic_KNORA_U,0.839073,0.159338,0.637631
split_12+4,Dynamic_DES_KNN,0.839229,0.161905,0.651568
split_12+4,Dynamic_KNORA_E,0.832832,0.247878,0.508711
split_12+4,Dynamic_KNORA_U,0.837152,0.153975,0.641115
split_13+3,Dynamic_DES_KNN,0.847388,0.157810,0.682927
split_13+3,Dynamic_KNORA_E,0.818034,0.163375,0.634146
split_13+3,Dynamic_KNORA_U,0.845136,0.165247,0.675958
split_14+2,Dynamic_DES_KNN,0.845806,0.181272,0.630662
split_14+2,Dynamic_KNORA_E,0.816785,0.175661,0.578397
split_14+2,Dynamic_KNORA_U,0.843628,0.163582,0.662021
split_15+1,Dynamic_DES_KNN,0.853097,0.179222,0.634146
split_15+1,Dynamic_KNORA_E,0.799540,0.163748,0.602787
split_15+1,Dynamic_KNORA_U,0.850904,0.177648,0.634146
