split,ensemble,AUC,F1,Recall
split_1+15,All_6,0.778425,0.123192,0.459930
split_1+15,New_3,0.823768,0.173968,0.477352
split_1+15,Old_3,0.548736,0.056022,0.243902
split_2+14,All_6,0.800202,0.134964,0.519164
split_2+14,New_3,0.844629,0.179751,0.578397
split_2+14,Old_3,0.576613,0.054376,0.222997
split_3+13,All_6,0.794335,0.144592,0.435540
split_3+13,New_3,0.842412,0.186211,0.550523
split_3+13,Old_3,0.604178,0.062164,0.383275
split_4+12,All_6,0.802871,0.144037,0.547038
split_4+12,New_3,0.848781,0.199621,0.550523
split_4+12,Old_3,0.615803,0.070330,0.278746
split_5+11,All_6,0.795799,0.146561,0.452962
split_5+11,New_3,0.842739,0.187464,0.567944
split_5+11,Old_3,0.602997,0.074157,0.229965
split_6+10,All_6,0.813546,0.157606,0.550523
split_6+10,New_3,0.861957,0.216290,0.550523
split_6+10,Old_3,0.631004,0.081477,0.261324
split_7+9,All_6,0.817361,0.150759,0.536585
split_7+9,New_3,0.858364,0.204734,0.602787
split_7+9,Old_3,0.643892,0.085371,0.358885
split_8+8,All_6,0.827481,0.179634,0.547038
split_8+8,New_3,0.860128,0.211946,0.574913
split_8+8,Old_3,0.693450,0.113095,0.397213
split_9+7,All_6,0.840216,0.176667,0.554007
split_9+7,New_3,0.869470,0.201754,0.641115
split_9+7,Old_3,0.723038,0.115913,0.397213
split_10+6,All_6,0.838475,0.189616,0.585366
split_10+6,New_3,0.855301,0.200343,0.609756
split_10+6,Old_3,0.766553,0.142494,0.390244
split_11+5,All_6,0.839000,0.159200,0.637631
split_11+5,New_3,0.856899,0.198430,0.616725
split_11+5,Old_3,0.766629,0.144048,0.421603
split_12+4,All_6,0.837096,0.153846,0.641115
split_12+4,New_3,0.850985,0.187404,0.637631
split_12+4,Old_3,0.779419,0.155141,0.449477
split_13+3,All_6,0.845136,0.165247,0.675958
split_13+3,New_3,0.869780,0.181653,0.696864
split_13+3,Old_3,0.788925,0.143526,0.480836
split_14+2,All_6,0.843529,0.163441,0.662021
split_14+2,New_3,0.864127,0.190326,0.630662
split_14+2,Old_3,0.792243,0.169960,0.449477
split_15+1,All_6,0.850690,0.177388,0.634146
split_15+1,New_3,0.840843,0.146987,0.735192
split_15+1,Old_3,0.813212,0.161670,0.526132
