dataset_name,split_id,old_window,new_window,test_window,method,train_scope,best_fs,best_ensemble,AUC,F1,Recall
Bankruptcy_US,split_1+15,1999~1999,2000~2014,2015~2018,FS_DES,Old/New pools + FS + dynamic selection (DES),no_fs,Dynamic_KNORA_U,0.7961,0.1335,0.5087
Bankruptcy_US,split_2+14,1999~2000,2001~2014,2015~2018,FS_DES,Old/New pools + FS + dynamic selection (DES),shap_r80,Dynamic_KNORA_U,0.8006,0.1354,0.5192
Bankruptcy_US,split_3+13,1999~2001,2002~2014,2015~2018,FS_DES,Old/New pools + FS + dynamic selection (DES),shap_r80,Dynamic_DES_KNN,0.7946,0.1406,0.4425
Bankruptcy_US,split_4+12,1999~2002,2003~2014,2015~2018,FS_DES,Old/New pools + FS + dynamic selection (DES),mutual_info_r80,Dynamic_KNORA_U,0.8089,0.1454,0.547
Bankruptcy_US,split_5+11,1999~2003,2004~2014,2015~2018,FS_DES,Old/New pools + FS + dynamic selection (DES),mutual_info_r80,Dynamic_KNORA_U,0.811,0.1515,0.4913
Bankruptcy_US,split_6+10,1999~2004,2005~2014,2015~2018,FS_DES,Old/New pools + FS + dynamic selection (DES),shap_r80,Dynamic_DES_KNN,0.8136,0.1568,0.4634
Bankruptcy_US,split_7+9,1999~2005,2006~2014,2015~2018,FS_DES,Old/New pools + FS + dynamic selection (DES),mutual_info_r50,Dynamic_DES_KNN,0.8213,0.1684,0.4321
Bankruptcy_US,split_8+8,1999~2006,2007~2014,2015~2018,FS_DES,Old/New pools + FS + dynamic selection (DES),shap_r80,Dynamic_KNORA_U,0.8275,0.1799,0.547
Bankruptcy_US,split_9+7,1999~2007,2008~2014,2015~2018,FS_DES,Old/New pools + FS + dynamic selection (DES),shap_r80,Dynamic_DES_KNN,0.8422,0.1816,0.5505
Bankruptcy_US,split_10+6,1999~2008,2009~2014,2015~2018,FS_DES,Old/New pools + FS + dynamic selection (DES),shap_r50,Dynamic_DES_KNN,0.856,0.2063,0.5923
Bankruptcy_US,split_11+5,1999~2009,2010~2014,2015~2018,FS_DES,Old/New pools + FS + dynamic selection (DES),mutual_info_r50,Dynamic_DES_KNN,0.8536,0.2016,0.5157
Bankruptcy_US,split_12+4,1999~2010,2011~2014,2015~2018,FS_DES,Old/New pools + FS + dynamic selection (DES),mutual_info_r80,Dynamic_DES_KNN,0.8519,0.1899,0.6341
Bankruptcy_US,split_13+3,1999~2011,2012~2014,2015~2018,FS_DES,Old/New pools + FS + dynamic selection (DES),shap_r50,Dynamic_DES_KNN,0.8532,0.1829,0.6376
Bankruptcy_US,split_14+2,1999~2012,2013~2014,2015~2018,FS_DES,Old/New pools + FS + dynamic selection (DES),shap_r50,Dynamic_DES_KNN,0.8491,0.1787,0.6376
Bankruptcy_US,split_15+1,1999~2013,2014~2014,2015~2018,FS_DES,Old/New pools + FS + dynamic selection (DES),shap_r80,Dynamic_DES_KNN,0.8531,0.1792,0.6341
