fs_method,integration,ensemble,split,AUC,F1,Recall
MI,靜態集成,New_3,split_1+15,0.838915,0.165971,0.623693
MI,動態集成,Dynamic_DES_KNN,split_1+15,0.793242,0.135161,0.498258
MI,動態集成,Dynamic_KNORA_E,split_1+15,0.732032,0.137051,0.505226
MI,動態集成,Dynamic_KNORA_U,split_1+15,0.793259,0.136343,0.515679
MI,靜態集成,New_3,split_2+14,0.844160,0.155287,0.693380
MI,動態集成,Dynamic_DES_KNN,split_2+14,0.797666,0.141495,0.491289
MI,動態集成,Dynamic_KNORA_E,split_2+14,0.761696,0.148957,0.522648
MI,動態集成,Dynamic_KNORA_U,split_2+14,0.798767,0.137426,0.522648
MI,靜態集成,New_3,split_3+13,0.834555,0.169427,0.623693
MI,動態集成,Dynamic_DES_KNN,split_3+13,0.786119,0.132346,0.466899
MI,動態集成,Dynamic_KNORA_E,split_3+13,0.745663,0.132085,0.466899
MI,動態集成,Dynamic_KNORA_U,split_3+13,0.787128,0.131579,0.557491
MI,靜態集成,New_3,split_4+12,0.857127,0.226174,0.554007
MI,動態集成,Dynamic_DES_KNN,split_4+12,0.808384,0.147959,0.404181
MI,動態集成,Dynamic_KNORA_E,split_4+12,0.755178,0.134831,0.459930
MI,動態集成,Dynamic_KNORA_U,split_4+12,0.808905,0.145370,0.547038
MI,靜態集成,New_3,split_5+11,0.856488,0.205862,0.526132
MI,動態集成,Dynamic_DES_KNN,split_5+11,0.810353,0.151394,0.463415
MI,動態集成,Dynamic_KNORA_E,split_5+11,0.769348,0.145573,0.466899
MI,動態集成,Dynamic_KNORA_U,split_5+11,0.810966,0.151531,0.491289
MI,靜態集成,New_3,split_6+10,0.859224,0.216963,0.574913
MI,動態集成,Dynamic_DES_KNN,split_6+10,0.805911,0.155473,0.512195
MI,動態集成,Dynamic_KNORA_E,split_6+10,0.775416,0.151679,0.487805
MI,動態集成,Dynamic_KNORA_U,split_6+10,0.807986,0.159041,0.508711
MI,靜態集成,New_3,split_7+9,0.859006,0.183259,0.644599
MI,動態集成,Dynamic_DES_KNN,split_7+9,0.819121,0.172368,0.456446
