Split_ID,Old_Window,P1_SingleXGB_AUC,P1_SingleXGB_F1,P1_SingleXGB_Recall,P2_Static_AUC,P2_Static_F1,P2_DES_AUC,P2_DES_F1,P3_FS_Static_AUC,P3_FS_Static_F1,P3_FS_Static_Recall,P3_FS_Static_BestFS,P3_FS_Static_Ensemble,P3_FS_DES_AUC,P3_FS_DES_F1,P3_FS_DES_Recall,P3_FS_DES_BestFS,P3_FS_DES_Ensemble
split_1+15,1999(1yr),0.8620,0.2525,0.4390,0.8304,0.2523,0.7995,0.1965,0.8389,0.1660,0.6237,mutual_info_r80,New_3,0.7961,0.1335,0.5087,no_fs,Dynamic_KNORA_U
split_2+14,1999-2000(2yr),0.8618,0.2600,0.4878,0.8174,0.2424,0.8070,0.1897,0.8446,0.1798,0.5784,shap_r80,New_3,0.8006,0.1354,0.5192,shap_r80,Dynamic_KNORA_U
split_3+13,1999-2001(3yr),0.8604,0.2534,0.4843,0.8345,0.2599,0.8238,0.2066,0.8424,0.1862,0.5505,shap_r80,New_3,0.7946,0.1406,0.4425,shap_r80,Dynamic_DES_KNN
split_4+12,1999-2002(4yr),0.8846,0.2590,0.5784,0.8614,0.2573,0.8437,0.2135,0.8571,0.2262,0.5540,mutual_info_r80,New_3,0.8089,0.1454,0.5470,mutual_info_r80,Dynamic_KNORA_U
split_5+11,1999-2003(5yr),0.8923,0.2927,0.5436,0.8673,0.2815,0.8544,0.2306,0.8565,0.2059,0.5261,mutual_info_r80,New_3,0.8110,0.1515,0.4913,mutual_info_r80,Dynamic_KNORA_U
split_6+10,1999-2004(6yr),0.8820,0.2795,0.5366,0.8653,0.2393,0.8445,0.2356,0.8620,0.2163,0.5505,shap_r80,New_3,0.8136,0.1568,0.4634,shap_r80,Dynamic_DES_KNN
split_7+9,1999-2005(7yr),0.8849,0.3028,0.4948,0.8490,0.2412,0.8462,0.2032,0.8590,0.1833,0.6446,mutual_info_r80,New_3,0.8213,0.1684,0.4321,mutual_info_r50,Dynamic_DES_KNN
split_8+8,1999-2006(8yr),0.8867,0.3043,0.5122,0.8357,0.2159,0.8392,0.1930,0.8604,0.2338,0.5784,shap_r50,New_3,0.8275,0.1799,0.5470,shap_r80,Dynamic_KNORA_U
split_9+7,1999-2007(9yr),0.8893,0.3004,0.5087,0.8497,0.2400,0.8497,0.2400,0.8695,0.2018,0.6411,shap_r80,New_3,0.8422,0.1816,0.5505,shap_r80,Dynamic_DES_KNN
split_10+6,1999-2008(10yr),0.8825,0.2995,0.4878,0.8583,0.2314,0.8582,0.2316,0.8710,0.2194,0.6063,shap_r50,New_3,0.8560,0.2063,0.5923,shap_r50,Dynamic_DES_KNN
split_11+5,1999-2009(11yr),0.8838,0.2673,0.5854,0.8329,0.2342,0.8523,0.2172,0.8719,0.2347,0.5261,mutual_info_r50,New_3,0.8536,0.2016,0.5157,mutual_info_r50,Dynamic_DES_KNN
split_12+4,1999-2010(12yr),0.8815,0.2993,0.4599,0.8413,0.2367,0.8521,0.2211,0.8653,0.2270,0.5505,shap_r50,New_3,0.8519,0.1899,0.6341,mutual_info_r80,Dynamic_DES_KNN
split_13+3,1999-2011(13yr),0.8824,0.2758,0.4564,0.8612,0.2595,0.8610,0.2365,0.8698,0.1817,0.6969,shap_r80,New_3,0.8532,0.1829,0.6376,shap_r50,Dynamic_DES_KNN
split_14+2,1999-2012(14yr),0.8654,0.2772,0.4355,0.8578,0.2391,0.8663,0.2359,0.8641,0.1903,0.6307,shap_r80,New_3,0.8491,0.1787,0.6376,shap_r50,Dynamic_DES_KNN
split_15+1,1999-2013(15yr),0.8590,0.2557,0.2718,0.8700,0.2455,0.8691,0.2332,0.8507,0.1774,0.6341,shap_r80,All_6,0.8531,0.1792,0.6341,shap_r80,Dynamic_DES_KNN
