split,ensemble,AUC,F1,Recall
split_1+7,Dynamic_KNORA_E,0.627142,0.238185,0.525611
split_1+7,Dynamic_KNORA_U,0.634162,0.238742,0.535764
split_1+7,Dynamic_DES_KNN,0.629989,0.234460,0.526534
split_2+6,Dynamic_KNORA_E,0.630249,0.239430,0.480849
split_2+6,Dynamic_KNORA_U,0.643046,0.240506,0.385787
split_2+6,Dynamic_DES_KNN,0.639401,0.239687,0.382095
split_3+5,Dynamic_KNORA_E,0.638092,0.244073,0.467928
split_3+5,Dynamic_KNORA_U,0.647327,0.253451,0.495616
split_3+5,Dynamic_DES_KNN,0.644338,0.250217,0.399169
split_4+4,Dynamic_KNORA_E,0.627105,0.239516,0.492847
split_4+4,Dynamic_KNORA_U,0.648685,0.252116,0.460545
split_4+4,Dynamic_DES_KNN,0.642558,0.250345,0.460545
split_5+3,Dynamic_KNORA_E,0.630953,0.238628,0.388556
split_5+3,Dynamic_KNORA_U,0.648171,0.246552,0.395939
split_5+3,Dynamic_DES_KNN,0.643361,0.243302,0.515459
split_6+2,Dynamic_KNORA_E,0.633373,0.245437,0.449931
split_6+2,Dynamic_KNORA_U,0.647193,0.249911,0.485925
split_6+2,Dynamic_DES_KNN,0.641492,0.247983,0.461006
split_7+1,Dynamic_KNORA_E,0.636157,0.246831,0.494232
split_7+1,Dynamic_KNORA_U,0.648834,0.253190,0.531149
split_7+1,Dynamic_DES_KNN,0.645700,0.254151,0.437933
