split,dataset,fs,n_features,ensemble,sampling,AUC,F1,G_Mean,Recall,Precision,Type1_Error,Type2_Error
split_1+15,1+15,no_fs,19,Old,under,0.535283,0.057175,0.509555,0.351916,0.031115,0.262193,0.648084
split_1+15,1+15,no_fs,19,New,under,0.824863,0.198047,0.673290,0.494774,0.123801,0.083785,0.505226
split_1+15,1+15,no_fs,19,Old,over,0.557664,0.058688,0.513747,0.355401,0.031985,0.257357,0.644599
split_1+15,1+15,no_fs,19,New,over,0.780163,0.140575,0.635600,0.459930,0.082967,0.121634,0.540070
split_1+15,1+15,no_fs,19,Old,hybrid,0.557317,0.056776,0.528016,0.400697,0.030553,0.304210,0.599303
split_1+15,1+15,no_fs,19,New,hybrid,0.820399,0.158329,0.666095,0.501742,0.093995,0.115715,0.498258
split_1+15,1+15,no_fs,19,Old_3,ensemble,0.563396,0.059172,0.493880,0.313589,0.032668,0.222176,0.686411
split_1+15,1+15,no_fs,19,New_3,ensemble,0.836586,0.155821,0.722095,0.613240,0.089249,0.149729,0.386760
split_1+15,1+15,no_fs,19,All_6,ensemble,0.795764,0.131400,0.656097,0.505226,0.075521,0.147978,0.494774
split_1+15,1+15,no_fs,19,Old_under_New_under,ensemble,0.811469,0.161654,0.636601,0.449477,0.098549,0.098374,0.550523
split_1+15,1+15,no_fs,19,Old_hybrid_New_hybrid,ensemble,0.765588,0.120073,0.623955,0.456446,0.069129,0.147061,0.543554
split_1+15,1+15,kbest_f_r20,3,Old,under,0.557545,0.055745,0.502327,0.341463,0.030350,0.261025,0.658537
split_1+15,1+15,kbest_f_r20,3,New,under,0.733178,0.151074,0.588762,0.379791,0.094291,0.087286,0.620209
split_1+15,1+15,kbest_f_r20,3,Old,over,0.555832,0.052736,0.507601,0.369338,0.028395,0.302376,0.630662
split_1+15,1+15,kbest_f_r20,3,New,over,0.718074,0.174603,0.538924,0.306620,0.122053,0.052772,0.693380
split_1+15,1+15,kbest_f_r20,3,Old,hybrid,0.585244,0.066072,0.437057,0.219512,0.038889,0.129804,0.780488
