split,fs,ensemble,AUC,F1,Recall
split_1+15,no_fs,Old_3,0.41536226090165446,0.13184584178498987,0.9154929577464789
split_1+15,no_fs,New_3,0.5807091457039179,0.0,0.0
split_1+15,no_fs,All_6,0.504920351805154,0.0,0.0
split_1+15,mutual_info_r80,Old_3,0.4519573774524878,0.1342155009451796,1.0
split_1+15,mutual_info_r80,New_3,0.5941171043729627,0.0,0.0
split_1+15,mutual_info_r80,All_6,0.5589673411648932,0.0,0.0
split_2+14,no_fs,Old_3,0.42887785226643704,0.0,0.0
split_2+14,no_fs,New_3,0.5799095885355803,0.0,0.0
split_2+14,no_fs,All_6,0.44078664124484895,0.0,0.0
split_2+14,mutual_info_r80,Old_3,0.48839104495971464,0.0,0.0
split_2+14,mutual_info_r80,New_3,0.6223706870041208,0.0,0.0
split_2+14,mutual_info_r80,All_6,0.5150070730057199,0.0,0.0
split_3+13,no_fs,Old_3,0.4451380773725322,0.12747252747252746,0.8169014084507042
split_3+13,no_fs,New_3,0.6221323574635587,0.0,0.0
split_3+13,no_fs,All_6,0.4760901654468294,0.09615384615384616,0.07042253521126761
split_3+13,mutual_info_r80,Old_3,0.4667645611661233,0.0,0.0
split_3+13,mutual_info_r80,New_3,0.47165416077249517,0.0,0.0
split_3+13,mutual_info_r80,All_6,0.46476566824527954,0.0,0.0
split_4+12,no_fs,Old_3,0.5718986407528137,0.17712177121771217,0.3380281690140845
split_4+12,no_fs,New_3,0.5912110215880435,0.0,0.0
split_4+12,no_fs,All_6,0.5752198782212928,0.058823529411764705,0.04225352112676056
split_4+12,mutual_info_r80,Old_3,0.5882972507534288,0.13953488372093023,0.08450704225352113
split_4+12,mutual_info_r80,New_3,0.5955932099145089,0.0,0.0
split_4+12,mutual_info_r80,All_6,0.5960698689956332,0.10256410256410256,0.056338028169014086
split_5+11,no_fs,Old_3,0.5243249892367303,0.0,0.0
split_5+11,no_fs,New_3,0.5724368042315026,0.0,0.0
split_5+11,no_fs,All_6,0.5363337228611846,0.0,0.0
split_5+11,mutual_info_r80,Old_3,0.5676010209729996,0.0,0.0
split_5+11,mutual_info_r80,New_3,0.5404775816470877,0.0,0.0
split_5+11,mutual_info_r80,All_6,0.5557768005412387,0.0,0.0
split_6+10,no_fs,Old_3,0.561896488098899,0.0,0.0
split_6+10,no_fs,New_3,0.5833845869979704,0.0,0.0
split_6+10,no_fs,All_6,0.5552770773110277,0.0,0.0
split_6+10,mutual_info_r80,Old_3,0.5752813826188572,0.023809523809523808,0.014084507042253521
split_6+10,mutual_info_r80,New_3,0.6407374377267975,0.0,0.0
split_6+10,mutual_info_r80,All_6,0.5962390060889353,0.0,0.0
split_7+9,no_fs,Old_3,0.530475428993173,0.12801678908709338,0.8591549295774648
split_7+9,no_fs,New_3,0.6059720770035057,0.0,0.0
split_7+9,no_fs,All_6,0.5461436742727106,0.13263979193758127,0.7183098591549296
split_7+9,mutual_info_r80,Old_3,0.4879374500276769,0.13171225937183384,0.9154929577464789
split_7+9,mutual_info_r80,New_3,0.6238621686450581,0.0,0.0
split_7+9,mutual_info_r80,All_6,0.5250015376099391,0.1325178389398573,0.9154929577464789
split_8+8,no_fs,Old_3,0.5158604465219263,0.1278941565600882,0.8169014084507042
split_8+8,no_fs,New_3,0.5969309305615351,0.0,0.0
split_8+8,no_fs,All_6,0.5223414724152776,0.15246636771300448,0.23943661971830985
split_8+8,mutual_info_r80,Old_3,0.5239559628513438,0.13976377952755906,1.0
split_8+8,mutual_info_r80,New_3,0.6026277753859401,0.0,0.0
split_8+8,mutual_info_r80,All_6,0.5288378744080202,0.13986013986013987,0.28169014084507044
split_9+7,no_fs,Old_3,0.4965634417860878,0.12470588235294118,0.7464788732394366
split_9+7,no_fs,New_3,0.6199258872009348,0.0,0.0
split_9+7,no_fs,All_6,0.504128482686512,0.13270142180094788,0.19718309859154928
split_9+7,mutual_info_r80,Old_3,0.527084999077434,0.13505461767626614,0.9577464788732394
split_9+7,mutual_info_r80,New_3,0.6060797096992435,0.0,0.0
split_9+7,mutual_info_r80,All_6,0.5472430653791747,0.13751263902932254,0.9577464788732394
split_10+6,no_fs,Old_3,0.5655944400024602,0.15384615384615385,0.4507042253521127
split_10+6,no_fs,New_3,0.6135832462021034,0.0,0.0
split_10+6,no_fs,All_6,0.5702841503167476,0.15012106537530268,0.43661971830985913
split_10+6,mutual_info_r80,Old_3,0.600444369272403,0.1655773420479303,0.5352112676056338
split_10+6,mutual_info_r80,New_3,0.5747124669413863,0.0,0.0
split_10+6,mutual_info_r80,All_6,0.609047296881727,0.1746031746031746,0.30985915492957744
split_11+5,no_fs,Old_3,0.5277461713512516,0.15602836879432624,0.4647887323943662
split_11+5,no_fs,New_3,0.6020665477581647,0.0,0.0
split_11+5,no_fs,All_6,0.5318592779383726,0.1466275659824047,0.352112676056338
split_11+5,mutual_info_r80,Old_3,0.5757964819484593,0.13978494623655913,0.36619718309859156
split_11+5,mutual_info_r80,New_3,0.5986991819915124,0.0,0.0
split_11+5,mutual_info_r80,All_6,0.5834691555446214,0.13003095975232198,0.29577464788732394
split_12+4,no_fs,Old_3,0.5618196076019435,0.1564245810055866,0.39436619718309857
split_12+4,no_fs,New_3,0.5975382864874837,0.0,0.0
split_12+4,no_fs,All_6,0.5644258564487361,0.15185185185185185,0.5774647887323944
split_12+4,mutual_info_r80,Old_3,0.5190971154437543,0.13579049466537343,0.9859154929577465
split_12+4,mutual_info_r80,New_3,0.5949089734916047,0.0,0.0
split_12+4,mutual_info_r80,All_6,0.526585275847223,0.13579049466537343,0.9859154929577465
split_13+3,no_fs,Old_3,0.5646872501383848,0.0,0.0
split_13+3,no_fs,New_3,0.6329571314348976,0.0,0.0
split_13+3,no_fs,All_6,0.6107079156159665,0.0,0.0
split_13+3,mutual_info_r80,Old_3,0.5986069253951658,0.0,0.0
split_13+3,mutual_info_r80,New_3,0.6063411033888921,0.0,0.0
split_13+3,mutual_info_r80,All_6,0.606087397748939,0.0,0.0
split_14+2,no_fs,Old_3,0.5055661479795805,0.0,0.0
split_14+2,no_fs,New_3,0.6145519404637432,0.0,0.0
split_14+2,no_fs,All_6,0.5129159234885294,0.0,0.0
split_14+2,mutual_info_r80,Old_3,0.47246909404022386,0.0,0.0
split_14+2,mutual_info_r80,New_3,0.5916492404206901,0.0,0.0
split_14+2,mutual_info_r80,All_6,0.4995925333661356,0.0,0.0
