,AUC,F1,G_Mean,Recall,Precision,Type1_Error,Type2_Error
DES_baseline_new_010,0.664060027468785,0.1189710610932476,0.3154321680596247,0.10442144873000941,0.1382316313823163,0.04715502555366269,0.8955785512699906
DES_combined_new_010,0.7087868380607742,0.1415041782729805,,0.11947318908748825,0.17349726775956284,,
DES_baseline_new_020,0.6822525685878255,0.20496894409937888,0.4506591660471354,0.21730950141110067,0.19395465994962216,0.06541737649063033,0.7826904985888994
DES_combined_new_020,0.7065473467942134,0.19213174748398903,,0.1975540921919097,0.18699910952804988,,
DES_baseline_new_030,0.672396050520769,0.17938931297709923,0.448505391844794,0.22107243650047037,0.15093127809890816,0.09008517887563884,0.7789275634995296
DES_combined_new_030,0.6920116477905578,0.17704661182922052,,0.21260583254938853,0.15167785234899328,,
DES_baseline_new_050,0.6872761830889081,0.22357723577235772,0.526746897973774,0.3104421448730009,0.17469560614081525,0.1062350936967632,0.6895578551269991
DES_combined_new_050,0.6942529339835669,0.2213633169360506,,0.29633113828786456,0.17666853617498599,,
DES_baseline_new_070,0.6943626809149638,0.2329700272479564,0.5368106717949674,0.3217309501411101,0.1825947677522691,0.10432708688245315,0.6782690498588899
DES_combined_new_070,0.7011027579365399,0.21823204419889503,,0.29727187206020694,0.1723949809056192,,
DES_baseline_new_100,0.7060872686828604,0.2509386733416771,0.5768115853559057,0.37723424270931327,0.18799812470698546,0.11802385008517888,0.6227657572906867
DES_combined_new_100,0.7125681070417209,0.24777070063694268,,0.3659454374412041,0.18728935965334617,,
