,AUC,F1,G_Mean,Recall,Precision,Type1_Error,Type2_Error,learner,dataset
ensemble_old_3,0.8086293214507206,0.1327088212334114,0.6988460776231505,0.5923344947735192,0.07472527472527472,0.17548978741142143,0.4076655052264808,LightGBM,bankruptcy
ensemble_new_3,0.8693349290427341,0.2393574297188755,0.6958080792667377,0.519163763066202,0.15553235908141963,0.06744476865360567,0.4808362369337979,LightGBM,bankruptcy
ensemble_all_6,0.8574914344391463,0.21600520494469747,0.7253460450299981,0.578397212543554,0.1328,0.09037098791162984,0.42160278745644597,LightGBM,bankruptcy
finetune_hybrid,0.8551745573431438,0.19358669833729217,0.7138041085824854,0.5679442508710801,0.11667859699355762,0.10287619841600668,0.43205574912891986,LightGBM,bankruptcy
ensemble_old_3,0.7789389597582036,0.14456521739130435,0.6391825852853146,0.4634146341463415,0.08564069542820348,0.11838265944143393,0.5365853658536586,XGBoost,bankruptcy
ensemble_new_3,0.8629283688180179,0.27759562841530055,0.6511729962989075,0.4425087108013937,0.20222929936305734,0.04176740308461859,0.5574912891986062,XGBoost,bankruptcy
ensemble_all_6,0.8440327197888783,0.24521072796934865,0.6500813938473538,0.445993031358885,0.1690885072655218,0.05243851604835348,0.554006968641115,XGBoost,bankruptcy
finetune_hybrid,0.8542759541214182,0.23579545454545456,0.72962130375486,0.578397212543554,0.1480820695807315,0.07961650687786578,0.42160278745644597,XGBoost,bankruptcy
ensemble_old_3,0.7878984129566181,0.12215909090909091,0.38099116425409263,0.14982578397212543,0.10311750599520383,0.03117965819091288,0.8501742160278746,RandomForest,bankruptcy
ensemble_new_3,0.8536482245070173,0.2066772655007949,0.47037296306993864,0.2264808362369338,0.19005847953216373,0.023092955398082534,0.7735191637630662,RandomForest,bankruptcy
ensemble_all_6,0.8413672653965866,0.16,0.40441620568285325,0.1672473867595819,0.15335463258785942,0.02209253855773239,0.8327526132404182,RandomForest,bankruptcy
finetune_hybrid,0.845742346186637,0.2,0.6432969502139715,0.445993031358885,0.12890231621349446,0.07211338057523968,0.554006968641115,RandomForest,bankruptcy
ensemble_old_3,0.5159503412225933,0.12607449856733524,0.49724082604723546,0.6197183098591549,0.07017543859649122,0.6010309278350515,0.38028169014084506,LightGBM,stock
ensemble_new_3,0.6043487730506751,0.0,0.0,0.0,0.0,0.0,1.0,LightGBM,stock
ensemble_all_6,0.5124727747930885,0.0,0.0,0.0,0.0,0.006185567010309278,1.0,LightGBM,stock
finetune_hybrid,0.6134165819660229,0.0,0.0,0.0,0.0,0.0,1.0,LightGBM,stock
ensemble_old_3,0.4989327718890664,0.12121212121212122,0.3458144428244422,0.8169014084507042,0.0654627539503386,0.8536082474226804,0.18309859154929578,XGBoost,stock
ensemble_new_3,0.6305648322927254,0.0,0.0,0.0,0.0,0.0,1.0,XGBoost,stock
ensemble_all_6,0.5120081312617976,0.13445378151260504,0.32867859836794944,0.11267605633802817,0.16666666666666666,0.041237113402061855,0.8873239436619719,XGBoost,stock
finetune_hybrid,0.609902715260636,0.0,0.0,0.0,0.0,0.009278350515463918,1.0,XGBoost,stock
ensemble_old_3,0.5283505154639175,0.1171634121274409,0.3216454356336735,0.8028169014084507,0.06319290465631928,0.8711340206185567,0.19718309859154928,RandomForest,stock
ensemble_new_3,0.590823290257006,0.0,0.0,0.0,0.0,0.0,1.0,RandomForest,stock
ensemble_all_6,0.5273558879047481,0.0,0.0,0.0,0.0,0.0,1.0,RandomForest,stock
finetune_hybrid,0.5454189051836794,0.0,0.0,0.0,0.0,0.0,1.0,RandomForest,stock
ensemble_old_3,0.6509328343960041,0.18576051779935276,0.3575048125401071,0.1324411628980157,0.31094257854821233,0.034970033540440974,0.8675588371019843,LightGBM,medical
ensemble_new_3,0.6664676328667649,0.18705035971223022,0.35023221526504805,0.12598061836640517,0.363031914893617,0.026337493814262935,0.8740193816335948,LightGBM,medical
ensemble_all_6,0.6659935674677894,0.17409470752089137,0.3353813253221147,0.11536686663590216,0.3546099290780142,0.02501786990707648,0.8846331333640979,LightGBM,medical
finetune_hybrid,0.6649442091744969,0.18379850238257317,0.34808611783998517,0.12459621596677434,0.35019455252918286,0.027547149062517182,0.8754037840332256,LightGBM,medical
ensemble_old_3,0.6371520030496893,0.18297101449275363,0.36517284688714197,0.13982464236271344,0.2646288209606987,0.04629680541045802,0.8601753576372866,XGBoost,medical
ensemble_new_3,0.6516454485598508,0.16826265389876882,0.3321617048834941,0.11352099676972774,0.3249669749009247,0.028096992357178205,0.8864790032302723,XGBoost,medical
ensemble_all_6,0.6580602193349515,0.1700656757690978,0.3324528483012717,0.11352099676972774,0.33884297520661155,0.026392478143729036,0.8864790032302723,XGBoost,medical
finetune_hybrid,0.6527171608883345,0.19641714651311581,0.3695830828577409,0.14167051222888785,0.32012513034410844,0.03584978281189861,0.8583294877711122,XGBoost,medical
ensemble_old_3,0.6327323616322648,0.069450186027284,0.19597243849820867,0.03876326718966313,0.3333333333333333,0.009237367350305163,0.9612367328103368,RandomForest,medical
ensemble_new_3,0.6367508990902061,0.08649093904448106,0.21917679256135403,0.048454083987078914,0.40229885057471265,0.008577555396711936,0.951545916012921,RandomForest,medical
ensemble_all_6,0.6479329279480222,0.052699784017278616,0.16737639739505836,0.02814951545916013,0.41216216216216217,0.004783636663550888,0.9718504845408399,RandomForest,medical
finetune_hybrid,0.6385822806997468,0.23185717597959657,0.4580953611150477,0.23073373327180433,0.23299161230195714,0.09050420630120416,0.7692662667281956,RandomForest,medical
