,AUC,F1,G_Mean,Recall,Precision,Type1_Error,Type2_Error
retrain_none,0.6651286109347161,0.2529209621993127,0.611904150507861,0.594370096908168,0.16063856323272638,0.37004453730686754,0.405629903091832
retrain_undersampling,0.6646829384589859,0.25552634141591196,0.6159595635740905,0.6054453161052146,0.1619353246112071,0.37334359707483367,0.39455468389478543
retrain_oversampling,0.6611207557115258,0.018034265103697024,0.09598759176975331,0.009229349330872173,0.39215686274509803,0.001704514213449167,0.9907706506691278
retrain_hybrid,0.6621041810190695,0.17154959406989057,0.3309508722072279,0.1121365943700969,0.36486486486486486,0.023258371364161215,0.8878634056299031
finetune_none,0.6605799580622062,0.2585428755641522,0.6115170841162947,0.5551453622519612,0.1685109959378064,0.32638697971078245,0.44485463774803874
finetune_undersampling,0.6609350218436476,0.25434874840899446,0.6073520142314933,0.5532994923857868,0.16512877014185373,0.3333150052235113,0.4467005076142132
finetune_oversampling,0.6590798779708189,0.031929046563192905,0.12870636985974399,0.01661282879556991,0.4090909090909091,0.0028591851322373124,0.9833871712044301
finetune_hybrid,0.6649442091744969,0.18379850238257317,0.34808611783998517,0.12459621596677434,0.35019455252918286,0.027547149062517182,0.8754037840332256
ensemble_old_3,0.6509328343960041,0.18576051779935276,0.3575048125401071,0.1324411628980157,0.31094257854821233,0.034970033540440974,0.8675588371019843
ensemble_new_3,0.6664676328667649,0.18705035971223022,0.35023221526504805,0.12598061836640517,0.363031914893617,0.026337493814262935,0.8740193816335948
ensemble_all_6,0.6659935674677894,0.17409470752089137,0.3353813253221147,0.11536686663590216,0.3546099290780142,0.02501786990707648,0.8846331333640979
ensemble_2_old_hybrid_new_hybrid,0.6608095246154339,0.16806136680613668,0.32924270004187883,0.11121365943700968,0.3437945791726106,0.025292791554406995,0.8887863405629903
ensemble_3_type_a,0.6609991786858511,0.17697300990775539,0.3409217454855359,0.11952007383479464,0.34078947368421053,0.027547149062517182,0.8804799261652053
ensemble_3_type_b,0.6631002169457848,0.1477832512315271,0.29768373737244375,0.08998615597600369,0.413135593220339,0.0152306592621103,0.9100138440239963
