,AUC,F1,G_Mean,Recall,Precision,Type1_Error,Type2_Error
retrain_none_chrono,0.664743403433454,0.2528445006321112,0.612426337676272,0.5999077065066912,0.16017742730409068,0.37479379742659186,0.4000922934933087
finetune_none_chrono,0.6475419917378393,0.25349671989107564,0.5878209950433454,0.4725426857406553,0.17320703653585928,0.26877818101836576,0.5274573142593447
retrain_undersampling_chrono,0.6657866660211298,0.25464139144029707,0.6145330390134868,0.6012921089063221,0.16152225114664684,0.3719344550753327,0.3987078910936779
finetune_undersampling_chrono,0.6438589302125486,0.2509505703422053,0.5858747305458281,0.4720812182741117,0.17089876378215837,0.2729022324865281,0.5279187817258884
retrain_hybrid_chrono,0.6615326444460922,0.16690442225392296,0.3249468968337424,0.10798338717120443,0.3673469387755102,0.02215990322225888,0.8920166128287955
finetune_hybrid_chrono,0.6528929310725539,0.18328298086606243,0.34963807246546014,0.12598061836640517,0.33620689655172414,0.029638183217859892,0.8740193816335948
DES_KNORAE_chrono,0.6348551508279999,0.1586303284416492,0.3194642229491766,0.10475311490539917,0.32661870503597124,0.025734081161332894,0.8952468850946008
retrain_none_blockcv,0.6651286109347161,0.2529209621993127,0.611904150507861,0.594370096908168,0.16063856323272638,0.37004453730686754,0.405629903091832
finetune_none_blockcv,0.6605799580622062,0.2585428755641522,0.6115170841162947,0.5551453622519612,0.1685109959378064,0.32638697971078245,0.44485463774803874
retrain_undersampling_blockcv,0.6646829384589859,0.25552634141591196,0.6159595635740905,0.6054453161052146,0.1619353246112071,0.37334359707483367,0.39455468389478543
finetune_undersampling_blockcv,0.6609350218436476,0.25434874840899446,0.6073520142314933,0.5532994923857868,0.16512877014185373,0.3333150052235113,0.4467005076142132
retrain_hybrid_blockcv,0.6621041810190695,0.17154959406989057,0.3309508722072279,0.1121365943700969,0.36486486486486486,0.023258371364161215,0.8878634056299031
finetune_hybrid_blockcv,0.6649442091744969,0.18379850238257317,0.34808611783998517,0.12459621596677434,0.35019455252918286,0.027547149062517182,0.8754037840332256
DES_KNORAE_blockcv,0.6374301471288805,0.1640597844977407,0.32568073818544035,0.10890632210429164,0.3323943661971831,0.026062572166932425,0.8910936778957084
