,AUC,F1,G_Mean,Recall,Precision,Type1_Error,Type2_Error
retrain_none,0.5588488634860246,0.04622222222222222,0.14914582323900938,0.0912280701754386,0.030952380952380953,0.08949964763918251,0.9087719298245615
retrain_undersampling,0.5222856746251853,0.051496172581767564,0.16553340467187513,0.12982456140350876,0.03211805555555556,0.1222692036645525,0.8701754385964913
retrain_oversampling,0.5330579634937617,0.04583333333333334,0.11014128631524327,0.03859649122807018,0.05641025641025641,0.019027484143763214,0.9614035087719298
retrain_hybrid,0.5434153751436583,0.0,0.0,0.0,0.0,0.004933051444679351,1.0
finetune_none,0.5817725580868798,0.05344021376085504,0.16965351513017313,0.14035087719298245,0.03300330033003301,0.12963390800839855,0.8596491228070176
finetune_undersampling,0.5692996013651608,0.04979253112033195,0.1627350522454559,0.12631578947368421,0.031007751937984496,0.1295205713330863,0.8736842105263158
finetune_oversampling,0.5777998456353566,0.0,0.0,0.0,0.0,0.0,1.0
finetune_hybrid,0.5910994751086324,0.0,0.0,0.0,0.0,0.0,1.0
ensemble_old_3,0.5368373027271153,0.14702525581394785,0.34891379522540483,0.7245907879710697,0.08222430973833977,0.6853488132425009,0.2754092120289304
ensemble_new_3,0.5821311781404392,0.0,0.0,0.0,0.0,0.0,1.0
ensemble_all_6,0.5339926449722837,0.061061061061061066,0.18133412314347663,0.21403508771929824,0.03561004086398132,0.18176587258342233,0.7859649122807019
ensemble_2_old_hybrid_new_hybrid,0.5711004361201083,0.12573933292240258,0.3249925847401838,0.3487521620953793,0.09058367533059736,0.2357976795042247,0.6512478379046207
ensemble_3_type_a,0.5363541988275142,0.14821382842509603,0.34449416024013985,0.6194645349574927,0.08631389065710648,0.5734677341975928,0.3805354650425073
ensemble_3_type_b,0.5681256972311778,0.0,0.0,0.0,0.0,0.0,1.0
