method,detector,drift_year,model_type,sampling/combo,AUC,F1,G_Mean,Recall,Precision,Type1_Error,Type2_Error
Fixed_Old,none,-,single,none,0.7748,0.1170,0.6606,0.5331,0.0657,0.1814,0.4669
Fixed_Old,none,-,single,undersampling,0.7777,0.1299,0.6461,0.4878,0.0749,0.1441,0.5122
Fixed_Old,none,-,single,oversampling,0.6967,0.0862,0.6034,0.4704,0.0474,0.2260,0.5296
Fixed_Old,none,-,single,hybrid,0.7595,0.1336,0.6499,0.4913,0.0773,0.1402,0.5087
Fixed_New,none,-,single,none,0.8476,0.2881,0.6424,0.4286,0.2169,0.0370,0.5714
Fixed_New,none,-,single,undersampling,0.8609,0.2854,0.6248,0.4042,0.2205,0.0342,0.5958
Fixed_New,none,-,single,oversampling,0.8237,0.2419,0.6108,0.3902,0.1753,0.0439,0.6098
Fixed_New,none,-,single,hybrid,0.8311,0.2330,0.5115,0.2683,0.2059,0.0248,0.7317
Fixed_Retrain,none,-,single,none,0.8203,0.1819,0.6484,0.4599,0.1134,0.0860,0.5401
Fixed_Retrain,none,-,single,undersampling,0.8218,0.1797,0.6887,0.5296,0.1082,0.1045,0.4704
Fixed_Retrain,none,-,single,oversampling,0.7404,0.1018,0.6560,0.5540,0.0560,0.2233,0.4460
Fixed_Retrain,none,-,single,hybrid,0.7812,0.1577,0.5782,0.3624,0.1008,0.0774,0.6376
Fixed_Ensemble,none,-,ensemble,old3,0.7629,0.1305,0.5916,0.3937,0.0782,0.1110,0.6063
Fixed_Ensemble,none,-,ensemble,new3,0.8352,0.1767,0.7010,0.5540,0.1051,0.1129,0.4460
Fixed_Ensemble,none,-,ensemble,pair_hy,0.8164,0.2030,0.6765,0.4983,0.1275,0.0816,0.5017
Fixed_Ensemble,none,-,ensemble,all6,0.8252,0.1915,0.6861,0.5192,0.1174,0.0934,0.4808
ADWIN_Single_New,ADWIN,none,single,none,0.8391,0.2071,0.6897,0.5192,0.1293,0.0836,0.4808
ADWIN_Single_New,ADWIN,none,single,undersampling,0.8316,0.2201,0.6158,0.4007,0.1517,0.0536,0.5993
ADWIN_Single_New,ADWIN,none,single,oversampling,0.7576,0.1463,0.6254,0.4390,0.0877,0.1092,0.5610
ADWIN_Single_New,ADWIN,none,single,hybrid,0.8183,0.1731,0.6885,0.5331,0.1033,0.1107,0.4669
ADWIN_Ensemble,ADWIN,none,ensemble,old3,0.6047,0.0594,0.5659,0.5157,0.0315,0.3790,0.4843
ADWIN_Ensemble,ADWIN,none,ensemble,new3,0.8289,0.1942,0.6682,0.4878,0.1212,0.0846,0.5122
ADWIN_Ensemble,ADWIN,none,ensemble,pair_hy,0.7728,0.1208,0.6127,0.4355,0.0701,0.1381,0.5645
ADWIN_Ensemble,ADWIN,none,ensemble,all6,0.7882,0.1214,0.7128,0.6481,0.0670,0.2159,0.3519
DDM_Single_New,DDM,none,single,none,0.8391,0.2071,0.6897,0.5192,0.1293,0.0836,0.4808
DDM_Single_New,DDM,none,single,undersampling,0.8316,0.2201,0.6158,0.4007,0.1517,0.0536,0.5993
DDM_Single_New,DDM,none,single,oversampling,0.7576,0.1463,0.6254,0.4390,0.0877,0.1092,0.5610
DDM_Single_New,DDM,none,single,hybrid,0.8183,0.1731,0.6885,0.5331,0.1033,0.1107,0.4669
DDM_Ensemble,DDM,none,ensemble,old3,0.6047,0.0594,0.5659,0.5157,0.0315,0.3790,0.4843
DDM_Ensemble,DDM,none,ensemble,new3,0.8289,0.1942,0.6682,0.4878,0.1212,0.0846,0.5122
DDM_Ensemble,DDM,none,ensemble,pair_hy,0.7728,0.1208,0.6127,0.4355,0.0701,0.1381,0.5645
DDM_Ensemble,DDM,none,ensemble,all6,0.7882,0.1214,0.7128,0.6481,0.0670,0.2159,0.3519
PHT_Single_New,PHT,2002,single,none,0.8391,0.2071,0.6897,0.5192,0.1293,0.0836,0.4808
PHT_Single_New,PHT,2002,single,undersampling,0.8316,0.2201,0.6158,0.4007,0.1517,0.0536,0.5993
PHT_Single_New,PHT,2002,single,oversampling,0.7576,0.1463,0.6254,0.4390,0.0877,0.1092,0.5610
PHT_Single_New,PHT,2002,single,hybrid,0.8183,0.1731,0.6885,0.5331,0.1033,0.1107,0.4669
PHT_Ensemble,PHT,2002,ensemble,old3,0.6047,0.0594,0.5659,0.5157,0.0315,0.3790,0.4843
PHT_Ensemble,PHT,2002,ensemble,new3,0.8289,0.1942,0.6682,0.4878,0.1212,0.0846,0.5122
PHT_Ensemble,PHT,2002,ensemble,pair_hy,0.7728,0.1208,0.6127,0.4355,0.0701,0.1381,0.5645
PHT_Ensemble,PHT,2002,ensemble,all6,0.7882,0.1214,0.7128,0.6481,0.0670,0.2159,0.3519
