,AUC,F1,G_Mean,Recall,Precision,Type1_Error,Type2_Error
no_fs,0.6545163394398227,0.18793503480278423,0.5118506170893924,0.3047977422389464,0.13584905660377358,0.140442930153322,0.6952022577610536
kbest_f_r20,0.639977819837463,0.17828947368421053,0.5953111843988682,0.5098777046095955,0.1080326888578832,0.3049403747870528,0.4901222953904045
kbest_f_r50,0.6515880451488105,0.19030108021144565,0.5596337381242743,0.3894637817497648,0.1259124087591241,0.19584327086882453,0.6105362182502352
kbest_f_r80,0.6551057163599534,0.19781420765027322,0.5372900378989912,0.3405456255879586,0.13939160569888331,0.15229982964224872,0.6594543744120414
kbest_chi2_r20,0.6442741365522348,0.1770660776734769,0.5766961591003146,0.4524929444967074,0.11006864988558353,0.2650085178875639,0.5475070555032926
kbest_chi2_r50,0.6590917351650131,0.1910247180225582,0.5526049646097693,0.374412041392286,0.12822164948453607,0.18439522998296423,0.625587958607714
kbest_chi2_r80,0.6581449755681663,0.17596447404940327,0.5030295521596679,0.2982126058325494,0.12480314960629921,0.15148211243611584,0.7017873941674506
lasso_r20,0.6655514190335923,0.1976284584980237,0.5441643001395395,0.3527751646284102,0.13726207906295754,0.16061328790459967,0.6472248353715898
lasso_r50,0.6655514190335923,0.1976284584980237,0.5441643001395395,0.3527751646284102,0.13726207906295754,0.16061328790459967,0.6472248353715898
lasso_r80,0.6655514190335923,0.1976284584980237,0.5441643001395395,0.3527751646284102,0.13726207906295754,0.16061328790459967,0.6472248353715898
