config,name,side,val_auc,awe_weight
ROSS_2009_noFS,old_undersampling,old,0.775300,0.149266
ROSS_2009_noFS,old_oversampling,old,0.700776,0.134918
ROSS_2009_noFS,old_hybrid,old,0.733819,0.141280
ROSS_2009_noFS,new_undersampling,new,0.999805,0.192489
ROSS_2009_noFS,new_oversampling,new,0.995468,0.191654
ROSS_2009_noFS,new_hybrid,new,0.988925,0.190394
ROSS_2009_FS,old_undersampling,old,0.778503,0.151044
ROSS_2009_FS,old_oversampling,old,0.690369,0.133945
ROSS_2009_FS,old_hybrid,old,0.727923,0.141231
ROSS_2009_FS,new_undersampling,new,0.999005,0.193826
ROSS_2009_FS,new_oversampling,new,0.981198,0.190371
ROSS_2009_FS,new_hybrid,new,0.977130,0.189582
Fixed_2012_noFS,old_undersampling,old,0.831680,0.155651
Fixed_2012_noFS,old_oversampling,old,0.744888,0.139408
Fixed_2012_noFS,old_hybrid,old,0.774526,0.144955
Fixed_2012_noFS,new_undersampling,new,0.999897,0.187134
Fixed_2012_noFS,new_oversampling,new,0.999879,0.187130
Fixed_2012_noFS,new_hybrid,new,0.992350,0.185721
Fixed_2012_FS,old_undersampling,old,0.821767,0.154377
Fixed_2012_FS,old_oversampling,old,0.733617,0.137817
Fixed_2012_FS,old_hybrid,old,0.779873,0.146507
Fixed_2012_FS,new_undersampling,new,0.999811,0.187825
Fixed_2012_FS,new_oversampling,new,0.998675,0.187611
Fixed_2012_FS,new_hybrid,new,0.989364,0.185862
