split,drift_start_year,old_window,new_window,fs_variant,method,selected_component,w_new,threshold,val_AUC,test_AUC,val_F1,test_F1,val_G_Mean,test_G_Mean,val_Recall,test_Recall,val_Precision,test_Precision,val_Type1_Error,test_Type1_Error,val_Type2_Error,test_Type2_Error
split_1+15,2000,1999-1999,2000-2014,no_fs,New_under,New_under,1.00000000,0.18000000,0.71982043,0.82387203,0.29728635,0.18481375,0.57560929,0.64245991,0.36372646,0.44947735,0.25136986,0.11632101,0.08907905,0.08170071,0.63627354,0.55052265
split_1+15,2000,1999-1999,2000-2014,no_fs,New3_mean,New_under+New_over+New_hybrid,1.00000000,0.37000000,0.69941828,0.80547383,0.25725882,0.15101838,0.59078177,0.67832124,0.40832507,0.52961672,0.18778487,0.08806489,0.14523227,0.13122134,0.59167493,0.47038328
split_1+15,2000,1999-1999,2000-2014,no_fs,Equal6,Old3/New3 equal weight,0.50000000,0.32000000,0.67490907,0.76096951,0.22674419,0.13038549,0.52264168,0.59598558,0.30921705,0.40069686,0.17900172,0.07786053,0.11662592,0.11354731,0.69078295,0.59930314
split_1+15,2000,1999-1999,2000-2014,no_fs,ValBestSingle_F1,New_under,,0.18000000,0.71982043,0.82387203,0.29728635,0.18481375,0.57560929,0.64245991,0.36372646,0.44947735,0.25136986,0.11632101,0.08907905,0.08170071,0.63627354,0.55052265
split_1+15,2000,1999-1999,2000-2014,no_fs,ValBestSingle_AUC,New_under,,0.18000000,0.71982043,0.82387203,0.29728635,0.18481375,0.57560929,0.64245991,0.36372646,0.44947735,0.25136986,0.11632101,0.08907905,0.08170071,0.63627354,0.55052265
split_1+15,2000,1999-1999,2000-2014,no_fs,DAWCE_F1,Old3/New3 w_new=1.00,1.00000000,0.37000000,0.69941828,0.80547383,0.25725882,0.15101838,0.59078177,0.67832124,0.40832507,0.52961672,0.18778487,0.08806489,0.14523227,0.13122134,0.59167493,0.47038328
split_1+15,2000,1999-1999,2000-2014,no_fs,DAWCE_AUC,Old3/New3 w_new=1.00,1.00000000,0.37000000,0.69941828,0.80547383,0.25725882,0.15101838,0.59078177,0.67832124,0.40832507,0.52961672,0.18778487,0.08806489,0.14523227,0.13122134,0.59167493,0.47038328
split_1+15,2000,1999-1999,2000-2014,fs,New_under,New_under,1.00000000,0.20000000,0.70180535,0.81443778,0.27583262,0.19350181,0.54200413,0.65526771,0.32011893,0.46689895,0.24231058,0.12204007,0.08231459,0.08036682,0.67988107,0.53310105
split_1+15,2000,1999-1999,2000-2014,fs,New3_mean,New_under+New_over+New_hybrid,1.00000000,0.54000000,0.69381887,0.79363919,0.26630679,0.16888194,0.52097176,0.59040140,0.29335976,0.37630662,0.24382208,0.10887097,0.07481663,0.07369737,0.70664024,0.62369338
split_1+15,2000,1999-1999,2000-2014,fs,Equal6,Old3/New3 equal weight,0.50000000,0.31000000,0.66788892,0.74948273,0.22569642,0.11133685,0.57073104,0.62951382,0.39345887,0.47735192,0.15823037,0.06301748,0.17212714,0.16982076,0.60654113,0.52264808
