fs_variant,method,val_AUC,val_F1,val_G_Mean,val_Recall,val_Precision,val_Type1_Error,val_Type2_Error,test_AUC,test_F1,test_G_Mean,test_Recall,test_Precision,test_Type1_Error,test_Type2_Error,w_new
fs,New_under,0.70431800,0.26977309,0.52486945,0.30089019,0.25004133,0.07747841,0.69910981,0.83103112,0.20206994,0.65769894,0.47084785,0.12947250,0.07678755,0.52915215,1.00000000
fs,AdaptiveChoice_AUC,0.71164341,0.27573583,0.54669459,0.32975568,0.24084577,0.08962804,0.67024432,0.82846498,0.18912835,0.65858155,0.47711963,0.11873246,0.08616368,0.52288037,0.82500000
fs,ValBestSingle_AUC,0.70847571,0.27419825,0.53905104,0.31886717,0.24461035,0.08492855,0.68113283,0.82493819,0.19244073,0.65124142,0.46434379,0.12232090,0.08141726,0.53565621,
fs,ValBestSingle_F1,0.70459331,0.27545352,0.54588987,0.32899346,0.24167975,0.08944955,0.67100654,0.82189536,0.18664539,0.65447576,0.47177700,0.11735409,0.08675837,0.52822300,
fs,AdaptiveChoice_F1,0.70785906,0.28108709,0.55342297,0.33764887,0.24396905,0.08996662,0.66235113,0.81904043,0.18473445,0.65385539,0.47061556,0.11568150,0.08779214,0.52938444,0.61250000
fs,DAWCE_AUC,0.70651711,0.27412755,0.54782017,0.33178314,0.23703300,0.09172693,0.66821686,0.81610181,0.18003635,0.64691190,0.46178862,0.11267706,0.08846464,0.53821138,0.90666667
fs,New3_mean,0.70393310,0.27268310,0.54113765,0.32178241,0.23901890,0.08751730,0.67821759,0.81578188,0.18166726,0.63952429,0.44831591,0.11451279,0.08397388,0.55168409,1.00000000
fs,DAWCE_F1,0.70425856,0.27881796,0.55128581,0.33471884,0.24116106,0.08994030,0.66528116,0.81013326,0.17810204,0.64312060,0.45481998,0.11128741,0.08818674,0.54518002,0.78000000
fs,Equal6,0.69171698,0.26019560,0.55819998,0.35647557,0.21111665,0.11858294,0.64352443,0.78431082,0.14816189,0.62629208,0.44552846,0.09001905,0.11490899,0.55447154,0.50000000
no_fs,New_under,0.71674238,0.26926737,0.54216410,0.32923953,0.23734439,0.09209529,0.67076047,0.84977052,0.21429353,0.70126029,0.54216028,0.13538420,0.08598583,0.45783972,1.00000000
no_fs,AdaptiveChoice_AUC,0.71901501,0.27682143,0.56149493,0.35222853,0.23103154,0.10034506,0.64777147,0.84809704,0.20283874,0.70846411,0.55725900,0.12475770,0.09572878,0.44274100,0.95000000
no_fs,ValBestSingle_AUC,0.71797796,0.27407006,0.55919606,0.35044609,0.22905098,0.10162237,0.64955391,0.84701303,0.20511188,0.70944172,0.55911731,0.12673553,0.09590107,0.44088269,
no_fs,AdaptiveChoice_F1,0.71587240,0.28056670,0.56863348,0.36164974,0.23178325,0.10266977,0.63835026,0.84338957,0.19835959,0.70719265,0.55632985,0.12126678,0.09846881,0.44367015,0.75000000
no_fs,ValBestSingle_F1,0.71605681,0.27546047,0.55756420,0.34651303,0.23157682,0.09820690,0.65348697,0.84254399,0.20326176,0.70038588,0.54216028,0.12579153,0.09229957,0.45783972,
no_fs,DAWCE_AUC,0.71042351,0.27049442,0.55939557,0.35250926,0.22432428,0.10614341,0.64749074,0.83609855,0.18776520,0.69737434,0.54471545,0.11438380,0.10448242,0.45528455,0.96666667
no_fs,New3_mean,0.70957472,0.26925476,0.56183037,0.35669178,0.22044498,0.10938384,0.64330822,0.83494162,0.18535705,0.70021840,0.55121951,0.11224069,0.10731138,0.44878049,1.00000000
no_fs,DAWCE_F1,0.70776958,0.27415209,0.56248231,0.35543816,0.22762726,0.10495083,0.64456184,0.83360539,0.18860248,0.69525710,0.54053426,0.11519604,0.10262609,0.45946574,0.85333333
no_fs,Equal6,0.69362356,0.25736228,0.55960107,0.35968812,0.20625579,0.12271094,0.64031188,0.80858356,0.16110306,0.66806740,0.50917538,0.09661473,0.11952758,0.49082462,0.50000000
