fs_variant,method,baseline,metric,n_pairs,method_mean,baseline_mean,mean_diff,n_method_better,n_baseline_better,p_greater,p_two_sided
fs,AdaptiveChoice_AUC,New_under,AUC,15,0.83358114,0.83372046,-0.00013932,2,3,0.65708478,0.68583043
fs,AdaptiveChoice_AUC,New_under,F1,15,0.19382882,0.19408389,-0.00025507,2,3,0.55363080,0.89273840
fs,AdaptiveChoice_AUC,New_under,Recall,15,0.50824623,0.50592334,0.00232288,2,3,0.55363080,0.89273840
fs,AdaptiveChoice_AUC,New_under,Precision,15,0.12129455,0.12172154,-0.00042699,2,3,0.55363080,0.89273840
fs,AdaptiveChoice_F1,New_under,AUC,15,0.82557556,0.83372046,-0.00814490,1,7,0.99135486,0.01729028
fs,AdaptiveChoice_F1,New_under,F1,15,0.18717703,0.19408389,-0.00690686,1,7,0.95355403,0.09289194
fs,AdaptiveChoice_F1,New_under,Recall,15,0.50754936,0.50592334,0.00162602,4,4,0.55568107,0.88863786
fs,AdaptiveChoice_F1,New_under,Precision,15,0.11581701,0.12172154,-0.00590453,1,7,0.95355403,0.09289194
fs,DAWCE_AUC,New_under,AUC,15,0.82030720,0.83372046,-0.01341326,2,13,0.99923706,0.00201416
fs,DAWCE_AUC,New_under,F1,15,0.18245223,0.19408389,-0.01163166,3,12,0.97937012,0.04791260
fs,DAWCE_AUC,New_under,Recall,15,0.49477352,0.50592334,-0.01114982,6,9,0.77285767,0.48870850
fs,DAWCE_AUC,New_under,Precision,15,0.11343465,0.12172154,-0.00828689,4,11,0.95837402,0.09460449
fs,DAWCE_F1,New_under,AUC,15,0.81537445,0.83372046,-0.01834601,1,14,0.99996948,0.00012207
fs,DAWCE_F1,New_under,F1,15,0.17942887,0.19408389,-0.01465502,2,13,0.99377441,0.01507568
fs,DAWCE_F1,New_under,Recall,15,0.49500581,0.50592334,-0.01091754,7,8,0.75564575,0.52447510
fs,DAWCE_F1,New_under,Precision,15,0.11090424,0.12172154,-0.01081730,2,13,0.99096680,0.02154541
fs,Equal6,New_under,AUC,15,0.78664393,0.83372046,-0.04707653,1,14,0.99996948,0.00012207
fs,Equal6,New_under,F1,15,0.15066836,0.19408389,-0.04341553,2,13,0.99978638,0.00061035
fs,Equal6,New_under,Recall,15,0.47200929,0.50592334,-0.03391405,7,8,0.81075882,0.37848236
fs,Equal6,New_under,Precision,15,0.09043978,0.12172154,-0.03128176,1,14,0.99899292,0.00262451
fs,New3_mean,New_under,AUC,15,0.82079546,0.83372046,-0.01292499,2,13,0.99942017,0.00152588
fs,New3_mean,New_under,F1,15,0.18141177,0.19408389,-0.01267212,4,11,0.98922729,0.02557373
fs,New3_mean,New_under,Recall,15,0.49639954,0.50592334,-0.00952381,7,8,0.75564575,0.52447510
fs,New3_mean,New_under,Precision,15,0.11253413,0.12172154,-0.00918741,4,11,0.96350098,0.08325195
fs,ValBestSingle_AUC,New_under,AUC,15,0.83054542,0.83372046,-0.00317504,0,4,0.96605542,0.06788915
fs,ValBestSingle_AUC,New_under,F1,15,0.18917098,0.19408389,-0.00491291,1,3,0.86333916,0.27332168
