split,drift_start_year,old_window,new_window,fs_variant,n_features_before,n_features_after,selected_preview,w_old,w_new,threshold,val_AUC,test_AUC,val_F1,test_F1,val_G_Mean,test_G_Mean,val_Recall,test_Recall,val_Precision,test_Precision,val_Type1_Error,test_Type1_Error,val_Type2_Error,test_Type2_Error
split_1+15,2000,1999-1999,2000-2014,no_fs,19,19,,1.00000000,0.00000000,0.06000000,0.56534648,0.57483272,0.15566323,0.05532710,0.54632105,0.55170435,0.50941526,0.51567944,0.09186774,0.02923168,0.41409943,0.40975406,0.49058474,0.48432056
split_1+15,2000,1999-1999,2000-2014,no_fs,19,19,,0.95000000,0.05000000,0.05000000,0.59491528,0.62763143,0.16388550,0.06026490,0.56364778,0.58277027,0.59861249,0.63414634,0.09493870,0.03163567,0.46927465,0.46444352,0.40138751,0.36585366
split_1+15,2000,1999-1999,2000-2014,no_fs,19,19,,0.90000000,0.10000000,0.07000000,0.61114565,0.65579009,0.17469969,0.06937269,0.58221343,0.62048660,0.58374628,0.65505226,0.10272061,0.03662575,0.41931540,0.41225511,0.41625372,0.34494774
split_1+15,2000,1999-1999,2000-2014,no_fs,19,19,,0.85000000,0.15000000,0.07000000,0.62341401,0.67609675,0.18001120,0.07154129,0.59331920,0.63399366,0.63726462,0.71080139,0.10480848,0.03766617,0.44759576,0.43451438,0.36273538,0.28919861
split_1+15,2000,1999-1999,2000-2014,no_fs,19,19,,0.80000000,0.20000000,0.17000000,0.63367347,0.69281103,0.18886861,0.07529844,0.55793528,0.57139582,0.41030723,0.42857143,0.12266667,0.04127517,0.24132029,0.23818258,0.58969277,0.57142857
split_1+15,2000,1999-1999,2000-2014,no_fs,19,19,,0.75000000,0.25000000,0.19000000,0.64249852,0.70739579,0.19820693,0.08275862,0.56201182,0.58539864,0.40535183,0.43902439,0.13117383,0.04568528,0.22078240,0.21942476,0.59464817,0.56097561
split_1+15,2000,1999-1999,2000-2014,no_fs,19,19,,0.70000000,0.30000000,0.18000000,0.65046125,0.72036984,0.20629605,0.08761329,0.58790278,0.61968203,0.45787909,0.50522648,0.13314121,0.04796560,0.24515077,0.23993331,0.54212091,0.49477352
split_1+15,2000,1999-1999,2000-2014,no_fs,19,19,,0.65000000,0.35000000,0.18000000,0.65750919,0.73216395,0.21070812,0.09008482,0.60006227,0.63511200,0.48364718,0.53658537,0.13469500,0.04916986,0.25550122,0.24827011,0.51635282,0.46341463
split_1+15,2000,1999-1999,2000-2014,no_fs,19,19,,0.60000000,0.40000000,0.21000000,0.66391745,0.74267240,0.21619025,0.09905660,0.58966260,0.63560326,0.44598612,0.51219512,0.14267597,0.05483029,0.22037490,0.21125469,0.55401388,0.48780488
split_1+15,2000,1999-1999,2000-2014,no_fs,19,19,,0.55000000,0.45000000,0.22000000,0.66974418,0.75227715,0.22157434,0.10204790,0.59522275,0.63851896,0.45193261,0.51219512,0.14676537,0.05666924,0.21605542,0.20400167,0.54806739,0.48780488
