test_year,train_start,train_end,validation_year,selected_boundary,selected_old_period,selected_new_period,best_single_model,dawce_new_weight,adaptive_choice,n_train,n_validation,n_test,test_positive_rate
2009,1999,2007,2008,2005,1999-2004,2005-2007,New_under,1.00000000,New_under,41189,3857,3743,0.06251670
2010,1999,2008,2009,2007,1999-2006,2007-2008,New_under,0.90000000,New_under,45046,3743,3625,0.06013793
2011,1999,2009,2010,2006,1999-2005,2006-2009,New_under,1.00000000,New_under,48789,3625,3513,0.05522346
2012,1999,2010,2011,2005,1999-2004,2005-2010,New_under,1.00000000,New_under,52414,3513,3485,0.05222382
2013,1999,2011,2012,2010,1999-2009,2010-2011,New_under,1.00000000,New_under,55927,3485,3484,0.04793341
2014,1999,2012,2013,2008,1999-2007,2008-2012,New_under,1.00000000,New_under,59412,3484,3504,0.04052511
2015,1999,2013,2014,2009,1999-2008,2009-2013,New_under,1.00000000,New_under,62896,3504,3354,0.03309481
2016,1999,2014,2015,2009,1999-2008,2009-2014,New_under,1.00000000,DAWCE_AUC,66400,3354,3191,0.02601065
2017,1999,2015,2016,2011,1999-2010,2011-2015,New_under,0.95000000,New_under,69754,3191,3014,0.01891175
2018,1999,2016,2017,2011,1999-2010,2011-2016,New_under,1.00000000,DAWCE_AUC,72945,3014,2723,0.01322071
