test_feature_year,route,pool_action,model_id,train_start,train_end,train_years,n_train,n_positive_before,n_negative_before,n_positive_after,n_negative_after,sampler,seed,resolved_model_params,protocol_version
2009,B_model,added,seed42_M2005,2003,2005,"2003,2004,2005",12970,115,12855,115,12818,TomekLinks,42,"{""eval_metric"": ""auc"", ""objective"": ""binary:logistic"", ""random_state"": 42, ""seed"": 42, ""tree_method"": ""hist"", ""verbosity"": 0}",study3_ab_fair_event_target_v1_financial18_exploratory
2009,B_model,added,seed42_M2006,2004,2006,"2004,2005,2006",12681,137,12544,137,12498,TomekLinks,42,"{""eval_metric"": ""auc"", ""objective"": ""binary:logistic"", ""random_state"": 42, ""seed"": 42, ""tree_method"": ""hist"", ""verbosity"": 0}",study3_ab_fair_event_target_v1_financial18_exploratory
2009,B_model,added,seed42_M2007,2005,2007,"2005,2006,2007",12342,150,12192,150,12146,TomekLinks,42,"{""eval_metric"": ""auc"", ""objective"": ""binary:logistic"", ""random_state"": 42, ""seed"": 42, ""tree_method"": ""hist"", ""verbosity"": 0}",study3_ab_fair_event_target_v1_financial18_exploratory
2009,B_data_old,,seed42_Bdata_old_2009,2005,2006,"2005,2006",8333,91,8242,91,8217,TomekLinks,42,"{""eval_metric"": ""auc"", ""objective"": ""binary:logistic"", ""random_state"": 42, ""seed"": 42, ""tree_method"": ""hist"", ""verbosity"": 0}",study3_ab_fair_event_target_v1_financial18_exploratory
2009,B_data_new,,seed42_Bdata_new_2009,2007,2007,2007,4009,59,3950,59,3937,TomekLinks,42,"{""eval_metric"": ""auc"", ""objective"": ""binary:logistic"", ""random_state"": 42, ""seed"": 42, ""tree_method"": ""hist"", ""verbosity"": 0}",study3_ab_fair_event_target_v1_financial18_exploratory
2009,A_old_candidate,,seed42_A2009_old_to_2001,1999,2001,"1999,2000,2001",15431,20,15411,20,15404,TomekLinks,42,"{""eval_metric"": ""auc"", ""objective"": ""binary:logistic"", ""random_state"": 42, ""seed"": 42, ""tree_method"": ""hist"", ""verbosity"": 0}",study3_ab_fair_event_target_v1_financial18_exploratory
2009,A_new_candidate,,seed42_A2009_new_2002_to_2007,2002,2007,"2002,2003,2004,2005,2006,2007",25758,242,25516,242,25442,TomekLinks,42,"{""eval_metric"": ""auc"", ""objective"": ""binary:logistic"", ""random_state"": 42, ""seed"": 42, ""tree_method"": ""hist"", ""verbosity"": 0}",study3_ab_fair_event_target_v1_financial18_exploratory
2009,A_old_candidate,,seed42_A2009_old_to_2002,1999,2002,"1999,2000,2001,2002",20082,37,20045,37,20033,TomekLinks,42,"{""eval_metric"": ""auc"", ""objective"": ""binary:logistic"", ""random_state"": 42, ""seed"": 42, ""tree_method"": ""hist"", ""verbosity"": 0}",study3_ab_fair_event_target_v1_financial18_exploratory
2009,A_new_candidate,,seed42_A2009_new_2003_to_2007,2003,2007,"2003,2004,2005,2006,2007",21107,225,20882,225,20817,TomekLinks,42,"{""eval_metric"": ""auc"", ""objective"": ""binary:logistic"", ""random_state"": 42, ""seed"": 42, ""tree_method"": ""hist"", ""verbosity"": 0}",study3_ab_fair_event_target_v1_financial18_exploratory
2009,A_old_candidate,,seed42_A2009_old_to_2003,1999,2003,"1999,2000,2001,2002,2003",24499,66,24433,66,24410,TomekLinks,42,"{""eval_metric"": ""auc"", ""objective"": ""binary:logistic"", ""random_state"": 42, ""seed"": 42, ""tree_method"": ""hist"", ""verbosity"": 0}",study3_ab_fair_event_target_v1_financial18_exploratory
