reference_method,comparison_method,metric,observed_reference_minus_comparison,ci95_low,ci95_high,bootstrap_probability_difference_gt_0,n_company_clusters,n_rows,replicates,bootstrap_seed,inference_scope,seed,protocol_version
B_model_FIFO3_equal,Recent3y,AP,0.0249068797379,0.00449324499076,0.0449053244459,0.994,5512,33636,1000,20260909,paired_company_cluster_percentile_bootstrap,42,study3_ab_fair_event_target_v1_financial18_exploratory
B_model_FIFO3_equal,Recent3y,AUC,0.0125621505563,0.000154668796392,0.0248402168163,0.976,5512,33636,1000,20260909,paired_company_cluster_percentile_bootstrap,42,study3_ab_fair_event_target_v1_financial18_exploratory
B_model_FIFO3_equal,Recent3y,F1,0.0260223167286,-0.0066819924335,0.0613858348821,0.922,5512,33636,1000,20260909,paired_company_cluster_percentile_bootstrap,42,study3_ab_fair_event_target_v1_financial18_exploratory
B_model_FIFO3_equal,Recent3y,Recall,0.076124567474,0.0417972936763,0.11301369863,1,5512,33636,1000,20260909,paired_company_cluster_percentile_bootstrap,42,study3_ab_fair_event_target_v1_financial18_exploratory
B_model_FIFO3_equal,Recent3y,Precision,-0.0330012094684,-0.0744363837599,0.00872022169988,0.057,5512,33636,1000,20260909,paired_company_cluster_percentile_bootstrap,42,study3_ab_fair_event_target_v1_financial18_exploratory
B_model_FIFO3_equal,B_data_equal,AP,0.00132681603938,-0.0255610830577,0.0274572641452,0.508,5512,33636,1000,20260909,paired_company_cluster_percentile_bootstrap,42,study3_ab_fair_event_target_v1_financial18_exploratory
B_model_FIFO3_equal,B_data_equal,AUC,0.00472270037105,-0.0105927812413,0.020317031473,0.712,5512,33636,1000,20260909,paired_company_cluster_percentile_bootstrap,42,study3_ab_fair_event_target_v1_financial18_exploratory
B_model_FIFO3_equal,B_data_equal,F1,0.0151831984726,-0.0223166431611,0.0530815149955,0.786,5512,33636,1000,20260909,paired_company_cluster_percentile_bootstrap,42,study3_ab_fair_event_target_v1_financial18_exploratory
B_model_FIFO3_equal,B_data_equal,Recall,0.0484429065744,0.00760241859401,0.0864698656089,0.993,5512,33636,1000,20260909,paired_company_cluster_percentile_bootstrap,42,study3_ab_fair_event_target_v1_financial18_exploratory
B_model_FIFO3_equal,B_data_equal,Precision,-0.0150509365757,-0.0545574625896,0.0248050445146,0.223,5512,33636,1000,20260909,paired_company_cluster_percentile_bootstrap,42,study3_ab_fair_event_target_v1_financial18_exploratory
