test_feature_year,route,pool_action,model_id,train_start,train_end,train_years,n_train,n_positive_before,n_negative_before,n_positive_after,n_negative_after,imbalance_method,sampler,scale_pos_weight,seed,resolved_model_params,protocol_version
2009,B_model,added,seed42_M2005,2005,2005,2005,4205,40,4165,40,4153,tomek,TomekLinks,,42,"{""eval_metric"": ""auc"", ""objective"": ""binary:logistic"", ""random_state"": 42, ""seed"": 42, ""tree_method"": ""hist"", ""verbosity"": 0}",study3b_overlap_event_target_v1_financial18_exploratory
2009,B_model,added,seed42_M2006,2006,2006,2006,4128,51,4077,51,4068,tomek,TomekLinks,,42,"{""eval_metric"": ""auc"", ""objective"": ""binary:logistic"", ""random_state"": 42, ""seed"": 42, ""tree_method"": ""hist"", ""verbosity"": 0}",study3b_overlap_event_target_v1_financial18_exploratory
2009,B_model,added,seed42_M2007,2007,2007,2007,4009,59,3950,59,3937,tomek,TomekLinks,,42,"{""eval_metric"": ""auc"", ""objective"": ""binary:logistic"", ""random_state"": 42, ""seed"": 42, ""tree_method"": ""hist"", ""verbosity"": 0}",study3b_overlap_event_target_v1_financial18_exploratory
2009,B_data_old,,seed42_Bdata_old_2009,2005,2006,"2005,2006",8333,91,8242,91,8217,tomek,TomekLinks,,42,"{""eval_metric"": ""auc"", ""objective"": ""binary:logistic"", ""random_state"": 42, ""seed"": 42, ""tree_method"": ""hist"", ""verbosity"": 0}",study3b_overlap_event_target_v1_financial18_exploratory
2009,B_data_new,,seed42_Bdata_new_2009,2007,2007,2007,4009,59,3950,59,3937,tomek,TomekLinks,,42,"{""eval_metric"": ""auc"", ""objective"": ""binary:logistic"", ""random_state"": 42, ""seed"": 42, ""tree_method"": ""hist"", ""verbosity"": 0}",study3b_overlap_event_target_v1_financial18_exploratory
2010,B_model,retained,seed42_M2006,2006,2006,2006,4128,51,4077,51,4068,tomek,TomekLinks,,42,"{""eval_metric"": ""auc"", ""objective"": ""binary:logistic"", ""random_state"": 42, ""seed"": 42, ""tree_method"": ""hist"", ""verbosity"": 0}",study3b_overlap_event_target_v1_financial18_exploratory
2010,B_model,retained,seed42_M2007,2007,2007,2007,4009,59,3950,59,3937,tomek,TomekLinks,,42,"{""eval_metric"": ""auc"", ""objective"": ""binary:logistic"", ""random_state"": 42, ""seed"": 42, ""tree_method"": ""hist"", ""verbosity"": 0}",study3b_overlap_event_target_v1_financial18_exploratory
2010,B_model,added,seed42_M2008,2008,2008,2008,3857,58,3799,58,3788,tomek,TomekLinks,,42,"{""eval_metric"": ""auc"", ""objective"": ""binary:logistic"", ""random_state"": 42, ""seed"": 42, ""tree_method"": ""hist"", ""verbosity"": 0}",study3b_overlap_event_target_v1_financial18_exploratory
2010,B_data_old,,seed42_Bdata_old_2010,2006,2007,"2006,2007",8137,110,8027,110,7998,tomek,TomekLinks,,42,"{""eval_metric"": ""auc"", ""objective"": ""binary:logistic"", ""random_state"": 42, ""seed"": 42, ""tree_method"": ""hist"", ""verbosity"": 0}",study3b_overlap_event_target_v1_financial18_exploratory
2010,B_data_new,,seed42_Bdata_new_2010,2008,2008,2008,3857,58,3799,58,3788,tomek,TomekLinks,,42,"{""eval_metric"": ""auc"", ""objective"": ""binary:logistic"", ""random_state"": 42, ""seed"": 42, ""tree_method"": ""hist"", ""verbosity"": 0}",study3b_overlap_event_target_v1_financial18_exploratory
2011,B_model,retained,seed42_M2007,2007,2007,2007,4009,59,3950,59,3937,tomek,TomekLinks,,42,"{""eval_metric"": ""auc"", ""objective"": ""binary:logistic"", ""random_state"": 42, ""seed"": 42, ""tree_method"": ""hist"", ""verbosity"": 0}",study3b_overlap_event_target_v1_financial18_exploratory
2011,B_model,retained,seed42_M2008,2008,2008,2008,3857,58,3799,58,3788,tomek,TomekLinks,,42,"{""eval_metric"": ""auc"", ""objective"": ""binary:logistic"", ""random_state"": 42, ""seed"": 42, ""tree_method"": ""hist"", ""verbosity"": 0}",study3b_overlap_event_target_v1_financial18_exploratory
2011,B_model,added,seed42_M2009,2009,2009,2009,3743,23,3720,23,3710,tomek,TomekLinks,,42,"{""eval_metric"": ""auc"", ""objective"": ""binary:logistic"", ""random_state"": 42, ""seed"": 42, ""tree_method"": ""hist"", ""verbosity"": 0}",study3b_overlap_event_target_v1_financial18_exploratory
2011,B_data_old,,seed42_Bdata_old_2011,2007,2008,"2007,2008",7866,117,7749,117,7717,tomek,TomekLinks,,42,"{""eval_metric"": ""auc"", ""objective"": ""binary:logistic"", ""random_state"": 42, ""seed"": 42, ""tree_method"": ""hist"", ""verbosity"": 0}",study3b_overlap_event_target_v1_financial18_exploratory
2011,B_data_new,,seed42_Bdata_new_2011,2009,2009,2009,3743,23,3720,23,3710,tomek,TomekLinks,,42,"{""eval_metric"": ""auc"", ""objective"": ""binary:logistic"", ""random_state"": 42, ""seed"": 42, ""tree_method"": ""hist"", ""verbosity"": 0}",study3b_overlap_event_target_v1_financial18_exploratory
2012,B_model,retained,seed42_M2008,2008,2008,2008,3857,58,3799,58,3788,tomek,TomekLinks,,42,"{""eval_metric"": ""auc"", ""objective"": ""binary:logistic"", ""random_state"": 42, ""seed"": 42, ""tree_method"": ""hist"", ""verbosity"": 0}",study3b_overlap_event_target_v1_financial18_exploratory
