fyear,event_year,n_rows,n_events,event_rate
1999,2000,5308,3,0.0005651846269781462
2000,2001,5226,7,0.0013394565633371603
2001,2002,4897,10,0.0020420665713702267
2002,2003,4651,17,0.0036551279294775316
2003,2004,4417,29,0.0065655422232284355
2004,2005,4348,46,0.010579576816927323
2005,2006,4205,40,0.009512485136741973
2006,2007,4128,51,0.012354651162790697
2007,2008,4009,59,0.014716887004240458
2008,2009,3857,58,0.015037593984962405
2009,2010,3743,23,0.006144803633449105
2010,2011,3625,35,0.009655172413793104
2011,2012,3513,25,0.007116424708226587
2012,2013,3485,26,0.007460545193687231
2013,2014,3484,28,0.008036739380022962
2014,2015,3504,33,0.009417808219178082
2015,2016,3354,33,0.009838998211091235
2016,2017,3191,29,0.009088060169225948
2017,2018,3014,21,0.006967485069674851
2018,2019,2723,36,0.013220712449504223
