test_feature_year,test_event_year,validation_feature_year,latest_train_feature_year,recent_years,window_years,b_model_end_years,b_model_added_end_years,b_model_removed_end_years,b_model_union_years,b_data_old_years,b_data_new_years,pool_size,ensemble_weights,imbalance_method,test_used_for_selection,seed,protocol_version
2009,2010,2008,2007,"2003,2004,2005,2006,2007",5,"2005,2006,2007","2005,2006,2007",,2001-2007,"2005,2006",2007,3,equal,tomek,False,42,study3b_overlap_event_target_v1_financial18_exploratory
2010,2011,2009,2008,"2004,2005,2006,2007,2008",5,"2006,2007,2008",2008,2005,2002-2008,"2006,2007",2008,3,equal,tomek,False,42,study3b_overlap_event_target_v1_financial18_exploratory
2011,2012,2010,2009,"2005,2006,2007,2008,2009",5,"2007,2008,2009",2009,2006,2003-2009,"2007,2008",2009,3,equal,tomek,False,42,study3b_overlap_event_target_v1_financial18_exploratory
2012,2013,2011,2010,"2006,2007,2008,2009,2010",5,"2008,2009,2010",2010,2007,2004-2010,"2008,2009",2010,3,equal,tomek,False,42,study3b_overlap_event_target_v1_financial18_exploratory
2013,2014,2012,2011,"2007,2008,2009,2010,2011",5,"2009,2010,2011",2011,2008,2005-2011,"2009,2010",2011,3,equal,tomek,False,42,study3b_overlap_event_target_v1_financial18_exploratory
2014,2015,2013,2012,"2008,2009,2010,2011,2012",5,"2010,2011,2012",2012,2009,2006-2012,"2010,2011",2012,3,equal,tomek,False,42,study3b_overlap_event_target_v1_financial18_exploratory
2015,2016,2014,2013,"2009,2010,2011,2012,2013",5,"2011,2012,2013",2013,2010,2007-2013,"2011,2012",2013,3,equal,tomek,False,42,study3b_overlap_event_target_v1_financial18_exploratory
2016,2017,2015,2014,"2010,2011,2012,2013,2014",5,"2012,2013,2014",2014,2011,2008-2014,"2012,2013",2014,3,equal,tomek,False,42,study3b_overlap_event_target_v1_financial18_exploratory
2017,2018,2016,2015,"2011,2012,2013,2014,2015",5,"2013,2014,2015",2015,2012,2009-2015,"2013,2014",2015,3,equal,tomek,False,42,study3b_overlap_event_target_v1_financial18_exploratory
2018,2019,2017,2016,"2012,2013,2014,2015,2016",5,"2014,2015,2016",2016,2013,2010-2016,"2014,2015",2016,3,equal,tomek,False,42,study3b_overlap_event_target_v1_financial18_exploratory
