test_feature_year,test_event_year,validation_feature_year,validation_event_year,method,n_validation,n_validation_positive,n_test,n_test_positive,prevalence,f1_threshold_from_validation,fpr5_threshold_from_validation,validation_AUC,validation_PR_AUC,validation_F1,validation_G_Mean,validation_Recall,validation_Precision,validation_Balanced_Accuracy,validation_Cohen_Kappa,validation_Type1_Error,validation_Type2_Error,validation_Recall_at_5pctFPR,validation_Precision_at_5pctFPR,validation_Realized_FPR_at_5pctFPR,validation_Alerts_at_5pctFPR,AUC,PR_AUC,F1,G_Mean,Recall,Precision,Balanced_Accuracy,Cohen_Kappa,Type1_Error,Type2_Error,Recall_at_5pctFPR,Precision_at_5pctFPR,Realized_FPR_at_5pctFPR,Alerts_at_5pctFPR,seed,protocol_version,imbalance_method,pool_size
2009,2010,2008,2009,B_model_FIFO1_equal,3857,58,3743,23,0.00614480363345,0.19,0.0359878726304,0.842299697743,0.101775502144,0.188976377953,0.451433590394,0.206896551724,0.173913043478,0.595946301658,0.175504062594,0.0150039484075,0.793103448276,0.379310344828,0.109452736318,0.0471176625428,201,0.84585086489,0.0413449027322,0.093023255814,0.294169618377,0.0869565217391,0.1,0.541058906031,0.0878090846034,0.00483870967742,0.913043478261,0.260869565217,0.06,0.0252688172043,100,42,study3b_overlap_event_target_v1_financial18_exploratory,tomek,1
2010,2011,2009,2010,B_model_FIFO1_equal,3743,23,3625,35,0.00965517241379,0.24,0.0200969018042,0.795091164095,0.0974032102189,0.235294117647,0.416636277527,0.173913043478,0.363636363636,0.586015661524,0.232241471804,0.00188172043011,0.826086956522,0.304347826087,0.0619469026549,0.0284946236559,113,0.81009948269,0.0734351786708,0.0952380952381,0.238879197485,0.0571428571429,0.285714285714,0.527875049741,0.0923168160253,0.00139275766017,0.942857142857,0.171428571429,0.0659340659341,0.0236768802228,91,42,study3b_overlap_event_target_v1_financial18_exploratory,tomek,1
2011,2012,2010,2011,B_model_FIFO1_equal,3625,35,3513,25,0.00711642470823,0.05,0.00462279515341,0.74912057302,0.0855013858545,0.111111111111,0.292116881033,0.0857142857143,0.157894736842,0.540628730601,0.105030346672,0.00445682451253,0.914285714286,0.171428571429,0.0394736842105,0.0406685236769,152,0.904564220183,0.116118389574,0.0714285714286,0.281664449985,0.08,0.0645161290323,0.535842889908,0.0640543503879,0.00831422018349,0.92,0.52,0.072625698324,0.0475917431193,179,42,study3b_overlap_event_target_v1_financial18_exploratory,tomek,1
2012,2013,2011,2012,B_model_FIFO1_equal,3513,25,3485,26,0.00746054519369,0.18,0.00292588048615,0.897912844037,0.191458282951,0.258064516129,0.399885304657,0.16,0.666666666667,0.579713302752,0.256015027209,0.000573394495413,0.84,0.56,0.0752688172043,0.0493119266055,186,0.883470100296,0.222933507685,0.235294117647,0.392005415272,0.153846153846,0.5,0.576344875131,0.232599894981,0.00115640358485,0.846153846154,0.5,0.0562770562771,0.0630239953744,231,42,study3b_overlap_event_target_v1_financial18_exploratory,tomek,1
2013,2014,2012,2013,B_model_FIFO1_equal,3485,26,3484,28,0.00803673938002,0.05,0.00404610531405,0.89504525541,0.269108405828,0.333333333333,0.586730305846,0.346153846154,0.321428571429,0.670330464563,0.328135208371,0.00549291702804,0.653846153846,0.576923076923,0.0920245398773,0.0427869326395,163,0.782469411376,0.0831860311885,0.078431372549,0.266448013036,0.0714285714286,0.0869565217391,0.53267609127,0.0717023061747,0.00607638888889,0.928571428571,0.25,0.046357615894,0.0416666666667,151,42,study3b_overlap_event_target_v1_financial18_exploratory,tomek,1
2014,2015,2013,2014,B_model_FIFO1_equal,3484,28,3504,33,0.00941780821918,0.08,0.00329648540355,0.819454778439,0.0880360922436,0.177777777778,0.377252932569,0.142857142857,0.235294117647,0.569547784392,0.172754575558,0.00376157407407,0.857142857143,0.392857142857,0.0709677419355,0.0416666666667,155,0.845202238461,0.0792212364597,0.131147540984,0.346949575608,0.121212121212,0.142857142857,0.557148843666,0.123570053234,0.00691443388073,0.878787878788,0.363636363636,0.0652173913043,0.0495534428119,184,42,study3b_overlap_event_target_v1_financial18_exploratory,tomek,1
2015,2016,2014,2015,B_model_FIFO1_equal,3504,33,3354,33,0.00983899821109,0.07,0.00268770405091,0.888801585431,0.0784546200576,0.166666666667,0.388013934642,0.151515151515,0.185185185185,0.572588460229,0.159542929511,0.00633823105733,0.848484848485,0.333333333333,0.0604395604396,0.0492653414002,182,0.894728677927,0.152552626603,0.276923076923,0.520421431112,0.272727272727,0.28125,0.632900823958,0.269849651224,0.0069256248118,0.727272727273,0.606060606061,0.0888888888889,0.0617283950617,225,42,study3b_overlap_event_target_v1_financial18_exploratory,tomek,1
2016,2017,2015,2016,B_model_FIFO1_equal,3354,33,3191,29,0.00908806016923,0.2,0.00696186674759,0.870046444572,0.177525535929,0.259259259259,0.459594380323,0.212121212121,0.333333333333,0.603952807205,0.253546987147,0.00421559771153,0.787878787879,0.424242424242,0.0886075949367,0.0433604336043,158,0.84677964623,0.132425981888,0.227272727273,0.414570289505,0.172413793103,0.333333333333,0.584625618879,0.222454742213,0.00316255534472,0.827586206897,0.379310344828,0.0948275862069,0.0332068311195,116,42,study3b_overlap_event_target_v1_financial18_exploratory,tomek,1
2017,2018,2016,2017,B_model_FIFO1_equal,3191,29,3014,21,0.00696748506967,0.14,0.00741713726893,0.852352286855,0.107170267153,0.166666666667,0.321430259159,0.103448275862,0.428571428571,0.551091626862,0.163711015987,0.00126502213789,0.896551724138,0.344827586207,0.0892857142857,0.0322580645161,112,0.864588802444,0.111146973881,0.0689655172414,0.217962557891,0.047619047619,0.125,0.522640128554,0.0653726886413,0.00233879051119,0.952380952381,0.380952380952,0.0842105263158,0.0290678249248,95,42,study3b_overlap_event_target_v1_financial18_exploratory,tomek,1
2018,2019,2017,2018,B_model_FIFO1_equal,3014,21,2723,36,0.0132207124495,0.07,0.00271132774651,0.865463860118,0.179647020589,0.258064516129,0.4359981045,0.190476190476,0.4,0.594235756448,0.254714344077,0.00200467758102,0.809523809524,0.428571428571,0.0588235294118,0.0481122619445,153,0.855109994624,0.206305609369,0.310344827586,0.49878900614,0.25,0.409090909091,0.622580945292,0.303357850975,0.00483810941571,0.75,0.472222222222,0.103658536585,0.0547078526237,164,42,study3b_overlap_event_target_v1_financial18_exploratory,tomek,1
