reference_method,comparison_method,metric,observed_reference_minus_comparison,ci95_low,ci95_high,bootstrap_probability_difference_gt_0,n_company_clusters,n_rows,replicates,bootstrap_seed,inference_scope
B_model_FIFO3_equal__tomek,B_model_FIFO3_equal__none,AP,0.00393677014772,-0.00840278975451,0.0175099583238,0.691,5512,33636,1000,20260911,paired_company_cluster_percentile_bootstrap
B_model_FIFO3_equal__tomek,B_model_FIFO3_equal__none,AUC,8.7161495621e-06,-0.00906345815147,0.00766193923632,0.482,5512,33636,1000,20260911,paired_company_cluster_percentile_bootstrap
B_model_FIFO3_equal__tomek,B_model_FIFO3_equal__none,F1,-0.000455990307555,-0.0334445418818,0.0339159095793,0.48,5512,33636,1000,20260911,paired_company_cluster_percentile_bootstrap
B_model_FIFO3_equal__tomek,B_model_FIFO3_equal__none,Recall,0.0207612456747,-0.0196721311475,0.0610273616012,0.841,5512,33636,1000,20260911,paired_company_cluster_percentile_bootstrap
B_model_FIFO3_equal__tomek,B_model_FIFO3_equal__none,Precision,-0.0172918329343,-0.0508276972731,0.0155587084759,0.153,5512,33636,1000,20260911,paired_company_cluster_percentile_bootstrap
B_model_FIFO3_equal__tomek,B_model_FIFO3_equal__scale_pos_weight,AP,0.012081092214,-0.00522600807783,0.0287560196533,0.903,5512,33636,1000,20260911,paired_company_cluster_percentile_bootstrap
B_model_FIFO3_equal__tomek,B_model_FIFO3_equal__scale_pos_weight,AUC,0.0147651573581,0.0019410456366,0.0264566390004,0.991,5512,33636,1000,20260911,paired_company_cluster_percentile_bootstrap
B_model_FIFO3_equal__tomek,B_model_FIFO3_equal__scale_pos_weight,F1,0.0191391668248,-0.0183327736811,0.0579140568384,0.86,5512,33636,1000,20260911,paired_company_cluster_percentile_bootstrap
B_model_FIFO3_equal__tomek,B_model_FIFO3_equal__scale_pos_weight,Recall,0.0103806228374,-0.0333490566038,0.0561903752385,0.643,5512,33636,1000,20260911,paired_company_cluster_percentile_bootstrap
B_model_FIFO3_equal__tomek,B_model_FIFO3_equal__scale_pos_weight,Precision,0.0238172689343,-0.00840955806521,0.0575172177804,0.924,5512,33636,1000,20260911,paired_company_cluster_percentile_bootstrap
