test_feature_year,test_event_year,validation_feature_year,validation_event_year,method,n_validation,n_validation_positive,n_test,n_test_positive,prevalence,f1_threshold_from_validation,fpr5_threshold_from_validation,validation_AUC,validation_PR_AUC,validation_F1,validation_G_Mean,validation_Recall,validation_Precision,validation_Balanced_Accuracy,validation_Cohen_Kappa,validation_Type1_Error,validation_Type2_Error,validation_Recall_at_5pctFPR,validation_Precision_at_5pctFPR,validation_Realized_FPR_at_5pctFPR,validation_Alerts_at_5pctFPR,AUC,PR_AUC,F1,G_Mean,Recall,Precision,Balanced_Accuracy,Cohen_Kappa,Type1_Error,Type2_Error,Recall_at_5pctFPR,Precision_at_5pctFPR,Realized_FPR_at_5pctFPR,Alerts_at_5pctFPR,seed,protocol_version,imbalance_method
2009,2010,2008,2009,Recent3y,3857,58,3743,23,0.00614480363345,0.17,0.0327948890626,0.835778017809,0.117069173605,0.206349206349,0.469992527031,0.224137931034,0.191176470588,0.604830218479,0.193254882931,0.0144774940774,0.775862068966,0.465517241379,0.129807692308,0.0476441168729,208,0.774941561477,0.0337253903853,0.0425531914894,0.207868813595,0.0434782608696,0.0416666666667,0.518647732585,0.0365067470555,0.00618279569892,0.95652173913,0.173913043478,0.040404040404,0.0255376344086,99,42,study3b_overlap_event_target_v1_financial18_exploratory,none
2009,2010,2008,2009,B_data_equal,3857,58,3743,23,0.00614480363345,0.07,0.0634035989642,0.813521707164,0.0970059170851,0.20618556701,0.578185523517,0.344827586207,0.147058823529,0.657146617531,0.18908860559,0.030534351145,0.655172413793,0.362068965517,0.143835616438,0.0329033956304,146,0.811255259467,0.0573195996179,0.0526315789474,0.292855554628,0.0869565217391,0.0377358490566,0.53662342216,0.0444420806297,0.0137096774194,0.913043478261,0.130434782609,0.0491803278689,0.0155913978495,61,42,study3b_overlap_event_target_v1_financial18_exploratory,none
2009,2010,2008,2009,B_model_FIFO3_equal,3857,58,3743,23,0.00614480363345,0.2,0.0338043682277,0.871744833032,0.119579445483,0.209523809524,0.433425848621,0.189655172414,0.234042553191,0.590089497236,0.198737025477,0.00947617794156,0.810344827586,0.413793103448,0.114285714286,0.0489602526981,210,0.809946236559,0.0370406153973,0,0,0,0,0.498655913978,-0.00373804435271,0.00268817204301,1,0.260869565217,0.0576923076923,0.0263440860215,104,42,study3b_overlap_event_target_v1_financial18_exploratory,none
2010,2011,2009,2010,Recent3y,3743,23,3625,35,0.00965517241379,0.2,0.0168427266181,0.802676484338,0.069161900122,0.205128205128,0.416355657654,0.173913043478,0.25,0.585343618513,0.20110024029,0.00322580645161,0.826086956522,0.347826086957,0.0583941605839,0.0346774193548,137,0.801949860724,0.0948932455931,0.0851063829787,0.238712556936,0.0571428571429,0.166666666667,0.527178670911,0.0805733329401,0.00278551532033,0.942857142857,0.171428571429,0.0731707317073,0.0211699164345,82,42,study3b_overlap_event_target_v1_financial18_exploratory,none
2010,2011,2009,2010,B_data_equal,3743,23,3625,35,0.00965517241379,0.23,0.0177161712199,0.815801776531,0.0416728692273,0.142857142857,0.36038003939,0.130434782609,0.157894736842,0.56306685367,0.138065143413,0.00430107526882,0.869565217391,0.260869565217,0.05,0.0306451612903,120,0.843294866693,0.0944923886435,0.133333333333,0.292484452228,0.0857142857143,0.3,0.541882212495,0.129598276127,0.00194986072423,0.914285714286,0.142857142857,0.0549450549451,0.0239554317549,91,42,study3b_overlap_event_target_v1_financial18_exploratory,none
2010,2011,2009,2010,B_model_FIFO3_equal,3743,23,3625,35,0.00965517241379,0.07,0.0216929018497,0.811021505376,0.0565066644053,0.153846153846,0.507378931455,0.260869565217,0.109090909091,0.623848761103,0.146449499696,0.0131720430108,0.739130434783,0.347826086957,0.0536912751678,0.0379032258065,149,0.827027457222,0.0843507843313,0.0882352941176,0.291544182494,0.0857142857143,0.0909090909091,0.538678869877,0.0796101396454,0.008356545961,0.914285714286,0.171428571429,0.0618556701031,0.025348189415,97,42,study3b_overlap_event_target_v1_financial18_exploratory,none
2011,2012,2010,2011,Recent3y,3625,35,3513,25,0.00711642470823,0.42,0.0037156296894,0.779124552328,0.0888917543876,0.108108108108,0.239045721867,0.0571428571429,1,0.528571428571,0.107176176438,0,0.942857142857,0.285714285714,0.0546448087432,0.0481894150418,183,0.896433486239,0.161419133518,0.148148148148,0.282842712475,0.08,1,0.54,0.14724910555,0,0.92,0.56,0.0645161290323,0.0581995412844,217,42,study3b_overlap_event_target_v1_financial18_exploratory,none
2011,2012,2010,2011,B_data_equal,3625,35,3513,25,0.00711642470823,0.11,0.0107906553894,0.782881018703,0.0803006260151,0.127659574468,0.292402809672,0.0857142857143,0.25,0.541603660963,0.123337363966,0.0025069637883,0.914285714286,0.171428571429,0.0722891566265,0.0214484679666,83,0.892098623853,0.125149355843,0.121212121212,0.282599337085,0.08,0.25,0.539139908257,0.118169463944,0.00172018348624,0.92,0.32,0.0851063829787,0.0246559633028,94,42,study3b_overlap_event_target_v1_financial18_exploratory,none
2011,2012,2010,2011,B_model_FIFO3_equal,3625,35,3513,25,0.00711642470823,0.42,0.00853238627315,0.829144448866,0.0988673876792,0.108108108108,0.239045721867,0.0571428571429,1,0.528571428571,0.107176176438,0,0.942857142857,0.314285714286,0.0666666666667,0.0428969359331,165,0.874667431193,0.135080996859,0.0714285714286,0.199942652329,0.04,0.333333333333,0.519713302752,0.0700103854848,0.000573394495413,0.96,0.56,0.0710659898477,0.0524655963303,197,42,study3b_overlap_event_target_v1_financial18_exploratory,none
2012,2013,2011,2012,Recent3y,3513,25,3485,26,0.00746054519369,0.02,0.00422560004517,0.913199541284,0.148762656556,0.181818181818,0.487433834607,0.24,0.146341463415,0.614982798165,0.17451959897,0.0100344036697,0.76,0.48,0.0816326530612,0.0387041284404,147,0.882102430671,0.150519137255,0.225,0.584508805521,0.346153846154,0.166666666667,0.666572152912,0.21711498884,0.0130095403296,0.653846153846,0.615384615385,0.0837696335079,0.0505926568372,191,42,study3b_overlap_event_target_v1_financial18_exploratory,none
