model_age_at_test,n_model_year_pairs,n_origin_models,mean_PR_AUC,median_PR_AUC,mean_AUC,mean_F1,mean_Recall,mean_Precision,analysis_protocol_version
2,16,16,0.0946078782829,0.0812036338241,0.796020782595,0.125449112387,0.126604663834,0.167720431992,study3b_sliding_old_new_posthoc_v1
3,15,15,0.102514543169,0.0774264951275,0.785196432847,0.116542011144,0.125721509936,0.150644875161,study3b_sliding_old_new_posthoc_v1
4,14,14,0.0816609324408,0.0678304199157,0.782458957689,0.114268699722,0.117675197116,0.141842851402,study3b_sliding_old_new_posthoc_v1
5,13,13,0.0829676851417,0.0643852097313,0.774295137604,0.10149123494,0.116685809865,0.115560028734,study3b_sliding_old_new_posthoc_v1
6,12,12,0.0663759034531,0.045432924507,0.764158605795,0.101089871376,0.115462254859,0.108158667081,study3b_sliding_old_new_posthoc_v1
7,11,11,0.0686010784937,0.0573686594599,0.770765217202,0.0849912238262,0.105380286728,0.0958767960104,study3b_sliding_old_new_posthoc_v1
8,10,10,0.0541412838539,0.0408177720718,0.759350946308,0.0648330561149,0.0648946608946,0.0875210754158,study3b_sliding_old_new_posthoc_v1
9,9,9,0.0510077384965,0.0331028387791,0.748652297286,0.0598323310393,0.0743776019638,0.0660119201785,study3b_sliding_old_new_posthoc_v1
10,8,8,0.0374484321617,0.0362573224074,0.730038129241,0.0408553466074,0.0490247300592,0.0552765093861,study3b_sliding_old_new_posthoc_v1
11,7,7,0.0400079298729,0.0333046771315,0.696696980324,0.0628625027667,0.0913267083218,0.0637204065775,study3b_sliding_old_new_posthoc_v1
12,6,6,0.0340661150182,0.0253766773723,0.706120696107,0.0537041719343,0.0849069512862,0.0430295558239,study3b_sliding_old_new_posthoc_v1
13,5,5,0.0313632556264,0.0231800035042,0.674098468906,0.0264285714286,0.0428571428572,0.0239631336406,study3b_sliding_old_new_posthoc_v1
14,4,4,0.026220813916,0.0191995398662,0.645405302226,0.0370901639344,0.0294540229885,0.0527272727273,study3b_sliding_old_new_posthoc_v1
15,3,3,0.0239015687049,0.0145142708035,0.654275757852,0.0133333333333,0.00925925925927,0.0238095238095,study3b_sliding_old_new_posthoc_v1
16,2,2,0.0182577355367,0.0182577355367,0.566454051465,0,0,0,study3b_sliding_old_new_posthoc_v1
17,1,1,0.0195900074517,0.0195900074517,0.552242277633,0,0,0,study3b_sliding_old_new_posthoc_v1
