scope,reference_method,comparison_method,metric,observed_reference_minus_comparison,ci95_low,ci95_high,bootstrap_probability_difference_gt_0,n_company_clusters,n_rows,replicates,bootstrap_seed,inference_scope,analysis_protocol_version
all_rounds_2003_2018_including_FIFO_warmup,SlidingFIFO3,SlidingNewestModel,AP,0.0129938432616,0.00187601984002,0.0240848166772,0.987,7301,58600,1000,20260915,paired_company_cluster_percentile_bootstrap,study3b_sliding_old_new_posthoc_v1
all_rounds_2003_2018_including_FIFO_warmup,SlidingFIFO3,SlidingNewestModel,AUC,0.00105834186149,-0.00838198101687,0.0112665036381,0.591,7301,58600,1000,20260915,paired_company_cluster_percentile_bootstrap,study3b_sliding_old_new_posthoc_v1
all_rounds_2003_2018_including_FIFO_warmup,SlidingFIFO3,SlidingNewestModel,F1,0.0130880510985,-0.00484134448896,0.0347306589842,0.917,7301,58600,1000,20260915,paired_company_cluster_percentile_bootstrap,study3b_sliding_old_new_posthoc_v1
all_rounds_2003_2018_including_FIFO_warmup,SlidingFIFO3,SlidingNewestModel,Recall,0.0506993006993,0.028380338389,0.0748352744239,1,7301,58600,1000,20260915,paired_company_cluster_percentile_bootstrap,study3b_sliding_old_new_posthoc_v1
all_rounds_2003_2018_including_FIFO_warmup,SlidingFIFO3,SlidingNewestModel,Precision,-0.0107354683358,-0.0287547897836,0.00889796979006,0.141,7301,58600,1000,20260915,paired_company_cluster_percentile_bootstrap,study3b_sliding_old_new_posthoc_v1
full_FIFO3_pool_2005_2018,SlidingFIFO3,SlidingNewestModel,AP,0.0152762733513,0.00266874290705,0.0280285027181,0.991,6731,49835,1000,20260915,paired_company_cluster_percentile_bootstrap,study3b_sliding_old_new_posthoc_v1
full_FIFO3_pool_2005_2018,SlidingFIFO3,SlidingNewestModel,AUC,0.00586173410808,-0.00491056219167,0.0172958032785,0.854,6731,49835,1000,20260915,paired_company_cluster_percentile_bootstrap,study3b_sliding_old_new_posthoc_v1
full_FIFO3_pool_2005_2018,SlidingFIFO3,SlidingNewestModel,F1,0.0107551983108,-0.00985307824931,0.0317801197743,0.861,6731,49835,1000,20260915,paired_company_cluster_percentile_bootstrap,study3b_sliding_old_new_posthoc_v1
full_FIFO3_pool_2005_2018,SlidingFIFO3,SlidingNewestModel,Recall,0.0583501006036,0.0323836513461,0.0856618590018,1,6731,49835,1000,20260915,paired_company_cluster_percentile_bootstrap,study3b_sliding_old_new_posthoc_v1
full_FIFO3_pool_2005_2018,SlidingFIFO3,SlidingNewestModel,Precision,-0.0141134603308,-0.0333018719252,0.00449050102059,0.074,6731,49835,1000,20260915,paired_company_cluster_percentile_bootstrap,study3b_sliding_old_new_posthoc_v1
