model_id,old_years,new_year,train_years,validation_feature_year,test_feature_year,test_event_year,model_age_at_test,n_test,n_test_positive,AUC,PR_AUC,F1,G_Mean,Recall,Precision,Balanced_Accuracy,Cohen_Kappa,Type1_Error,Type2_Error,threshold,TP,FP,FN,TN,alerts,prevalence,seed,protocol_version
M2001,"1999,2000",2001,"1999,2000,2001",2002,2003,2004,2,4417,29,0.676005092258,0.0234550378907,0,0,0,0,0.498518687329,-0.00408096990691,0.00296262534184,1,0.01,0,13,29,4375,13,0.00656554222323,42,study3b_sliding_old2_new1_fifo3_aging_v1_exploratory
M2001,"1999,2000",2001,"1999,2000,2001",2002,2004,2005,3,4348,46,0.56531340327,0.0157855346184,0,0,0,0,0.49930264993,-0.00244741602525,0.00139470013947,1,0.01,0,6,46,4296,6,0.0105795768169,42,study3b_sliding_old2_new1_fifo3_aging_v1_exploratory
M2001,"1999,2000",2001,"1999,2000,2001",2002,2005,2006,4,4205,40,0.608109243697,0.0166219997263,0,0,0,0,0.49855942377,-0.0044097381718,0.00288115246098,1,0.01,0,12,40,4153,12,0.00951248513674,42,study3b_sliding_old2_new1_fifo3_aging_v1_exploratory
M2001,"1999,2000",2001,"1999,2000,2001",2002,2006,2007,5,4128,51,0.54805292242,0.0182690595591,0,0,0,0,0.499386804023,-0.00221106573368,0.00122639195487,1,0.01,0,5,51,4072,5,0.0123546511628,42,study3b_sliding_old2_new1_fifo3_aging_v1_exploratory
M2001,"1999,2000",2001,"1999,2000,2001",2002,2007,2008,6,4009,59,0.49603304012,0.016469508133,0,0,0,0,0.498860759494,-0.00391088197385,0.00227848101266,1,0.01,0,9,59,3941,9,0.0147168870042,42,study3b_sliding_old2_new1_fifo3_aging_v1_exploratory
M2001,"1999,2000",2001,"1999,2000,2001",2002,2008,2009,7,3857,58,0.565634332084,0.0185714017686,0,0,0,0,0.498157409845,-0.00588235294118,0.00368518031061,1,0.01,0,14,58,3785,14,0.015037593985,42,study3b_sliding_old2_new1_fifo3_aging_v1_exploratory
M2001,"1999,2000",2001,"1999,2000,2001",2002,2009,2010,8,3743,23,0.599976624591,0.008857031023,0,0,0,0,0.498521505376,-0.00399192148695,0.00295698924731,1,0.01,0,11,23,3709,11,0.00614480363345,42,study3b_sliding_old2_new1_fifo3_aging_v1_exploratory
M2001,"1999,2000",2001,"1999,2000,2001",2002,2010,2011,9,3625,35,0.630107441305,0.0249905350036,0.0869565217391,0.238745894351,0.0571428571429,0.181818181818,0.527317946677,0.0827208097361,0.0025069637883,0.942857142857,0.01,2,9,33,3581,11,0.00965517241379,42,study3b_sliding_old2_new1_fifo3_aging_v1_exploratory
M2001,"1999,2000",2001,"1999,2000,2001",2002,2011,2012,10,3513,25,0.581823394495,0.0175614551109,0,0,0,0,0.499139908257,-0.00276235463109,0.00172018348624,1,0.01,0,6,25,3482,6,0.00711642470823,42,study3b_sliding_old2_new1_fifo3_aging_v1_exploratory
M2001,"1999,2000",2001,"1999,2000,2001",2002,2012,2013,11,3485,26,0.659439144261,0.0112461716884,0,0,0,0,0.499277247759,-0.00241243331014,0.00144550448106,1,0.01,0,5,26,3454,5,0.00746054519369,42,study3b_sliding_old2_new1_fifo3_aging_v1_exploratory
