round,model_id,old_start,old_end,old_years,new_year,train_years,validation_feature_year,primary_test_feature_year,primary_test_event_year,test_used_for_selection,seed,protocol_version
1,M2001,1999,2000,"1999,2000",2001,"1999,2000,2001",2002,2003,2004,False,42,study3b_sliding_old2_new1_fifo3_aging_v1_exploratory
2,M2002,2000,2001,"2000,2001",2002,"2000,2001,2002",2003,2004,2005,False,42,study3b_sliding_old2_new1_fifo3_aging_v1_exploratory
3,M2003,2001,2002,"2001,2002",2003,"2001,2002,2003",2004,2005,2006,False,42,study3b_sliding_old2_new1_fifo3_aging_v1_exploratory
4,M2004,2002,2003,"2002,2003",2004,"2002,2003,2004",2005,2006,2007,False,42,study3b_sliding_old2_new1_fifo3_aging_v1_exploratory
5,M2005,2003,2004,"2003,2004",2005,"2003,2004,2005",2006,2007,2008,False,42,study3b_sliding_old2_new1_fifo3_aging_v1_exploratory
6,M2006,2004,2005,"2004,2005",2006,"2004,2005,2006",2007,2008,2009,False,42,study3b_sliding_old2_new1_fifo3_aging_v1_exploratory
7,M2007,2005,2006,"2005,2006",2007,"2005,2006,2007",2008,2009,2010,False,42,study3b_sliding_old2_new1_fifo3_aging_v1_exploratory
8,M2008,2006,2007,"2006,2007",2008,"2006,2007,2008",2009,2010,2011,False,42,study3b_sliding_old2_new1_fifo3_aging_v1_exploratory
9,M2009,2007,2008,"2007,2008",2009,"2007,2008,2009",2010,2011,2012,False,42,study3b_sliding_old2_new1_fifo3_aging_v1_exploratory
10,M2010,2008,2009,"2008,2009",2010,"2008,2009,2010",2011,2012,2013,False,42,study3b_sliding_old2_new1_fifo3_aging_v1_exploratory
11,M2011,2009,2010,"2009,2010",2011,"2009,2010,2011",2012,2013,2014,False,42,study3b_sliding_old2_new1_fifo3_aging_v1_exploratory
12,M2012,2010,2011,"2010,2011",2012,"2010,2011,2012",2013,2014,2015,False,42,study3b_sliding_old2_new1_fifo3_aging_v1_exploratory
13,M2013,2011,2012,"2011,2012",2013,"2011,2012,2013",2014,2015,2016,False,42,study3b_sliding_old2_new1_fifo3_aging_v1_exploratory
14,M2014,2012,2013,"2012,2013",2014,"2012,2013,2014",2015,2016,2017,False,42,study3b_sliding_old2_new1_fifo3_aging_v1_exploratory
15,M2015,2013,2014,"2013,2014",2015,"2013,2014,2015",2016,2017,2018,False,42,study3b_sliding_old2_new1_fifo3_aging_v1_exploratory
16,M2016,2014,2015,"2014,2015",2016,"2014,2015,2016",2017,2018,2019,False,42,study3b_sliding_old2_new1_fifo3_aging_v1_exploratory
