Best,Config,Method,AUC,F1,Recall,Precision,w_old,w_new
,ROSS_2009_noFS,Equal_weight,0.8364,0.2237,0.4181,0.1527,0.167,0.167
,ROSS_2009_noFS,AWE,0.8427,0.2573,0.3833,0.1937,0.142,0.192
★,ROSS_2009_noFS,DAWCE,0.8590,0.2896,0.2962,0.2833,0.000,1.000
,ROSS_2009_FS,Equal_weight,0.8310,0.2120,0.4251,0.1412,0.167,0.167
,ROSS_2009_FS,AWE,0.8381,0.2368,0.3833,0.1713,0.142,0.191
★,ROSS_2009_FS,DAWCE,0.8522,0.2857,0.3589,0.2373,0.000,1.000
,Fixed_2012_noFS,Equal_weight,0.8480,0.2631,0.4286,0.1898,0.167,0.167
,Fixed_2012_noFS,AWE,0.8518,0.2738,0.3763,0.2151,0.147,0.187
★,Fixed_2012_noFS,DAWCE,0.8623,0.3013,0.3171,0.2871,0.000,1.000
,Fixed_2012_FS,Equal_weight,0.8520,0.2635,0.4669,0.1836,0.167,0.167
,Fixed_2012_FS,AWE,0.8573,0.2696,0.4251,0.1974,0.146,0.187
★,Fixed_2012_FS,DAWCE,0.8719,0.3118,0.3275,0.2975,0.000,1.000
